province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
安徽,2025,本科提前批,历史类,1064,北京外国语大学,1,1,马达加斯加语(法语),"(6000元/年;报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩;考生高考总分须达到特殊类型招生控制线)",不限,,,
安徽,2025,本科提前批,历史类,1064,北京外国语大学,1,2,捷克语,"(6000元/年;报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩;考生高考总分须达到特殊类型招生控制线)",不限,,,
安徽,2025,本科提前批,历史类,1064,北京外国语大学,1,3,豪萨语(非洲研究),"(6000元/年;报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩;考生高考总分须达到特殊类型招生控制线)",不限,,,
安徽,2025,本科提前批,历史类,1064,北京外国语大学,1,4,德语,"(6000元/年;报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩;考生高考总分须达到特殊类型招生控制线)",不限,,,
安徽,2025,本科提前批,历史类,1064,北京外国语大学,1,5,朝鲜语(朝鲜半岛研究),"(6000元/年;报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩;考生高考总分须达到特殊类型招生控制线)",不限,,,
安徽,2025,本科提前批,历史类,1064,北京外国语大学,1,6,塞尔维亚语(欧洲研究),"(6000元/年;报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩;考生高考总分须达到特殊类型招生控制线)",不限,,,
安徽,2025,本科提前批,物理类,1064,北京外国语大学,1,1,朝鲜语(朝鲜半岛研究),"(6000元/年；报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩;考生高考总分须达到特殊类型招生控制线)",不限,,,
安徽,2025,本科提前批,物理类,1064,北京外国语大学,1,2,俄语,"(6000元/年;报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩;考生高考总分须达到特殊类型招生控制线)",不限,,,
安徽,2025,本科提前批,物理类,1064,北京外国语大学,1,3,保加利亚语,"(6000元/年；报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩;考生高考总分须达到特殊类型招生控制线)",不限,,,
安徽,2025,本科提前批,物理类,1064,北京外国语大学,1,4,豪萨语(非洲研究),"(6000元/年;报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩;考生高考总分须达到特殊类型招生控制线)",不限,,,
