province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
安徽,2025,历史类,专科批,1008,安阳职业技术学院,（001）,首选历史，再选不限,338,72250,,,0,河南,公办,0,0
安徽,2025,历史类,专科批,1016,包头轻工职业技术学院,（001）,首选历史，再选不限,322,119702,,,0,内蒙古,公办,0,0
安徽,2025,历史类,专科批,1053,北京科技职业大学,（001）,首选历史，再选不限,472,41258,,,0,北京,公办,0,0
安徽,2025,历史类,专科批,1076,毕节职业技术学院,（001）,首选历史，再选不限,268,121792,,,16,贵州,公办,0,0
安徽,2025,历史类,专科批,1080,渤海船舶职业学院,（001）,首选历史，再选不限,391,88065,,,0,辽宁,公办,0,0
安徽,2025,历史类,专科批,1098,长春金融高等专科学校,（001）,首选历史，再选不限,368,79125,,,3,吉林,公办,0,0
安徽,2025,历史类,专科批,1135,常州机电职业技术学院,（001）,首选历史，再选不限,446,45244,,,52,江苏,公办,0,0
安徽,2025,历史类,专科批,1160,重庆财经职业学院,（001）,首选历史，再选不限,459,52356,,,0,重庆,公办,0,0
安徽,2025,历史类,专科批,1176,重庆工信职业学院,（001）,首选历史，再选不限,412,78611,,,10,重庆,公办,0,0
安徽,2025,历史类,专科批,1177,重庆工业职业技术大学,（001）,首选历史，再选不限,459,51836,,,4,重庆,公办,0,0
安徽,2025,历史类,专科批,1180,重庆护理职业学院,（001）,首选历史，再选不限,287,65405,,,0,重庆,民办,0,0
安徽,2025,历史类,专科批,1211,重庆幼儿师范高等专科学校,（001）,首选历史，再选不限,442,62797,,,0,重庆,公办,0,0
安徽,2025,历史类,专科批,1215,楚雄医药高等专科学校,（001）,首选历史，再选不限,397,86534,,,3,云南,公办,0,0
安徽,2025,历史类,专科批,1236,大连职业技术学院,（001）,首选历史，再选不限,333,108726,,,0,辽宁,公办,0,0
安徽,2025,历史类,专科批,1262,东莞职业技术学院,,首选历史，再选不限,399,71230,,,0,广东,公办,0,0
安徽,2025,历史类,专科批,1276,福建电力职业技术学院,（001）,首选历史，再选不限,446,60741,,,0,福建,公办,0,0
安徽,2025,历史类,专科批,1386,广西水利电力职业技术学院,（001）,首选历史，再选不限,304,124781,,,0,广西,公办,0,0
安徽,2025,历史类,专科批,1387,广西体育高等专科学校,（001）,首选历史，再选不限,333,88566,,,0,广西,公办,0,0
安徽,2025,历史类,专科批,1401,广州职业技术大学,（001）,首选历史，再选不限,430,68052,,,15,广东,公办,0,0
安徽,2025,历史类,专科批,1495,海南经贸职业技术学院,（001）,首选历史，再选不限,421,42281,,,0,海南,公办,0,0
安徽,2025,历史类,专科批,1500,海南外国语职业学院,（001）,首选历史，再选不限,323,88566,,,0,海南,公办,0,0
安徽,2025,历史类,专科批,1501,海南卫生健康职业学院,（001）,首选历史，再选不限,361,87541,,,0,海南,公办,0,0
安徽,2025,历史类,专科批,1509,汉江师范学院,（002）,首选历史，再选不限,468,42775,,,12,湖北,公办,0,0
