province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
安徽,2025,物理类,本科批,461,691.0,691-750,43,43,1-43
安徽,2025,物理类,本科批,461,690.0,690,14,57,44-57
安徽,2025,物理类,本科批,461,689.0,689,16,73,58-73
安徽,2025,物理类,本科批,461,688.0,688,16,89,74-89
安徽,2025,物理类,本科批,461,687.0,687,19,108,90-108
安徽,2025,物理类,本科批,461,686.0,686,20,128,109-128
安徽,2025,物理类,本科批,461,685.0,685,26,154,129-154
安徽,2025,物理类,本科批,461,684.0,684,15,169,155-169
安徽,2025,物理类,本科批,461,683.0,683,32,201,170-201
安徽,2025,物理类,本科批,461,682.0,682,28,229,202-229
安徽,2025,物理类,本科批,461,681.0,681,36,265,230-265
安徽,2025,物理类,本科批,461,680.0,680,47,312,266-312
安徽,2025,物理类,本科批,461,679.0,679,37,349,313-349
安徽,2025,物理类,本科批,461,678.0,678,41,390,350-390
安徽,2025,物理类,本科批,461,677.0,677,40,430,391-430
安徽,2025,物理类,本科批,461,676.0,676,60,490,431-490
安徽,2025,物理类,本科批,461,675.0,675,57,547,491-547
安徽,2025,物理类,本科批,461,674.0,674,72,619,548-619
安徽,2025,物理类,本科批,461,673.0,673,69,688,620-688
安徽,2025,物理类,本科批,461,672.0,672,61,749,689-749
安徽,2025,物理类,本科批,461,671.0,671,88,837,750-837
安徽,2025,物理类,本科批,461,670.0,670,87,924,838-924
安徽,2025,物理类,本科批,461,669.0,669,96,1020,925-1020
安徽,2025,物理类,本科批,461,668.0,668,112,1132,1021-1132
安徽,2025,物理类,本科批,461,667.0,667,94,1226,1133-1226
安徽,2025,物理类,本科批,461,666.0,666,114,1340,1227-1340
安徽,2025,物理类,本科批,461,665.0,665,112,1452,1341-1452
安徽,2025,物理类,本科批,461,664.0,664,106,1558,1453-1558
安徽,2025,物理类,本科批,461,663.0,663,129,1687,1559-1687
安徽,2025,物理类,本科批,461,662.0,662,166,1853,1688-1853
安徽,2025,物理类,本科批,461,661.0,661,145,1998,1854-1998
安徽,2025,物理类,本科批,461,660.0,660,154,2152,1999-2152
