province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
北京,2025,本科提前批普通类(A段),综合,112,陆军防化学院,{01},10,化学防护与安全,(化学防护初级指挥与技术军官)(男)(只招男生)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生;体检标准:防化岗位合格],物和化,,,
北京,2025,本科提前批普通类(A段),综合,112,陆军防化学院,{02},20,化学防护与安全,(化学防护初级指挥与技术军官)(女)(只招女生)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生;体检标准:防化岗位合格],物和化,,,
北京,2025,本科提前批普通类(A段),综合,115,空军航空大学,{01},10,飞行技术,"(航空飞行与指挥)(男)(免收学费,只招男生,只招英语、俄语考生,含为陆航代招计划;须经空军招飞体格检查、心理选拔和政治考核合格；从招收的飞行学员中,遴选部分完成短期体验飞行的优秀学员,人北京大学、清华大学或北京航空航天大学按“双学籍”模式联合培养)[以上专业要求文化课总成绩达到特殊类型招生控制分数线]",物,,,
北京,2025,本科提前批普通类(A段),综合,115,空军航空大学,{02},20,飞行技术,"(航空飞行与指挥)(女)(免收学费,只招女生，只招英语、俄语考生,须经空军招飞体格检查、心理选拔和政治考核合格；从招收的飞行学员中，遴选部分完成短期体验飞行的优秀学员，入北京大学、清华大学或北京航空航天大学按“双学籍”模式联合培养；全国招收普通高中毕业女生飞行学员30名，不分省下达招生计划，以实际录取数为准)[以上专业要求文化课总成绩达到特殊类型招生控制分数线]",物,,,
北京,2025,本科提前批普通类(A段),综合,115,空军航空大学,{03},30,侦察情报,"(情报分析处理初级指挥与技术军官)(男)(免收学费,只招男生,只招英语考生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线]",物和地,,,
北京,2025,本科提前批普通类(A段),综合,115,空军航空大学,{03},31,目标保障,"(目标保障初级指挥军官)(男)(免收学费,只招男生,只招英语考生,体检标准：通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线]",物和地,,,
北京,2025,本科提前批普通类(A段),综合,117,陆军兵种大学,{01},10,作战指挥,(侦察兵分队初级指挥军官)(部队侦察)(男)(只招男生，体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生],不限,,,
北京,2025,本科提前批普通类(A段),综合,117,陆军兵种大学,{02},20,作战指挥,"(特种兵分队初级指挥军官)(女)(只招女生,体检标准:特种作战岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",不限,,,
北京,2025,本科提前批普通类(A段),综合,117,陆军兵种大学,{03},30,无人装备工程,"(装甲装备保障初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物,,,
北京,2025,本科提前批普通类(A段),综合,117,陆军兵种大学,{03},31,无人系统指挥与控制,"(坦克装甲突击分队初级指挥军官)(男)(只招男生,体检标准:装甲岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物,,,
北京,2025,本科提前批普通类(A段),综合,117,陆军兵种大学,{03},32,装备保障,(装甲装备保障初级技术军官)(男)(只招男生，体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生],物,,,
北京,2025,本科提前批普通类(A段),综合,117,陆军兵种大学,{03},33,指挥信息系统工程,"(装甲兵指控通信分队初级指挥军官)(男)(只招男生,体检标准:装甲岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物,,,
北京,2025,本科提前批普通类(A段),综合,117,陆军兵种大学,{04},40,材料科学与工程,(海军陆战队装甲步兵分队初级指挥军官)(男)(只招男生体检标准装甲岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生],物和化,,,
北京,2025,本科提前批普通类(A段),综合,117,陆军兵种大学,{04},41,电气工程与智能控制,(装甲步兵分队初级指挥军官)(男)(只招男生，体检标准:装甲岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生],物和化,,,
北京,2025,本科提前批普通类(A段),综合,119,军事航天部队航天工程大学,{01},10,大数据管理与应用,"(数据管理初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物,,,
北京,2025,本科提前批普通类(A段),综合,119,军事航天部队航天工程大学,{02},20,大数据管理与应用,"(数据管理初级技术军官)(女)(只招女生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物,,,
北京,2025,本科提前批普通类(A段),综合,119,军事航天部队航天工程大学,{03},30,智能飞行器技术,"(航天器智能管控初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,119,军事航天部队航天工程大学,{03},31,光电信息科学与工程,"(光学测量与态势感知初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,119,军事航天部队航天工程大学,{03},32,飞行器控制与信息工程,"(飞行器运行控制初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,119,军事航天部队航天工程大学,{03},33,遥感科学与技术,"(航天遥感初级指挥与技术军官)(男)(只招男生,体检标准:测绘岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,119,军事航天部队航天工程大学,{04},40,飞行器控制与信息工程,"(飞行器运行控制初级技术军官)(女)(只招女生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{01},10,侦察情报,"(情报综合研究初级指挥与技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",不限,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{02},20,侦察情报,"(情报综合研究初级指挥与技术军官)(女)(只招女生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",不限,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},30,作战环境工程,"(环境仿真、效能评估与态势推演初级技术军官)(男)(只招男生,体检标准:测绘岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},31,电子信息工程,"(电子信息处理与分析初级指挥与技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},32,计算机科学与技术,"(网络安全与先进计算装备研发初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},33,网络空间安全,"(网络安全创新应用初级技术军官)(实验班)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},34,密码科学与技术,"(密码技术与应用初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},35,信息对抗技术,"(网络防御初级指挥与技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},36,智能无人系统技术,"(无人系统应用初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},37,密码学,"(密码科学研究初级指挥与技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},38,反无人技术与指挥,"(智能反无人初级指挥与技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},39,水声工程,"(水下信息感知处理初级指挥与技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},,人工智能,"(智能信息处理、智能装备研发初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},,通信工程,"(无线感知处理、通信装备设计初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},,网络空间安全,(网络安全初级技术军官)(男)(只招男生，体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生],物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},,测绘工程,"(测绘技术、时空信息保障初级技术军官)(男)(只招男生,体检标准:测绘岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{03},,网电指挥与工程,"(网电对抗初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{04},40,网络空间安全,(网络安全初级技术军官)(女)(只招女生，体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生],物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{04},41,遥感科学与技术,"(遥感测绘、图像解译初级技术军官)(女)(只招女生,体检标准:测绘岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,120,网络空间部队信息工程大学,{04},42,量子信息科学,"(量子通信、量子计算初级技术军官)(女)(只招女生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,123,信息支援部队工程大学,{01},10,通信工程,(通信网络初级指挥与技术军官)(男)(只招男生，体检标准:通信导航岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生],物和化,,,
北京,2025,本科提前批普通类(A段),综合,123,信息支援部队工程大学,{01},11,指挥信息系统工程,"(指挥信息系统建设、运用和保障初级技术军官)(男)(只招男生,体检标准:通信导航岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,123,信息支援部队工程大学,{01},12,光电信息科学与工程,"(光通信初级指挥与技术军官)(男)(只招男生,体检标准:通信导航岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,123,信息支援部队工程大学,{02},20,网络工程,"(网络规划、构建运维管理初级指挥与技术军官)(女)(只招女生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,124,联勤保障部队工程大学,{01},10,财务管理,"(军事财务初级指挥与技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",不限,,,
北京,2025,本科提前批普通类(A段),综合,124,联勤保障部队工程大学,{01},11,审计学,"(军队审计初级技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",不限,,,
北京,2025,本科提前批普通类(A段),综合,124,联勤保障部队工程大学,{02},20,审计学,"(军队审计初级技术军官)(女)(只招女生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",不限,,,
北京,2025,本科提前批普通类(A段),综合,124,联勤保障部队工程大学,{02},21,财务管理,"(军事财务初级指挥与技术军官)(女)(只招女生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",不限,,,
北京,2025,本科提前批普通类(A段),综合,124,联勤保障部队工程大学,{03},30,军事运输投送,"(运输投送指挥调度初级指挥与技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物,,,
北京,2025,本科提前批普通类(A段),综合,124,联勤保障部队工程大学,{04},40,无人装备工程,"(无人运输投送装备保障初级技术军官)(女)(只招女生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物,,,
北京,2025,本科提前批普通类(A段),综合,124,联勤保障部队工程大学,{05},50,军事能源工程,"(油料保障初级指挥与技术军官)(男)(只招男生,体检标准:油料岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,124,联勤保障部队工程大学,{05},51,国防工程及其智能化,"(军事设施建设、维护管理初级指挥与技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,213,海军航空大学,{01},10,飞行技术,"(航空飞行与指挥)(男)(免收学费,只招男生,须经海军招飞检测合格,综合高考成绩、身体、心理条件,择优推荐至北京大学、清华大学和北京航空航天大学进行“双学籍”联合培养或遴选至海军大连舰艇学院进行“舰机融合”培养)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,213,海军航空大学,{02},20,电气工程及其自动化,"(航空机务电气仪表维修初级技术军官)(男)(免收学费,只招男生,含航空飞行与指挥,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,213,海军航空大学,{02},21,舰基航空勤务,"(舰基航空勤务初级指挥与技术军官)(男)(免收学费,只招男生,含航空飞行与指挥,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,213,海军航空大学,{03},30,电子信息工程,"(电子装备运用初级指挥与技术军官)(女)(免收学费,只招女生,体检标准：通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生]",物和化,,,
北京,2025,本科提前批普通类(A段),综合,311,海军军医大学,{01},10,临床医学,(高级临床医师)(八年)(男)(只招男生)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生;体检标准:医疗卫生岗位合格],物和化,,,
北京,2025,本科提前批普通类(A段),综合,311,海军军医大学,{01},11,临床医学,(临床通科医师)(五年)(男)(只招男生)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生;体检标准:医疗卫生岗位合格],物和化,,,
北京,2025,本科提前批普通类(A段),综合,311,海军军医大学,{02},20,临床医学,(临床通科医师)(五年)(女)(只招女生)[以上专业要求文化课总成绩达到特殊类型招生控制分数线;只招英语考生;体检标准:医疗卫生岗位合格],物和化,,,
北京,2025,本科提前批普通类(A段),综合,321,陆军工程大学,{02},20,指挥信息系统工程,"(指挥信息系统工程初级技术军官)(男)(只招男生,体检标准:通信导航岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线；只招英语考生]",物,,,
北京,2025,本科提前批普通类(A段),综合,321,陆军工程大学,{02},21,无人系统指挥与控制,"(无人机运用与指挥初级指挥与技术军官)(男)(只招男生,体检标准:通用标准合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线；只招英语考生]",物,,,
北京,2025,本科提前批普通类(A段),综合,321,陆军工程大学,{03},30,信息安全,"(信息安全初级指挥与技术军官)(男)(只招男生,体检标准:通信导航岗位合格)[以上专业要求文化课总成绩达到特殊类型招生控制分数线；只招英语考生]",物和化,,,
