province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
北京,2025,综合,本科批,430,698.0,698-750,113,113,1-113
北京,2025,综合,本科批,430,697.0,697,23,136,114-136
北京,2025,综合,本科批,430,696.0,696,12,148,137-148
北京,2025,综合,本科批,430,695.0,695,21,169,149-169
北京,2025,综合,本科批,430,694.0,694,17,186,170-186
北京,2025,综合,本科批,430,693.0,693,15,201,187-201
北京,2025,综合,本科批,430,692.0,692,27,228,202-228
北京,2025,综合,本科批,430,691.0,691,28,256,229-256
北京,2025,综合,本科批,430,690.0,690,21,277,257-277
北京,2025,综合,本科批,430,689.0,689,26,303,278-303
北京,2025,综合,本科批,430,688.0,688,37,340,304-340
北京,2025,综合,本科批,430,687.0,687,45,385,341-385
北京,2025,综合,本科批,430,686.0,686,34,419,386-419
北京,2025,综合,本科批,430,685.0,685,42,461,420-461
北京,2025,综合,本科批,430,684.0,684,42,503,462-503
北京,2025,综合,本科批,430,683.0,683,48,551,504-551
北京,2025,综合,本科批,430,682.0,682,38,589,552-589
北京,2025,综合,本科批,430,681.0,681,50,639,590-639
北京,2025,综合,本科批,430,680.0,680,46,685,640-685
北京,2025,综合,本科批,430,679.0,679,57,742,686-742
北京,2025,综合,本科批,430,678.0,678,65,807,743-807
北京,2025,综合,本科批,430,677.0,677,54,861,808-861
北京,2025,综合,本科批,430,676.0,676,50,911,862-911
北京,2025,综合,本科批,430,675.0,675,63,974,912-974
北京,2025,综合,本科批,430,674.0,674,55,1029,975-1029
北京,2025,综合,本科批,430,673.0,673,59,1088,1030-1088
北京,2025,综合,本科批,430,672.0,672,69,1157,1089-1157
北京,2025,综合,本科批,430,671.0,671,87,1244,1158-1244
北京,2025,综合,本科批,430,670.0,670,84,1328,1245-1328
北京,2025,综合,本科批,430,669.0,669,67,1395,1329-1395
北京,2025,综合,本科批,430,668.0,668,79,1474,1396-1474
北京,2025,综合,本科批,430,667.0,667,78,1552,1475-1552
北京,2025,综合,本科批,430,666.0,666,78,1630,1553-1630
北京,2025,综合,本科批,430,665.0,665,102,1732,1631-1732
北京,2025,综合,本科批,430,664.0,664,68,1800,1733-1800
北京,2025,综合,本科批,430,663.0,663,82,1882,1801-1882
北京,2025,综合,本科批,430,662.0,662,79,1961,1883-1961
北京,2025,综合,本科批,430,661.0,661,98,2059,1962-2059
北京,2025,综合,本科批,430,660.0,660,94,2153,2060-2153
北京,2025,综合,本科批,430,659.0,659,93,2246,2154-2246
北京,2025,综合,本科批,430,658.0,658,85,2331,2247-2331
北京,2025,综合,本科批,430,657.0,657,114,2445,2332-2445
