province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
重庆,2025,历史类,专科批,1166,北京培黎职业学院,,首选历史，再选不限,418,41336,,,0,北京,民办,0,0
重庆,2025,历史类,专科批,1223,天津市职业大学,,首选历史，再选不限,469,22503,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1228,天津现代职业技术学院,,首选历史，再选不限,398,35576,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1229,天津轻工职业技术学院,,首选历史，再选不限,420,40752,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1234,天津交通职业学院,,首选历史，再选不限,416,41973,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1237,天津石油职业技术学院,,首选历史，再选不限,381,48709,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1238,天津国土资源和房屋职业学院,,首选历史，再选不限,383,40440,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1248,天津城市建设管理职业技术学院,,首选历史，再选不限,374,49804,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1249,天津海运职业学院,,首选历史，再选不限,440,34669,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1253,天津城市职业学院,,首选历史，再选不限,462,20074,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1272,天津铁道职业技术学院,,首选历史，再选不限,432,32576,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1274,天津生物工程职业技术学院,,首选历史，再选不限,369,18730,,,0,天津,公办,0,0
重庆,2025,历史类,专科批,1323,邯郸职业技术学院,,首选历史，再选不限,412,43150,,,0,河北,公办,0,0
重庆,2025,历史类,专科批,1324,石家庄铁路职业技术学院,,首选历史，再选不限,469,21660,,,0,河北,公办,0,0
重庆,2025,历史类,专科批,1326,河北建材职业技术学院,,首选历史，再选不限,356,57321,,,0,河北,公办,0,0
重庆,2025,历史类,专科批,1328,河北软件职业技术学院,,首选历史，再选不限,360,57575,,,0,河北,公办,0,0
重庆,2025,历史类,专科批,1329,秦皇岛职业技术学院,,首选历史，再选不限,351,46382,,,0,河北,公办,0,0
重庆,2025,历史类,专科批,1330,唐山职业技术学院,,首选历史，再选不限,403,31993,,,0,河北,公办,0,0
重庆,2025,历史类,专科批,1332,河北旅游职业学院,,首选历史，再选不限,367,50372,,,0,河北,公办,0,0
重庆,2025,历史类,专科批,1334,河北化工医药职业技术学院,,首选历史，再选不限,340,47272,,,0,河北,公办,0,0
重庆,2025,历史类,专科批,1337,石家庄邮电职业技术学院,,首选历史，再选不限,497,17973,,,0,河北,公办,0,0
