province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
重庆,2025,物理类,本科批,425,681.0,681-750,159,159,1-159
重庆,2025,物理类,本科批,425,680.0,680,17,176,160-176
重庆,2025,物理类,本科批,425,679.0,679,19,195,177-195
重庆,2025,物理类,本科批,425,678.0,678,22,217,196-217
重庆,2025,物理类,本科批,425,677.0,677,27,244,218-244
重庆,2025,物理类,本科批,425,676.0,676,32,276,245-276
重庆,2025,物理类,本科批,425,675.0,675,29,305,277-305
重庆,2025,物理类,本科批,425,674.0,674,25,330,306-330
重庆,2025,物理类,本科批,425,673.0,673,44,374,331-374
重庆,2025,物理类,本科批,425,672.0,672,29,403,375-403
重庆,2025,物理类,本科批,425,671.0,671,30,433,404-433
重庆,2025,物理类,本科批,425,670.0,670,37,470,434-470
重庆,2025,物理类,本科批,425,669.0,669,46,516,471-516
重庆,2025,物理类,本科批,425,668.0,668,45,561,517-561
重庆,2025,物理类,本科批,425,667.0,667,41,602,562-602
重庆,2025,物理类,本科批,425,666.0,666,41,643,603-643
重庆,2025,物理类,本科批,425,665.0,665,50,693,644-693
重庆,2025,物理类,本科批,425,664.0,664,47,740,694-740
重庆,2025,物理类,本科批,425,663.0,663,52,792,741-792
重庆,2025,物理类,本科批,425,662.0,662,52,844,793-844
重庆,2025,物理类,本科批,425,661.0,661,45,889,845-889
重庆,2025,物理类,本科批,425,660.0,660,62,951,890-951
重庆,2025,物理类,本科批,425,659.0,659,76,1027,952-1027
重庆,2025,物理类,本科批,425,658.0,658,72,1099,1028-1099
重庆,2025,物理类,本科批,425,657.0,657,65,1164,1100-1164
重庆,2025,物理类,本科批,425,656.0,656,76,1240,1165-1240
重庆,2025,物理类,本科批,425,655.0,655,75,1315,1241-1315
重庆,2025,物理类,本科批,425,654.0,654,66,1381,1316-1381
重庆,2025,物理类,本科批,425,653.0,653,73,1454,1382-1454
重庆,2025,物理类,本科批,425,652.0,652,86,1540,1455-1540
重庆,2025,物理类,本科批,425,651.0,651,79,1619,1541-1619
重庆,2025,物理类,本科批,425,650.0,650,82,1701,1620-1701
重庆,2025,物理类,本科批,425,649.0,649,102,1803,1702-1803
重庆,2025,物理类,本科批,425,648.0,648,86,1889,1804-1889
重庆,2025,物理类,本科批,425,647.0,647,105,1994,1890-1994
重庆,2025,物理类,本科批,425,646.0,646,114,2108,1995-2108
重庆,2025,物理类,本科批,425,645.0,645,116,2224,2109-2224
重庆,2025,物理类,本科批,425,644.0,644,113,2337,2225-2337
重庆,2025,物理类,本科批,425,643.0,643,135,2472,2338-2472
重庆,2025,物理类,本科批,425,642.0,642,120,2592,2473-2592
重庆,2025,物理类,本科批,425,641.0,641,123,2715,2593-2715
重庆,2025,物理类,本科批,425,640.0,640,156,2871,2716-2871
重庆,2025,物理类,本科批,425,639.0,639,141,3012,2872-3012
重庆,2025,物理类,本科批,425,638.0,638,128,3140,3013-3140
重庆,2025,物理类,本科批,425,637.0,637,164,3304,3141-3304
重庆,2025,物理类,本科批,425,636.0,636,143,3447,3305-3447
重庆,2025,物理类,本科批,425,635.0,635,138,3585,3448-3585
重庆,2025,物理类,本科批,425,634.0,634,148,3733,3586-3733
重庆,2025,物理类,本科批,425,633.0,633,169,3902,3734-3902
重庆,2025,物理类,本科批,425,632.0,632,153,4055,3903-4055
重庆,2025,物理类,本科批,425,631.0,631,165,4220,4056-4220
重庆,2025,物理类,本科批,425,630.0,630,173,4393,4221-4393
重庆,2025,物理类,本科批,425,629.0,629,151,4544,4394-4544
重庆,2025,物理类,本科批,425,628.0,628,204,4748,4545-4748
重庆,2025,物理类,本科批,425,627.0,627,198,4946,4749-4946
重庆,2025,物理类,本科批,425,626.0,626,196,5142,4947-5142
重庆,2025,物理类,本科批,425,625.0,625,212,5354,5143-5354
重庆,2025,物理类,本科批,425,624.0,624,211,5565,5355-5565
重庆,2025,物理类,本科批,425,623.0,623,200,5765,5566-5765
重庆,2025,物理类,本科批,425,622.0,622,218,5983,5766-5983
重庆,2025,物理类,本科批,425,621.0,621,219,6202,5984-6202
重庆,2025,物理类,本科批,425,620.0,620,205,6407,6203-6407
重庆,2025,物理类,本科批,425,619.0,619,225,6632,6408-6632
重庆,2025,物理类,本科批,425,618.0,618,232,6864,6633-6864
重庆,2025,物理类,本科批,425,617.0,617,267,7131,6865-7131
重庆,2025,物理类,本科批,425,616.0,616,231,7362,7132-7362
重庆,2025,物理类,本科批,425,615.0,615,268,7630,7363-7630
重庆,2025,物理类,本科批,425,614.0,614,236,7866,7631-7866
重庆,2025,物理类,本科批,425,613.0,613,263,8129,7867-8129
重庆,2025,物理类,本科批,425,612.0,612,240,8369,8130-8369
重庆,2025,物理类,本科批,425,611.0,611,270,8639,8370-8639
重庆,2025,物理类,本科批,425,610.0,610,259,8898,8640-8898
重庆,2025,物理类,本科批,425,609.0,609,291,9189,8899-9189
重庆,2025,物理类,本科批,425,608.0,608,266,9455,9190-9455
重庆,2025,物理类,本科批,425,607.0,607,285,9740,9456-9740
重庆,2025,物理类,本科批,425,606.0,606,286,10026,9741-10026
重庆,2025,物理类,本科批,425,605.0,605,268,10294,10027-10294
重庆,2025,物理类,本科批,425,604.0,604,262,10556,10295-10556
重庆,2025,物理类,本科批,425,603.0,603,303,10859,10557-10859
重庆,2025,物理类,本科批,425,602.0,602,266,11125,10860-11125
重庆,2025,物理类,本科批,425,601.0,601,295,11420,11126-11420
重庆,2025,物理类,本科批,425,600.0,600,296,11716,11421-11716
重庆,2025,物理类,本科批,425,599.0,599,292,12008,11717-12008
重庆,2025,物理类,本科批,425,598.0,598,319,12327,12009-12327
重庆,2025,物理类,本科批,425,597.0,597,324,12651,12328-12651
重庆,2025,物理类,本科批,425,596.0,596,311,12962,12652-12962
重庆,2025,物理类,本科批,425,595.0,595,325,13287,12963-13287
重庆,2025,物理类,本科批,425,594.0,594,315,13602,13288-13602
重庆,2025,物理类,本科批,425,593.0,593,347,13949,13603-13949
重庆,2025,物理类,本科批,425,592.0,592,344,14293,13950-14293
重庆,2025,物理类,本科批,425,591.0,591,359,14652,14294-14652
重庆,2025,物理类,本科批,425,590.0,590,336,14988,14653-14988
重庆,2025,物理类,本科批,425,589.0,589,358,15346,14989-15346
重庆,2025,物理类,本科批,425,588.0,588,327,15673,15347-15673
重庆,2025,物理类,本科批,425,587.0,587,385,16058,15674-16058
重庆,2025,物理类,本科批,425,586.0,586,343,16401,16059-16401
重庆,2025,物理类,本科批,425,585.0,585,363,16764,16402-16764
重庆,2025,物理类,本科批,425,584.0,584,383,17147,16765-17147
重庆,2025,物理类,本科批,425,583.0,583,343,17490,17148-17490
重庆,2025,物理类,本科批,425,582.0,582,363,17853,17491-17853
重庆,2025,物理类,本科批,425,581.0,581,407,18260,17854-18260
重庆,2025,物理类,本科批,425,580.0,580,418,18678,18261-18678
重庆,2025,物理类,本科批,425,579.0,579,378,19056,18679-19056
重庆,2025,物理类,本科批,425,578.0,578,385,19441,19057-19441
重庆,2025,物理类,本科批,425,577.0,577,374,19815,19442-19815
重庆,2025,物理类,本科批,425,576.0,576,432,20247,19816-20247
重庆,2025,物理类,本科批,425,575.0,575,386,20633,20248-20633
重庆,2025,物理类,本科批,425,574.0,574,373,21006,20634-21006
重庆,2025,物理类,本科批,425,573.0,573,420,21426,21007-21426
重庆,2025,物理类,本科批,425,572.0,572,416,21842,21427-21842
重庆,2025,物理类,本科批,425,571.0,571,452,22294,21843-22294
重庆,2025,物理类,本科批,425,570.0,570,429,22723,22295-22723
重庆,2025,物理类,本科批,425,569.0,569,419,23142,22724-23142
重庆,2025,物理类,本科批,425,568.0,568,429,23571,23143-23571
重庆,2025,物理类,本科批,425,567.0,567,433,24004,23572-24004
重庆,2025,物理类,本科批,425,566.0,566,392,24396,24005-24396
重庆,2025,物理类,本科批,425,565.0,565,489,24885,24397-24885
重庆,2025,物理类,本科批,425,564.0,564,454,25339,24886-25339
重庆,2025,物理类,本科批,425,563.0,563,472,25811,25340-25811
重庆,2025,物理类,本科批,425,562.0,562,469,26280,25812-26280
重庆,2025,物理类,本科批,425,561.0,561,520,26800,26281-26800
重庆,2025,物理类,本科批,425,560.0,560,491,27291,26801-27291
重庆,2025,物理类,本科批,425,559.0,559,483,27774,27292-27774
重庆,2025,物理类,本科批,425,558.0,558,497,28271,27775-28271
重庆,2025,物理类,本科批,425,557.0,557,480,28751,28272-28751
重庆,2025,物理类,本科批,425,556.0,556,504,29255,28752-29255
重庆,2025,物理类,本科批,425,555.0,555,528,29783,29256-29783
重庆,2025,物理类,本科批,425,554.0,554,503,30286,29784-30286
重庆,2025,物理类,本科批,425,553.0,553,484,30770,30287-30770
重庆,2025,物理类,本科批,425,552.0,552,487,31257,30771-31257
重庆,2025,物理类,本科批,425,551.0,551,489,31746,31258-31746
重庆,2025,物理类,本科批,425,550.0,550,514,32260,31747-32260
重庆,2025,物理类,本科批,425,549.0,549,544,32804,32261-32804
重庆,2025,物理类,本科批,425,548.0,548,508,33312,32805-33312
重庆,2025,物理类,本科批,425,547.0,547,534,33846,33313-33846
重庆,2025,物理类,本科批,425,546.0,546,530,34376,33847-34376
重庆,2025,物理类,本科批,425,545.0,545,562,34938,34377-34938
重庆,2025,物理类,本科批,425,544.0,544,581,35519,34939-35519
重庆,2025,物理类,本科批,425,543.0,543,539,36058,35520-36058
重庆,2025,物理类,本科批,425,542.0,542,562,36620,36059-36620
重庆,2025,物理类,本科批,425,541.0,541,568,37188,36621-37188
重庆,2025,物理类,本科批,425,540.0,540,548,37736,37189-37736
重庆,2025,物理类,本科批,425,539.0,539,536,38272,37737-38272
重庆,2025,物理类,本科批,425,538.0,538,563,38835,38273-38835
