province,year,batch,category,university_code,university_name,major_group,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
福建,2025,本科提前批,历史类,1009,"福建警察学院(福州,男)",1009700.0,700,1,治安学,(福州，男)(公安类专业面向福州生源招生，只招男生),政治,7,4,5200.0
福建,2025,本科提前批,历史类,1009,"福建警察学院(福州,男)",1009700.0,700,2,侦查学,(福州，男)(公安类专业面向福州生源招生，只招男生),政治,7,4,5200.0
福建,2025,本科提前批,历史类,1009,"福建警察学院(福州,男)",1009700.0,700,3,禁毒学,(福州，男)(公安类专业面向福州生源招生，只招男生),政治,3,4,5200.0
福建,2025,本科提前批,历史类,1009,"福建警察学院(福州,男)",1009700.0,700,4,经济犯罪侦查,(福州，男)(公安类专业面向福州生源招生，只招男生),政治,3,4,5200.0
福建,2025,本科提前批,历史类,1009,"福建警察学院(福州,男)",1009700.0,700,5,国内安全保卫,(福州，男)(公安类专业面向福州生源招生，只招男生),政治,4,4,5200.0
福建,2025,本科提前批,历史类,1009,"福建警察学院(福州,男)",1009700.0,700,6,警务指挥与战术,(福州，男)(公安类专业面向福州生源招生，只招男生),政治,4,4,5200.0
福建,2025,本科提前批,历史类,1010,"福建警察学院(福州,女)",1010700.0,700,1,治安学,(福州，女)(公安类专业面向福州生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1010,"福建警察学院(福州,女)",1010700.0,700,2,侦查学,(福州，女)(公安类专业面向福州生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1010,"福建警察学院(福州,女)",1010700.0,700,3,禁毒学,(福州，女)(公安类专业面向福州生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1010,"福建警察学院(福州,女)",1010700.0,700,4,经济犯罪侦查,(福州，女)(公安类专业面向福州生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1010,"福建警察学院(福州,女)",1010700.0,700,5,国内安全保卫,(福州，女)(公安类专业面向福州生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1010,"福建警察学院(福州,女)",1010700.0,700,6,警务指挥与战术,(福州，女)(公安类专业面向福州生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1011,"福建警察学院(龙岩,男)",1011700.0,700,1,治安学,(龙岩，男)(公安类专业面向龙岩生源招生，只招男生),政治,3,4,5200.0
福建,2025,本科提前批,历史类,1011,"福建警察学院(龙岩,男)",1011700.0,700,2,侦查学,(龙岩，男)(公安类专业面向龙岩生源招生，只招男生),政治,3,4,5200.0
福建,2025,本科提前批,历史类,1011,"福建警察学院(龙岩,男)",1011700.0,700,3,禁毒学,(龙岩，男)(公安类专业面向龙岩生源招生，只招男生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1011,"福建警察学院(龙岩,男)",1011700.0,700,4,经济犯罪侦查,(龙岩，男)(公安类专业面向龙岩生源招生，只招男生),政治,2,4,5200.0
福建,2025,本科提前批,历史类,1011,"福建警察学院(龙岩,男)",1011700.0,700,5,国内安全保卫,(龙岩，男)(公安类专业面向龙岩生源招生，只招男生),政治,2,4,5200.0
福建,2025,本科提前批,历史类,1011,"福建警察学院(龙岩,男)",1011700.0,700,6,警务指挥与战术,(龙岩，男)(公安类专业面向龙岩生源招生，只招男生),政治,2,4,5200.0
福建,2025,本科提前批,历史类,1012,"福建警察学院(龙岩,女)",1012700.0,700,1,国内安全保卫,(龙岩，女)(公安类专业面向龙岩生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1012,"福建警察学院(龙岩,女)",1012700.0,700,2,警务指挥与战术,(龙岩，女)(公安类专业面向龙岩生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1013,"福建警察学院(南平,男)",1013700.0,700,1,治安学,(南平，男)(公安类专业面向南平生源招生，只招男生),政治,3,4,5200.0
福建,2025,本科提前批,历史类,1013,"福建警察学院(南平,男)",1013700.0,700,2,侦查学,(南平，男)(公安类专业面向南平生源招生，只招男生),政治,3,4,5200.0
福建,2025,本科提前批,历史类,1013,"福建警察学院(南平,男)",1013700.0,700,3,禁毒学,(南平，男)(公安类专业面向南平生源招生，只招男生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1013,"福建警察学院(南平,男)",1013700.0,700,4,经济犯罪侦查,(南平，男)(公安类专业面向南平生源招生，只招男生),政治,2,4,5200.0
福建,2025,本科提前批,历史类,1013,"福建警察学院(南平,男)",1013700.0,700,5,国内安全保卫,(南平，男)(公安类专业面向南平生源招生，只招男生),政治,2,4,5200.0
福建,2025,本科提前批,历史类,1013,"福建警察学院(南平,男)",1013700.0,700,6,警务指挥与战术,(南平，男)(公安类专业面向南平生源招生，只招男生),政治,2,4,5200.0
福建,2025,本科提前批,历史类,1014,"福建警察学院(南平,女)",1014700.0,700,1,治安学,(南平，女)(公安类专业面向南平生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1014,"福建警察学院(南平,女)",1014700.0,700,2,侦查学,(南平，女)(公安类专业面向南平生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1014,"福建警察学院(南平,女)",1014700.0,700,3,禁毒学,(南平，女)(公安类专业面向南平生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1015,"福建警察学院(宁德,男)",1015700.0,700,1,治安学,(宁德，男)(公安类专业面向宁德生源招生，只招男生),政治,4,4,5200.0
福建,2025,本科提前批,历史类,1015,"福建警察学院(宁德,男)",1015700.0,700,2,侦查学,(宁德，男)(公安类专业面向宁德生源招生，只招男生),政治,4,4,5200.0
福建,2025,本科提前批,历史类,1015,"福建警察学院(宁德,男)",1015700.0,700,3,禁毒学,(宁德，男)(公安类专业面向宁德生源招生，只招男生),政治,2,4,5200.0
福建,2025,本科提前批,历史类,1015,"福建警察学院(宁德,男)",1015700.0,700,4,经济犯罪侦查,(宁德，男)(公安类专业面向宁德生源招生，只招男生),政治,2,4,5200.0
福建,2025,本科提前批,历史类,1015,"福建警察学院(宁德,男)",1015700.0,700,5,国内安全保卫,(宁德，男)(公安类专业面向宁德生源招生，只招男生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1015,"福建警察学院(宁德,男)",1015700.0,700,6,警务指挥与战术,(宁德，男)(公安类专业面向宁德生源招生，只招男生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1016,"福建警察学院(宁德,女)",1016700.0,700,1,治安学,(宁德，女)(公安类专业面向宁德生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1016,"福建警察学院(宁德,女)",1016700.0,700,2,侦查学,(宁德，女)(公安类专业面向宁德生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1016,"福建警察学院(宁德,女)",1016700.0,700,3,禁毒学,(宁德，女)(公安类专业面向宁德生源招生，只招女生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1017,"福建警察学院(平潭,男)",1017700.0,700,1,治安学,(平潭，男)(公安类专业面向平潭生源招生，只招男生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1018,"福建警察学院(莆田,男)",1018700.0,700,1,治安学,(莆田，男)(公安类专业面向莆田生源招生，只招男生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1018,"福建警察学院(莆田,男)",1018700.0,700,2,侦查学,(莆田，男)(公安类专业面向莆田生源招生，只招男生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1018,"福建警察学院(莆田,男)",1018700.0,700,3,禁毒学,(莆田，男)(公安类专业面向莆田生源招生，只招男生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1018,"福建警察学院(莆田,男)",1018700.0,700,4,经济犯罪侦查,(莆田，男)(公安类专业面向莆田生源招生，只招男生),政治,1,4,5200.0
福建,2025,本科提前批,历史类,1018,"福建警察学院(莆田,男)",1018700.0,700,5,国内安全保卫,(莆田，男)(公安类专业面向莆田生源招生，只招男生),政治,1,4,5200.0
