province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
福建,2025,历史类,专科批,1116,黎明职业大学,,首选历史，再选不限,373,26689,,,0,福建,公办,0,0
福建,2025,历史类,专科批,2305,北京中医药大学东方学院,,首选历史，再选不限,402,36924,,,0,河北,民办,0,0
福建,2025,历史类,专科批,2497,广东轻工职业技术大学,,首选历史，再选不限,447,25562,,,0,广东,公办,0,0
福建,2025,历史类,专科批,2517,广西农业职业技术大学,,首选历史，再选不限,357,46919,,,0,广西,公办,0,0
福建,2025,历史类,专科批,2520,广西外国语学院,,首选历史，再选不限,248,38106,,,0,广西,民办,0,0
福建,2025,历史类,专科批,2545,桂林理工大学,,首选历史，再选不限,392,31127,,,0,广西,公办,0,0
福建,2025,历史类,专科批,2549,桂林师范学院,,首选历史，再选不限,287,35686,,,0,广西,公办,0,0
福建,2025,历史类,专科批,2629,海口经济学院,,首选历史，再选不限,263,34528,,,0,海南,民办,0,0
福建,2025,历史类,专科批,2669,河北科技工程职业技术大学,,首选历史，再选不限,367,44819,,,0,河北,公办,0,0
福建,2025,历史类,专科批,2734,湖北工程学院新技术学院,,首选历史，再选不限,346,47337,,,0,湖北,民办,0,0
福建,2025,历史类,专科批,2751,湖北师范大学文理学院,,首选历史，再选不限,272,34528,,,0,湖北,民办,0,0
福建,2025,历史类,专科批,2776,湖南汽车工程职业大学,,首选历史，再选不限,418,33099,,,0,湖南,公办,0,0
福建,2025,历史类,专科批,2895,江西科技学院,,首选历史，再选不限,362,41274,,,0,江西,民办,0,0
福建,2025,历史类,专科批,2902,江西软件职业技术大学,,首选历史，再选不限,340,46081,,,0,江西,民办,0,0
福建,2025,历史类,专科批,2907,江西应用科技学院,,首选历史，再选不限,314,54362,,,0,江西,民办,0,0
福建,2025,历史类,专科批,2908,江西职业技术大学,,首选历史，再选不限,421,28570,,,0,江西,公办,0,0
福建,2025,历史类,专科批,2916,景德镇艺术职业大学,,首选历史，再选不限,293,51484,,,0,江西,民办,0,0
福建,2025,历史类,专科批,2947,兰州石化职业技术大学,,首选历史，再选不限,397,28068,,,0,甘肃,公办,0,0
福建,2025,历史类,专科批,3004,南昌工学院,,首选历史，再选不限,286,36430,,,0,江西,民办,0,0
福建,2025,历史类,专科批,3020,南昌应用技术师范学院,,首选历史，再选不限,407,35686,,,0,江西,民办,0,0
福建,2025,历史类,专科批,3021,南昌职业大学,,首选历史，再选不限,311,54718,,,0,江西,民办,0,0
福建,2025,历史类,专科批,3136,三峡大学科技学院,,首选历史，再选不限,364,41497,,,0,湖北,民办,0,0
福建,2025,历史类,专科批,3226,上海中侨职业技术大学,,首选历史，再选不限,329,43718,,,0,上海,民办,0,0
福建,2025,历史类,专科批,3280,四川大学锦江学院,,首选历史，再选不限,244,41057,,,0,四川,民办,0,0
福建,2025,历史类,专科批,3282,四川工程职业技术大学,,首选历史，再选不限,400,26445,,,0,四川,公办,0,0
福建,2025,历史类,专科批,3307,泰山科技学院,,首选历史，再选不限,278,57219,,,0,山东,民办,0,0
福建,2025,历史类,专科批,3367,文华学院,,首选历史，再选不限,331,31901,,,0,湖北,民办,0,0
福建,2025,历史类,专科批,3378,武昌理工学院,,首选历史，再选不限,329,39507,,,0,湖北,民办,0,0
福建,2025,历史类,专科批,3379,武昌首义学院,,首选历史，再选不限,317,49534,,,0,湖北,民办,0,0
福建,2025,历史类,专科批,3388,武汉纺织大学外经贸学院,,首选历史，再选不限,337,50796,,,0,湖北,民办,0,0
福建,2025,历史类,专科批,3405,武汉生物工程学院,,首选历史，再选不限,374,35453,,,0,湖北,民办,0,0
福建,2025,历史类,专科批,3411,武汉职业技术大学,,首选历史，再选不限,427,26689,,,0,湖北,公办,0,0
福建,2025,历史类,专科批,3454,西安信息职业大学,,首选历史，再选不限,235,39969,,,0,陕西,民办,0,0
福建,2025,历史类,专科批,3514,新疆和田学院,,首选历史，再选不限,438,28331,,,0,新疆,公办,0,0
福建,2025,历史类,专科批,3561,云南经济管理学院,,首选历史，再选不限,276,48364,,,0,云南,民办,0,0
福建,2025,历史类,专科批,7001,福建船政交通职业学院,,首选历史，再选不限,400,25789,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7003,福建电力职业技术学院,,首选历史，再选不限,433,26689,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7004,福建华南女子职业学院,,首选历史，再选不限,265,44394,,,0,福建,民办,0,0
福建,2025,历史类,专科批,7005,福建林业职业技术学院,,首选历史，再选不限,380,29489,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7006,福建农业职业技术学院,,首选历史，再选不限,372,24376,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7009,福建水利电力职业技术学院,,首选历史，再选不限,379,28331,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7012,福建卫生职业技术学院,,首选历史，再选不限,391,20340,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7016,福建信息职业技术学院,,首选历史，再选不限,378,24878,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7017,福建艺术职业学院,,首选历史，再选不限,275,36924,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7019,福建幼儿师范高等专科学校,,首选历史，再选不限,375,26445,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7020,福州科技职业技术学院,,首选历史，再选不限,240,40383,,,0,福建,民办,0,0
福建,2025,历史类,专科批,7021,福州黎明职业技术学院,,首选历史，再选不限,235,45427,,,0,福建,民办,0,0
福建,2025,历史类,专科批,7022,福州墨尔本理工职业学院,,首选历史，再选不限,236,51484,,,0,福建,中外合作办学,0,0
福建,2025,历史类,专科批,7023,福州软件职业技术学院,,首选历史，再选不限,289,37907,,,0,福建,民办,0,0
福建,2025,历史类,专科批,7024,福州英华职业学院,,首选历史，再选不限,238,43500,,,0,福建,民办,0,0
福建,2025,历史类,专科批,7025,福州职业技术学院,,首选历史，再选不限,407,27847,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7027,湄洲湾职业技术学院,,首选历史，再选不限,380,29489,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7028,闽北职业技术学院,,首选历史，再选不限,297,35915,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7030,闽江师范高等专科学校,,首选历史，再选不限,361,29489,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7031,闽西职业技术学院,,首选历史，再选不限,352,33811,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7032,宁德职业技术学院,,首选历史，再选不限,346,33553,,,0,福建,公办,0,0
福建,2025,历史类,专科批,7033,泉州纺织服装职业学院,,首选历史，再选不限,236,44598,,,0,福建,民办,0,0
福建,2025,历史类,专科批,7034,泉州工程职业技术学院,,首选历史，再选不限,237,46919,,,0,福建,民办,0,0
