province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
福建,2025,物理类,本科批,441,689.0,689-750,46,46,1-46
福建,2025,物理类,本科批,441,688.0,688,12,58,47-58
福建,2025,物理类,本科批,441,687.0,687,5,63,59-63
福建,2025,物理类,本科批,441,686.0,686,10,73,64-73
福建,2025,物理类,本科批,441,685.0,685,17,90,74-90
福建,2025,物理类,本科批,441,684.0,684,10,100,91-100
福建,2025,物理类,本科批,441,683.0,683,9,109,101-109
福建,2025,物理类,本科批,441,682.0,682,19,128,110-128
福建,2025,物理类,本科批,441,681.0,681,17,145,129-145
福建,2025,物理类,本科批,441,680.0,680,12,157,146-157
福建,2025,物理类,本科批,441,679.0,679,20,177,158-177
福建,2025,物理类,本科批,441,678.0,678,20,197,178-197
福建,2025,物理类,本科批,441,677.0,677,30,227,198-227
福建,2025,物理类,本科批,441,676.0,676,21,248,228-248
福建,2025,物理类,本科批,441,675.0,675,29,277,249-277
福建,2025,物理类,本科批,441,674.0,674,31,308,278-308
福建,2025,物理类,本科批,441,673.0,673,32,340,309-340
福建,2025,物理类,本科批,441,672.0,672,37,377,341-377
福建,2025,物理类,本科批,441,671.0,671,41,418,378-418
福建,2025,物理类,本科批,441,670.0,670,40,458,419-458
福建,2025,物理类,本科批,441,669.0,669,37,495,459-495
福建,2025,物理类,本科批,441,668.0,668,36,531,496-531
福建,2025,物理类,本科批,441,667.0,667,46,577,532-577
福建,2025,物理类,本科批,441,666.0,666,37,614,578-614
福建,2025,物理类,本科批,441,665.0,665,48,662,615-662
福建,2025,物理类,本科批,441,664.0,664,53,715,663-715
福建,2025,物理类,本科批,441,663.0,663,62,777,716-777
福建,2025,物理类,本科批,441,662.0,662,50,827,778-827
福建,2025,物理类,本科批,441,661.0,661,64,891,828-891
福建,2025,物理类,本科批,441,660.0,660,51,942,892-942
福建,2025,物理类,本科批,441,659.0,659,82,1024,943-1024
福建,2025,物理类,本科批,441,658.0,658,80,1104,1025-1104
福建,2025,物理类,本科批,441,657.0,657,81,1185,1105-1185
福建,2025,物理类,本科批,441,656.0,656,86,1271,1186-1271
福建,2025,物理类,本科批,441,655.0,655,91,1362,1272-1362
福建,2025,物理类,本科批,441,654.0,654,91,1453,1363-1453
福建,2025,物理类,本科批,441,653.0,653,86,1539,1454-1539
福建,2025,物理类,本科批,441,652.0,652,95,1634,1540-1634
福建,2025,物理类,本科批,441,651.0,651,85,1719,1635-1719
福建,2025,物理类,本科批,441,650.0,650,102,1821,1720-1821
福建,2025,物理类,本科批,441,649.0,649,100,1921,1822-1921
福建,2025,物理类,本科批,441,648.0,648,115,2036,1922-2036
福建,2025,物理类,本科批,441,647.0,647,123,2159,2037-2159
福建,2025,物理类,本科批,441,646.0,646,118,2277,2160-2277
福建,2025,物理类,本科批,441,645.0,645,135,2412,2278-2412
福建,2025,物理类,本科批,441,644.0,644,121,2533,2413-2533
福建,2025,物理类,本科批,441,643.0,643,130,2663,2534-2663
福建,2025,物理类,本科批,441,642.0,642,154,2817,2664-2817
福建,2025,物理类,本科批,441,641.0,641,143,2960,2818-2960
福建,2025,物理类,本科批,441,640.0,640,153,3113,2961-3113
福建,2025,物理类,本科批,441,639.0,639,145,3258,3114-3258
福建,2025,物理类,本科批,441,638.0,638,142,3400,3259-3400
福建,2025,物理类,本科批,441,637.0,637,145,3545,3401-3545
福建,2025,物理类,本科批,441,636.0,636,157,3702,3546-3702
福建,2025,物理类,本科批,441,635.0,635,165,3867,3703-3867
福建,2025,物理类,本科批,441,634.0,634,198,4065,3868-4065
福建,2025,物理类,本科批,441,633.0,633,179,4244,4066-4244
福建,2025,物理类,本科批,441,632.0,632,198,4442,4245-4442
福建,2025,物理类,本科批,441,631.0,631,169,4611,4443-4611
福建,2025,物理类,本科批,441,630.0,630,194,4805,4612-4805
福建,2025,物理类,本科批,441,629.0,629,203,5008,4806-5008
福建,2025,物理类,本科批,441,628.0,628,213,5221,5009-5221
福建,2025,物理类,本科批,441,627.0,627,191,5412,5222-5412
福建,2025,物理类,本科批,441,626.0,626,198,5610,5413-5610
福建,2025,物理类,本科批,441,625.0,625,203,5813,5611-5813
福建,2025,物理类,本科批,441,624.0,624,206,6019,5814-6019
福建,2025,物理类,本科批,441,623.0,623,221,6240,6020-6240
福建,2025,物理类,本科批,441,622.0,622,243,6483,6241-6483
