province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,英语,,不提科目要求,1,四年,4800.0
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,学前教育,,不提科目要求,1,四年,4800.0
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,小学教育,,不提科目要求,1,四年,4800.0
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,思想政治教育,,"思想政治,历史",1,四年,4800.0
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,汉语言文学,,历史,1,四年,4800.0
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,地理科学,,"历史,地理",2,四年,5200.0
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,英语,,不提科目要求,1,四年,4800.0
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,学前教育,,不提科目要求,1,四年,4800.0
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,数学与应用数学,,"物理,化学",1,四年,5200.0
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,生物科学,,"物理,化学",1,四年,5200.0
甘肃,2025,本科批(C段),<NA>,3368,阿坝师范学院,,,化学,,"物理,化学",1,四年,5200.0
甘肃,2025,高职(专科)批(F段),<NA>,3465,阿坝职业学院,,,畜牧兽医,,不提科目要求,1,三年,4800.0
甘肃,2025,高职(专科)批(F段),<NA>,3465,阿坝职业学院,,,学前教育,,不提科目要求,2,三年,4800.0
甘肃,2025,高职(专科)批(F段),<NA>,3465,阿坝职业学院,,,护理,,不提科目要求,3,三年,5800.0
甘肃,2025,高职(专科)批(F段),<NA>,3465,阿坝职业学院,,,畜牧兽医,,不提科目要求,2,三年,4800.0
甘肃,2025,高职(专科)批(F段),<NA>,3465,阿坝职业学院,,,学前教育,,不提科目要求,1,三年,4800.0
甘肃,2025,高职(专科)批(F段),<NA>,3465,阿坝职业学院,,,护理,,不提科目要求,3,三年,5800.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,油气储运技术,,不提科目要求,3,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,电气自动化技术,,不提科目要求,10,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,人工智能技术应用,,不提科目要求,3,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,测绘工程技术,,不提科目要求,3,三年,6600.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,机械制造及自动化,,不提科目要求,5,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,应用化工技术,,不提科目要求,5,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,石油化工技术,,不提科目要求,5,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,智能控制技术,,不提科目要求,5,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,油气储运技术,,不提科目要求,7,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,电气自动化技术,,不提科目要求,20,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,机电一体化技术,,不提科目要求,25,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,人工智能技术应用,,不提科目要求,7,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,测绘工程技术,,不提科目要求,7,三年,6600.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,机械制造及自动化,,不提科目要求,20,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,应用化工技术,,不提科目要求,10,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,石油化工技术,,不提科目要求,10,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3857,阿克苏工业职业技术学院,,,智能控制技术,,不提科目要求,20,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,护理,,不提科目要求,4,三年,3900.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,护理,,物理,6,三年,3900.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,数字媒体技术,,物理,9,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,云计算技术应用,,物理,4,三年,6600.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,现代物流管理,,物理,4,三年,3000.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,大数据与会计,,物理,10,三年,3000.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,机电一体化技术,,物理,9,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,飞机机电设备维修,,物理,13,三年,7800.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,新能源汽车检测与维修技术,,物理,2,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,飞行器数字化制造技术,,物理,10,三年,
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,绿色食品生产技术,,物理,3,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,中医康复技术,,物理,4,三年,3900.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,汽车制造与试验技术,,物理,25,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,康复治疗技术,,物理,4,三年,3900.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,计算机网络技术,,"物理,化学",2,三年,7700.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,畜牧兽医,,"物理,化学",8,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,纺织品检验与贸易,,"物理,化学",16,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3826,阿克苏职业技术学院,,,临床医学,,"物理,化学",2,三年,3900.0
甘肃,2025,高职(专科)批(F段),<NA>,1420,阿拉善职业技术学院,,,电气自动化技术,,不提科目要求,3,三年,4800.0
甘肃,2025,高职(专科)批(F段),<NA>,1420,阿拉善职业技术学院,,,机电一体化技术,,不提科目要求,2,三年,4800.0
甘肃,2025,高职(专科)批(F段),<NA>,3853,阿勒泰职业技术学院,,,环境工程技术,,不提科目要求,1,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3853,阿勒泰职业技术学院,,,中医康复技术,,不提科目要求,1,三年,3600.0
甘肃,2025,高职(专科)批(F段),<NA>,3853,阿勒泰职业技术学院,,,护理,,不提科目要求,1,三年,3600.0
甘肃,2025,高职(专科)批(F段),<NA>,3853,阿勒泰职业技术学院,,,畜牧兽医,,不提科目要求,1,三年,3200.0
甘肃,2025,高职(专科)批(F段),<NA>,3853,阿勒泰职业技术学院,,,休闲农业经营与管理,,不提科目要求,1,三年,3200.0
甘肃,2025,高职(专科)批(F段),<NA>,3853,阿勒泰职业技术学院,,,食品智能加工技术,,不提科目要求,1,三年,3300.0
甘肃,2025,高职(专科)批(F段),<NA>,3853,阿勒泰职业技术学院,,,智慧健康养老服务与管理,,不提科目要求,1,三年,2900.0
