province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
甘肃,2025,历史类,专科批F段,1213,河北交通职业技术学院,（001）,首选历史，再选不限,379,32668,,,0,河北,公办,0,0
甘肃,2025,历史类,专科批F段,1214,河北化工医药职业技术学院,（001）,首选历史，再选不限,350,39236,,,4,河北,公办,0,0
甘肃,2025,历史类,专科批F段,1250,河北正定师范高等专科学校,（001）,首选历史，再选不限,346,38323,,,0,河北,公办,0,0
甘肃,2025,历史类,专科批F段,1259,石家庄幼儿师范高等专科学校,（001）,首选历史，再选不限,314,40673,,,12,河北,公办,0,0
甘肃,2025,历史类,专科批F段,1261,河北轨道运输职业技术学院,（001）,首选历史，再选不限,417,23051,,,0,河北,公办,0,0
甘肃,2025,历史类,专科批F段,1267,唐山幼儿师范高等专科学校,（001）,首选历史，再选不限,263,38522,,,6,河北,公办,0,0
甘肃,2025,历史类,专科批F段,1318,山西林业职业技术学院,（001）,首选历史，再选不限,280,46556,,,3,山西,公办,0,0
甘肃,2025,历史类,专科批F段,1344,山西同文职业技术学院,（001）,首选历史，再选不限,313,47744,,,2,山西,民办,0,0
甘肃,2025,历史类,专科批F段,1365,太原幼儿师范高等专科学校,（001）,首选历史，再选不限,312,47933,,,3,山西,公办,0,0
甘肃,2025,历史类,专科批F段,1370,山西工程科技职业大学,（003）,首选历史，再选不限,384,31059,,,5,山西,公办,0,0
甘肃,2025,历史类,专科批F段,1413,乌兰察布医学高等专科学校,（001）,首选历史，再选不限,375,33575,,,0,内蒙古,公办,0,0
甘肃,2025,历史类,专科批F段,1469,大连职业技术学院,（001）,首选历史，再选不限,177,55439,,,0,辽宁,公办,0,0
甘肃,2025,历史类,专科批F段,1482,盘锦职业技术学院,（001）,首选历史，再选不限,213,53615,,,0,辽宁,公办,0,0
甘肃,2025,历史类,专科批F段,1486,辽宁生态工程职业学院,（001）,首选历史，再选不限,215,55984,,,0,辽宁,公办,0,0
甘肃,2025,历史类,专科批F段,1496,渤海船舶职业学院,（001）,首选历史，再选不限,355,36670,,,0,辽宁,公办,0,0
甘肃,2025,历史类,专科批F段,1539,辽宁民族师范高等专科学校,（001）,首选历史，再选不限,362,33342,,,0,辽宁,公办,0,0
甘肃,2025,历史类,专科批F段,1573,长春金融高等专科学校,（001）,首选历史，再选不限,356,28850,,,5,吉林,公办,0,0
甘肃,2025,历史类,专科批F段,1639,伊春职业学院,（001）,首选历史，再选不限,339,35979,,,15,黑龙江,公办,0,0
甘肃,2025,历史类,专科批F段,1654,黑龙江农垦职业学院,（001）,首选历史，再选不限,194,56678,,,12,黑龙江,公办,0,0
甘肃,2025,历史类,专科批F段,1659,大兴安岭职业学院,（001）,首选历史，再选不限,195,51199,,,13,黑龙江,公办,0,0
甘肃,2025,历史类,专科批F段,1690,哈尔滨幼儿师范高等专科学校,（001）,首选历史，再选不限,274,46134,,,0,黑龙江,公办,0,0
甘肃,2025,历史类,专科批F段,1716,上海旅游高等专科学校,,首选历史，再选不限,353,37441,,,7,上海,公办,0,0
甘肃,2025,历史类,专科批F段,1735,上海交通职业技术学院,（001）,首选历史，再选不限,371,31059,,,0,上海,公办,0,0
甘肃,2025,历史类,专科批F段,1786,江苏城市职业学院,（001）,首选历史，再选不限,387,27703,,,0,江苏,公办,0,0
甘肃,2025,历史类,专科批F段,1808,江苏工程职业技术学院,（001）,首选历史，再选不限,385,30669,,,3,江苏,公办,0,0
甘肃,2025,历史类,专科批F段,1813,镇江市高等专科学校,（001）,首选历史，再选不限,383,29761,,,5,江苏,公办,0,0
甘肃,2025,历史类,专科批F段,1847,苏州卫生职业技术学院,（001）,首选历史，再选不限,428,21173,,,0,江苏,公办,0,0
甘肃,2025,历史类,专科批F段,1852,江苏电子信息职业学院,（001）,首选历史，再选不限,351,39236,,,0,江苏,公办,0,0
甘肃,2025,历史类,专科批F段,1876,常州机电职业技术学院,（001）,首选历史，再选不限,399,23276,,,6,江苏,公办,0,0
