province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
甘肃,2025,物理类,本科批,374,670.0,670-750,37,37,1-37
甘肃,2025,物理类,本科批,374,669.0,669,4,41,38-41
甘肃,2025,物理类,本科批,374,668.0,668,3,44,42-44
甘肃,2025,物理类,本科批,374,667.0,667,6,50,45-50
甘肃,2025,物理类,本科批,374,666.0,666,8,58,51-58
甘肃,2025,物理类,本科批,374,665.0,665,7,65,59-65
甘肃,2025,物理类,本科批,374,664.0,664,6,71,66-71
甘肃,2025,物理类,本科批,374,663.0,663,6,77,72-77
甘肃,2025,物理类,本科批,374,662.0,662,11,88,78-88
甘肃,2025,物理类,本科批,374,661.0,661,10,98,89-98
甘肃,2025,物理类,本科批,374,660.0,660,13,111,99-111
甘肃,2025,物理类,本科批,374,659.0,659,8,119,112-119
甘肃,2025,物理类,本科批,374,658.0,658,14,133,120-133
甘肃,2025,物理类,本科批,374,657.0,657,14,147,134-147
甘肃,2025,物理类,本科批,374,656.0,656,11,158,148-158
甘肃,2025,物理类,本科批,374,655.0,655,11,169,159-169
甘肃,2025,物理类,本科批,374,654.0,654,13,182,170-182
甘肃,2025,物理类,本科批,374,653.0,653,23,205,183-205
甘肃,2025,物理类,本科批,374,652.0,652,20,225,206-225
甘肃,2025,物理类,本科批,374,651.0,651,14,239,226-239
甘肃,2025,物理类,本科批,374,650.0,650,26,265,240-265
甘肃,2025,物理类,本科批,374,649.0,649,18,283,266-283
甘肃,2025,物理类,本科批,374,648.0,648,24,307,284-307
甘肃,2025,物理类,本科批,374,647.0,647,22,329,308-329
甘肃,2025,物理类,本科批,374,646.0,646,19,348,330-348
甘肃,2025,物理类,本科批,374,645.0,645,28,376,349-376
甘肃,2025,物理类,本科批,374,644.0,644,32,408,377-408
甘肃,2025,物理类,本科批,374,643.0,643,26,434,409-434
甘肃,2025,物理类,本科批,374,642.0,642,30,464,435-464
甘肃,2025,物理类,本科批,374,641.0,641,37,501,465-501
甘肃,2025,物理类,本科批,374,640.0,640,30,531,502-531
甘肃,2025,物理类,本科批,374,639.0,639,40,571,532-571
甘肃,2025,物理类,本科批,374,638.0,638,40,611,572-611
甘肃,2025,物理类,本科批,374,637.0,637,42,653,612-653
甘肃,2025,物理类,本科批,374,636.0,636,36,689,654-689
甘肃,2025,物理类,本科批,374,635.0,635,39,728,690-728
甘肃,2025,物理类,本科批,374,634.0,634,43,771,729-771
甘肃,2025,物理类,本科批,374,633.0,633,34,805,772-805
甘肃,2025,物理类,本科批,374,632.0,632,47,852,806-852
甘肃,2025,物理类,本科批,374,631.0,631,37,889,853-889
甘肃,2025,物理类,本科批,374,630.0,630,37,926,890-926
甘肃,2025,物理类,本科批,374,629.0,629,54,980,927-980
甘肃,2025,物理类,本科批,374,628.0,628,53,1033,981-1033
甘肃,2025,物理类,本科批,374,627.0,627,63,1096,1034-1096
甘肃,2025,物理类,本科批,374,626.0,626,57,1153,1097-1153
甘肃,2025,物理类,本科批,374,625.0,625,66,1219,1154-1219
甘肃,2025,物理类,本科批,374,624.0,624,67,1286,1220-1286
甘肃,2025,物理类,本科批,374,623.0,623,54,1340,1287-1340
甘肃,2025,物理类,本科批,374,622.0,622,67,1407,1341-1407
甘肃,2025,物理类,本科批,374,621.0,621,71,1478,1408-1478
甘肃,2025,物理类,本科批,374,620.0,620,58,1536,1479-1536
甘肃,2025,物理类,本科批,374,619.0,619,80,1616,1537-1616
甘肃,2025,物理类,本科批,374,618.0,618,66,1682,1617-1682
甘肃,2025,物理类,本科批,374,617.0,617,82,1764,1683-1764
甘肃,2025,物理类,本科批,374,616.0,616,84,1848,1765-1848
甘肃,2025,物理类,本科批,374,615.0,615,77,1925,1849-1925
甘肃,2025,物理类,本科批,374,614.0,614,78,2003,1926-2003
甘肃,2025,物理类,本科批,374,613.0,613,90,2093,2004-2093
甘肃,2025,物理类,本科批,374,612.0,612,92,2185,2094-2185
甘肃,2025,物理类,本科批,374,611.0,611,95,2280,2186-2280
甘肃,2025,物理类,本科批,374,610.0,610,77,2357,2281-2357
甘肃,2025,物理类,本科批,374,609.0,609,99,2456,2358-2456
甘肃,2025,物理类,本科批,374,608.0,608,98,2554,2457-2554
甘肃,2025,物理类,本科批,374,607.0,607,100,2654,2555-2654
甘肃,2025,物理类,本科批,374,606.0,606,107,2761,2655-2761
甘肃,2025,物理类,本科批,374,605.0,605,105,2866,2762-2866
甘肃,2025,物理类,本科批,374,604.0,604,96,2962,2867-2962
甘肃,2025,物理类,本科批,374,603.0,603,104,3066,2963-3066
甘肃,2025,物理类,本科批,374,602.0,602,117,3183,3067-3183
甘肃,2025,物理类,本科批,374,601.0,601,83,3266,3184-3266
甘肃,2025,物理类,本科批,374,600.0,600,100,3366,3267-3366
甘肃,2025,物理类,本科批,374,599.0,599,111,3477,3367-3477
甘肃,2025,物理类,本科批,374,598.0,598,101,3578,3478-3578
甘肃,2025,物理类,本科批,374,597.0,597,145,3723,3579-3723
甘肃,2025,物理类,本科批,374,596.0,596,123,3846,3724-3846
甘肃,2025,物理类,本科批,374,595.0,595,124,3970,3847-3970
甘肃,2025,物理类,本科批,374,594.0,594,128,4098,3971-4098
甘肃,2025,物理类,本科批,374,593.0,593,120,4218,4099-4218
甘肃,2025,物理类,本科批,374,592.0,592,117,4335,4219-4335
甘肃,2025,物理类,本科批,374,591.0,591,139,4474,4336-4474
甘肃,2025,物理类,本科批,374,590.0,590,126,4600,4475-4600
甘肃,2025,物理类,本科批,374,589.0,589,131,4731,4601-4731
甘肃,2025,物理类,本科批,374,588.0,588,136,4867,4732-4867
甘肃,2025,物理类,本科批,374,587.0,587,131,4998,4868-4998
甘肃,2025,物理类,本科批,374,586.0,586,136,5134,4999-5134
甘肃,2025,物理类,本科批,374,585.0,585,158,5292,5135-5292
甘肃,2025,物理类,本科批,374,584.0,584,155,5447,5293-5447
甘肃,2025,物理类,本科批,374,583.0,583,173,5620,5448-5620
甘肃,2025,物理类,本科批,374,582.0,582,136,5756,5621-5756
甘肃,2025,物理类,本科批,374,581.0,581,158,5914,5757-5914
甘肃,2025,物理类,本科批,374,580.0,580,152,6066,5915-6066
甘肃,2025,物理类,本科批,374,579.0,579,140,6206,6067-6206
甘肃,2025,物理类,本科批,374,578.0,578,186,6392,6207-6392
甘肃,2025,物理类,本科批,374,577.0,577,160,6552,6393-6552
甘肃,2025,物理类,本科批,374,576.0,576,173,6725,6553-6725
甘肃,2025,物理类,本科批,374,575.0,575,186,6911,6726-6911
甘肃,2025,物理类,本科批,374,574.0,574,186,7097,6912-7097
甘肃,2025,物理类,本科批,374,573.0,573,177,7274,7098-7274
甘肃,2025,物理类,本科批,374,572.0,572,185,7459,7275-7459
甘肃,2025,物理类,本科批,374,571.0,571,167,7626,7460-7626
甘肃,2025,物理类,本科批,374,570.0,570,186,7812,7627-7812
甘肃,2025,物理类,本科批,374,569.0,569,201,8013,7813-8013
甘肃,2025,物理类,本科批,374,568.0,568,175,8188,8014-8188
