province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
广东,2025,历史类,专科批,10275,上海旅游高等专科学校,,首选历史，再选不限,460,78769,,,9,上海,公办,0,0
广东,2025,历史类,专科批,10301,江苏城市职业学院,（503）,首选历史，再选不限,465,75088,,,0,江苏,公办,0,0
广东,2025,历史类,专科批,10518,汉江师范学院,（504）,首选历史，再选不限,493,60020,,,8,湖北,公办,0,0
广东,2025,历史类,专科批,10852,上海工商职业技术学院,（503）,首选历史，再选不限,394,168672,,,0,上海,民办,0,0
广东,2025,历史类,专科批,10872,伊春职业学院,（503）,首选历史，再选不限,423,119313,,,9,黑龙江,公办,0,0
广东,2025,历史类,专科批,10888,江西医学高等专科学校,（505）,首选历史，再选不限,464,91663,,,0,江西,公办,0,0
广东,2025,历史类,专科批,11050,连云港职业技术学院,（503）,首选历史，再选不限,421,138097,,,0,江苏,公办,0,0
广东,2025,历史类,专科批,11051,镇江市高等专科学校,（503）,首选历史，再选不限,452,101053,,,4,江苏,公办,0,0
广东,2025,历史类,专科批,11314,漳州职业技术学院,（503）,首选历史，再选不限,444,104301,,,0,福建,公办,0,0
广东,2025,历史类,专科批,11315,闽西职业技术学院,（503）,首选历史，再选不限,415,144773,,,7,福建,公办,0,0
广东,2025,历史类,专科批,11317,黎明职业大学,（504）,首选历史，再选不限,435,122623,,,4,福建,公办,0,0
广东,2025,历史类,专科批,11326,信阳农林学院,,首选历史，再选不限,394,168672,,,20,河南,公办,0,0
广东,2025,历史类,专科批,11440,长春金融高等专科学校,（503）,首选历史，再选不限,410,81620,,,3,吉林,公办,0,0
广东,2025,历史类,专科批,11608,广西水利电力职业技术学院,（504）,首选历史，再选不限,395,167521,,,0,广西,公办,0,0
广东,2025,历史类,专科批,11787,濮阳职业技术学院,（503）,首选历史，再选不限,396,165209,,,15,河南,公办,0,0
广东,2025,历史类,专科批,11961,安徽第二医学院,（102）,首选历史，再选不限,481,65981,,,3,安徽,公办,0,0
广东,2025,历史类,专科批,12046,广州职业技术大学,,首选历史，再选不限,487,59300,,,770,广东,公办,0,0
广东,2025,历史类,专科批,12051,湖北职业技术学院,,首选历史，再选不限,437,74194,,,27,湖北,公办,0,0
广东,2025,历史类,专科批,12215,重庆工业职业技术大学,（504）,首选历史，再选不限,466,87559,,,5,重庆,公办,0,0
广东,2025,历史类,专科批,12352,河北软件职业技术学院,（503）,首选历史，再选不限,405,156078,,,0,河北,公办,0,0
广东,2025,历史类,专科批,12354,襄阳职业技术学院,,首选历史，再选不限,447,76030,,,13,湖北,公办,0,0
广东,2025,历史类,专科批,12493,上海行健职业学院,（503）,首选历史，再选不限,455,91663,,,0,上海,公办,0,0
广东,2025,历史类,专科批,12497,上海交通职业技术学院,,首选历史，再选不限,431,103178,,,0,上海,公办,0,0
广东,2025,历史类,专科批,12573,广东食品药品职业学院,,首选历史，再选不限,417,51997,,,0,广东,公办,0,0
广东,2025,历史类,专科批,12574,广东东软学院,（503）,首选历史，再选不限,409,151163,,,0,广东,民办,0,0
广东,2025,历史类,专科批,12583,上海震旦职业学院,,首选历史，再选不限,372,174307,,,0,上海,民办,0,0
广东,2025,历史类,专科批,12688,苏州卫生职业技术学院,（503）,首选历史，再选不限,505,53595,,,0,江苏,公办,0,0
广东,2025,历史类,专科批,12726,黑龙江农业工程职业学院,（503）,首选历史，再选不限,404,70493,,,0,黑龙江,公办,0,0
广东,2025,历史类,专科批,12727,黑龙江农垦职业学院,（503）,首选历史，再选不限,388,154944,,,12,黑龙江,公办,0,0
