province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
广西,2025,本科提前批其他一类,历史类,10001,北京大学,101,1,法语,"(4年,5000元/年,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10001,北京大学,101,2,朝鲜语,"(4年,5000元/年,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10003,清华大学,105,5,艺术史论,"(4年,5000元/年)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10027,北京师范大学,401,1,特殊教育,"(国家公费师范生,师范类,4年,免费,在北京校区办学,任教梧州市、贵港市、河池市)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10028,首都师范大学,101,1,马克思主义理论,"(4年,5000元/年,第一年在良乡校区)",思想政治,,4年,
广西,2025,本科提前批其他一类,历史类,10032,北京语言大学,112,1,外国语言文学类(小语种),"[4年,6000元/年,包含专业:西班牙语(欧洲研究)、法语(法国研究)、日语(日本研究)、意大利语(欧洲研究)、阿拉伯语(中东学)、波斯语(中东学)。外语口试成绩达“C等级”及以上,要求外语语种为英语]",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10033,中国传媒大学,102,26,尼泊尔语(跨文化交流与国际事务方向),"(4年,6000元/年,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10036,对外经济贸易大学,105,1,法语(选拔进入国贸双学士学位项目),"(4年,6000元/年,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10036,对外经济贸易大学,105,2,西班牙语(选拔进入国贸双学士学位项目),"(4年,6000元/年,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10036,对外经济贸易大学,105,3,越南语(全部进入财管双学士学位项目),"(4年,6000元/年,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10036,对外经济贸易大学,105,4,意大利语(选拔进入国贸双学士学位项目),"(4年,6000元/年,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10040,外交学院,101,1,外交学,"(4年,5000元/年,本科一至三年级在沙河校区,四年级在展览馆路校区。外语口试成绩达“B等级”及以上)",思想政治,,4年,
广西,2025,本科提前批其他一类,历史类,10040,外交学院,102,2,法学,"(4年,5000元/年,本科一至三年级在沙河校区,四年级在展览馆路校区。外语口试成绩达“B等级”及以上)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10040,外交学院,102,3,英语,"(4年,5000元/年,本科一至三年级在沙河校区,四年级在展览馆路校区。外语口试成绩达“B等级”及以上,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10040,外交学院,102,4,日语,"(4年,5000元/年,本科一至三年级在沙河校区,四年级在展览馆路校区。外语口试成绩达“B等级”及以上)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10042,国际关系学院,100,1,国际经济与贸易,"(4年,5000元/年,身体等报考条件详见招生章程。只招女生)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10042,国际关系学院,100,2,日语,"(4年,6000元/年,身体等报考条件详见招生章程。只招女生,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10042,国际关系学院,101,3,国际政治,"(4年,5000元/年,身体等报考条件详见招生章程。只招女生)",思想政治,,4年,
广西,2025,本科提前批其他一类,历史类,10042,国际关系学院,102,4,国际经济与贸易,"(4年,5000元/年,身体等报考条件详见招生章程。只招男生)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10042,国际关系学院,102,5,日语,"(4年,6000元/年,身体等报考条件详见招生章程。只招男生,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10042,国际关系学院,103,6,国际政治,"(4年,5000元/年,身体等报考条件详见招生章程。只招男生)",思想政治,,4年,
广西,2025,本科提前批其他一类,历史类,10200,东北师范大学,407,1,英语,"(优师专项,师范类,4年,免费,在净月大街校区办学,入学前须签订国家优师专项定向就业协议,毕业后到生源所在省份定向县中小学履约任教,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10200,东北师范大学,408,2,思想政治教育,"(优师专项,师范类,4年,免费,在净月大街校区办学,入学前须签订国家优师专项定向就业协议,毕业后到生源所在省份定向县中小学履约任教)",思想政治,,4年,
广西,2025,本科提前批其他一类,历史类,10200,东北师范大学,410,4,英语,"(国家公费师范生,师范类,4年,免费,在净月大街校区办学,任教南宁市、桂林市、梧州市、玉林市,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10200,东北师范大学,410,5,汉语言文学,"(国家公费师范生,师范类,4年,免费,在人民大街校区办学,任教桂林市、梧州市、贵港市、玉林市、贺州市、河池市)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10200,东北师范大学,410,6,历史学,"(国家公费师范生,师范类,4年,免费,在人民大街校区办学,任教桂林市、百色市、河池市)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10200,东北师范大学,411,7,思想政治教育,"(国家公费师范生,师范类,4年,免费,在净月大街校区办学,任教柳州市、桂林市、北海市、百色市、贺州市)",思想政治,,4年,
广西,2025,本科提前批其他一类,历史类,10269,华东师范大学,411,2,汉语言文学,"(国家公费师范生,师范类,4年,免费,在闵行校区办学,任教柳州市、玉林市、百色市)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10269,华东师范大学,411,3,英语,"(国家公费师范生,师范类,4年,免费,在闵行校区办学,任教南宁市、贵港市、贺州市,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10269,华东师范大学,411,4,历史学,"(国家公费师范生,师范类,4年,免费,在闵行校区办学,任教桂林市、贺州市)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10269,华东师范大学,412,5,思想政治教育,"(国家公费师范生,师范类,4年,免费,在闵行校区办学,任教南宁市、钦州市)",思想政治,,4年,
广西,2025,本科提前批其他一类,历史类,10269,华东师范大学,413,6,汉语言文学,"(优师专项,师范类,4年,免费,在闵行校区办学,定向生源所在省份脱贫县和中西部陆地边境县中小学校就业)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10269,华东师范大学,413,7,英语,"(优师专项,师范类,4年,免费,在闵行校区办学,定向生源所在省份脱贫县和中西部陆地边境县中小学校就业,要求外语语种为英语)",不限,,4年,
广西,2025,本科提前批其他一类,历史类,10269,华东师范大学,413,8,历史学,"(优师专项,师范类,4年,免费,在闵行校区办学,定向生源所在省份脱贫县和中西部陆地边境县中小学校就业)",不限,,4年,
