province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
广西,2025,历史类,专科批,10275,上海旅游高等专科学校,,首选历史，再选不限,395,54488,,,12,上海,公办,0,0
广西,2025,历史类,专科批,10301,江苏城市职业学院,（101）,首选历史，再选不限,397,39045,,,0,江苏,公办,0,0
广西,2025,历史类,专科批,10518,汉江师范学院,（109）,首选历史，再选不限,431,39498,,,4,湖北,公办,0,0
广西,2025,历史类,专科批,10598,广西医科大学,,首选历史，再选不限,412,43476,,,0,广西,公办,0,0
广西,2025,历史类,专科批,10600,广西中医药大学,（113）,首选历史，再选不限,438,37006,,,30,广西,公办,0,0
广西,2025,历史类,专科批,10842,三门峡职业技术学院,（156）,首选历史，再选不限,325,85397,,,0,河南,公办,0,0
广西,2025,历史类,专科批,10845,大连职业技术学院,（111）,首选历史，再选不限,266,90177,,,0,辽宁,公办,0,0
广西,2025,历史类,专科批,10852,上海工商职业技术学院,（101）,首选历史，再选不限,382,63446,,,0,上海,民办,0,0
广西,2025,历史类,专科批,10872,伊春职业学院,（101）,首选历史，再选不限,306,74013,,,20,黑龙江,公办,0,0
广西,2025,历史类,专科批,10888,江西医学高等专科学校,（106）,首选历史，再选不限,408,48902,,,0,江西,公办,0,0
广西,2025,历史类,专科批,11050,连云港职业技术学院,（101）,首选历史，再选不限,392,58418,,,0,江苏,公办,0,0
广西,2025,历史类,专科批,11051,镇江市高等专科学校,（101）,首选历史，再选不限,378,62920,,,5,江苏,公办,0,0
广西,2025,历史类,专科批,11248,辽宁农业职业技术学院,（101）,首选历史，再选不限,267,92517,,,25,辽宁,公办,0,0
广西,2025,历史类,专科批,11314,漳州职业技术学院,（101）,首选历史，再选不限,426,37823,,,0,福建,公办,0,0
广西,2025,历史类,专科批,11315,闽西职业技术学院,（101）,首选历史，再选不限,342,74595,,,36,福建,公办,0,0
广西,2025,历史类,专科批,11317,黎明职业大学,（101）,首选历史，再选不限,371,59446,,,17,福建,公办,0,0
广西,2025,历史类,专科批,11350,广西体育高等专科学校,（111）,首选历史，再选不限,339,61416,,,0,广西,公办,0,0
广西,2025,历史类,专科批,11440,长春金融高等专科学校,（101）,首选历史，再选不限,300,80796,,,5,吉林,公办,0,0
广西,2025,历史类,专科批,11500,辽宁省交通高等专科学校,（100）,首选历史，再选不限,284,84401,,,0,辽宁,公办,0,0
广西,2025,历史类,专科批,11608,广西水利电力职业技术学院,,首选历史，再选不限,345,48902,,,0,广西,公办,0,0
广西,2025,历史类,专科批,11773,广西职业技术学院,（111）,首选历史，再选不限,395,43476,,,626,广西,公办,0,0
广西,2025,历史类,专科批,11837,桂林旅游学院,,首选历史，再选不限,309,55474,,,0,广西,公办,0,0
广西,2025,历史类,专科批,11961,安徽第二医学院,（100）,首选历史，再选不限,423,40357,,,7,安徽,公办,0,0
广西,2025,历史类,专科批,11968,安徽中医药高等专科学校,（101）,首选历史，再选不限,417,35788,,,20,安徽,公办,0,0
广西,2025,历史类,专科批,12046,广州职业技术大学,（101）,首选历史，再选不限,423,42133,,,20,广东,公办,0,0
广西,2025,历史类,专科批,12051,湖北职业技术学院,（111）,首选历史，再选不限,388,41669,,,48,湖北,公办,0,0
广西,2025,历史类,专科批,12063,盘锦职业技术学院,（101）,首选历史，再选不限,207,95144,,,0,辽宁,公办,0,0
广西,2025,历史类,专科批,12354,襄阳职业技术学院,,首选历史，再选不限,418,39923,,,10,湖北,公办,0,0
广西,2025,历史类,专科批,12493,上海行健职业学院,（100）,首选历史，再选不限,394,54982,,,0,上海,公办,0,0
广西,2025,历史类,专科批,12593,辽宁生态工程职业学院,（100）,首选历史，再选不限,245,109941,,,0,辽宁,公办,0,0
广西,2025,历史类,专科批,12606,重庆工贸职业技术学院,（102）,首选历史，再选不限,366,71374,,,10,重庆,公办,0,0
广西,2025,历史类,专科批,12628,福建电力职业技术学院,（101）,首选历史，再选不限,389,59953,,,0,福建,公办,0,0
广西,2025,历史类,专科批,12638,四川水利职业技术学院,（101）,首选历史，再选不限,373,61416,,,0,四川,公办,0,0
广西,2025,历史类,专科批,12671,包头轻工职业技术学院,（111）,首选历史，再选不限,203,114720,,,0,内蒙古,公办,0,0
广西,2025,历史类,专科批,12726,黑龙江农业工程职业学院,（102）,首选历史，再选不限,285,88761,,,4,黑龙江,公办,0,0
广西,2025,历史类,专科批,12727,黑龙江农垦职业学院,（101）,首选历史，再选不限,316,76689,,,19,黑龙江,公办,0,0
广西,2025,历史类,专科批,12759,重庆工程职业技术学院,（102）,首选历史，再选不限,385,50770,,,3,重庆,公办,0,0
广西,2025,历史类,专科批,12793,鹤壁职业技术学院,（111）,首选历史，再选不限,330,78740,,,0,河南,公办,0,0
广西,2025,历史类,专科批,12805,江苏电子信息职业学院,（101）,首选历史，再选不限,365,69199,,,0,江苏,公办,0,0
广西,2025,历史类,专科批,12820,重庆建筑科技职业学院,（101）,首选历史，再选不限,221,105016,,,21,重庆,民办,0,0
广西,2025,历史类,专科批,12861,浙江机电职业技术大学,（102）,首选历史，再选不限,421,43476,,,0,浙江,公办,0,0
广西,2025,历史类,专科批,12864,浙江经贸职业技术学院,（101）,首选历史，再选不限,413,36602,,,10,浙江,公办,0,0
广西,2025,历史类,专科批,12865,浙江商业职业技术学院,（101）,首选历史，再选不限,401,40357,,,12,浙江,公办,0,0
广西,2025,历史类,专科批,12871,浙江工业职业技术学院,（101）,首选历史，再选不限,367,71374,,,5,浙江,公办,0,0
广西,2025,历史类,专科批,12887,河北旅游职业学院,（101）,首选历史，再选不限,218,117852,,,5,河北,公办,0,0
广西,2025,历史类,专科批,12908,大兴安岭职业学院,（110）,首选历史，再选不限,281,82370,,,12,黑龙江,公办,0,0
广西,2025,历史类,专科批,12912,上海农林职业技术学院,（101）,首选历史，再选不限,386,55920,,,0,上海,公办,0,0
广西,2025,历史类,专科批,12931,渤海船舶职业学院,（101）,首选历史，再选不限,296,86386,,,0,辽宁,公办,0,0
广西,2025,历史类,专科批,12942,江西应用技术职业学院,（100）,首选历史，再选不限,420,45323,,,1,江西,公办,0,0
广西,2025,历史类,专科批,12976,江西机电职业技术学院,（101）,首选历史，再选不限,344,60450,,,11,江西,公办,0,0
广西,2025,历史类,专科批,13012,山东信息职业技术学院,（101）,首选历史，再选不限,292,86386,,,0,山东,公办,0,0
广西,2025,历史类,专科批,13026,杭州科技职业技术学院,（111）,首选历史，再选不限,419,42560,,,5,浙江,公办,0,0
广西,2025,历史类,专科批,13054,六盘水职业技术学院,（101）,首选历史，再选不限,250,71901,,,22,贵州,公办,0,0
广西,2025,历史类,专科批,13071,河北交通职业技术学院,（101）,首选历史，再选不限,333,88761,,,0,河北,公办,0,0
广西,2025,历史类,专科批,13072,河北化工医药职业技术学院,（102）,首选历史，再选不限,394,57399,,,2,河北,公办,0,0
广西,2025,历史类,专科批,13136,云南能源职业技术学院,（101）,首选历史，再选不限,344,79274,,,3,云南,公办,0,0
广西,2025,历史类,专科批,13138,广西建设职业技术学院,,首选历史，再选不限,334,59446,,,0,广西,公办,0,0
广西,2025,历史类,专科批,13171,临汾职业技术学院,（102）,首选历史，再选不限,364,72964,,,2,山西,公办,0,0
广西,2025,历史类,专科批,13207,大连科技学院,（102）,首选历史，再选不限,200,119153,,,0,辽宁,民办,0,0
广西,2025,历史类,专科批,13424,宜春职业技术学院,（100）,首选历史，再选不限,417,46658,,,2,江西,公办,0,0
广西,2025,历史类,专科批,13577,海南外国语职业学院,（101）,首选历史，再选不限,311,56420,,,0,海南,公办,0,0
