province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
广西,2025,物理类,本科批,370,688.0,688-750,13,13,1-13
广西,2025,物理类,本科批,370,687.0,687,2,15,14-15
广西,2025,物理类,本科批,370,686.0,686,4,19,16-19
广西,2025,物理类,本科批,370,685.0,685,0,19,19-19
广西,2025,物理类,本科批,370,684.0,684,2,21,20-21
广西,2025,物理类,本科批,370,683.0,683,5,26,22-26
广西,2025,物理类,本科批,370,682.0,682,3,29,27-29
广西,2025,物理类,本科批,370,681.0,681,3,32,30-32
广西,2025,物理类,本科批,370,680.0,680,3,35,33-35
广西,2025,物理类,本科批,370,679.0,679,3,38,36-38
广西,2025,物理类,本科批,370,678.0,678,4,42,39-42
广西,2025,物理类,本科批,370,677.0,677,3,45,43-45
广西,2025,物理类,本科批,370,676.0,676,2,47,46-47
广西,2025,物理类,本科批,370,675.0,675,7,54,48-54
广西,2025,物理类,本科批,370,674.0,674,5,59,55-59
广西,2025,物理类,本科批,370,673.0,673,4,63,60-63
广西,2025,物理类,本科批,370,672.0,672,9,72,64-72
广西,2025,物理类,本科批,370,671.0,671,12,84,73-84
广西,2025,物理类,本科批,370,670.0,670,9,93,85-93
广西,2025,物理类,本科批,370,669.0,669,8,101,94-101
广西,2025,物理类,本科批,370,668.0,668,14,115,102-115
广西,2025,物理类,本科批,370,667.0,667,16,131,116-131
广西,2025,物理类,本科批,370,666.0,666,11,142,132-142
广西,2025,物理类,本科批,370,665.0,665,11,153,143-153
广西,2025,物理类,本科批,370,664.0,664,8,161,154-161
广西,2025,物理类,本科批,370,663.0,663,10,171,162-171
广西,2025,物理类,本科批,370,662.0,662,11,182,172-182
广西,2025,物理类,本科批,370,661.0,661,17,199,183-199
广西,2025,物理类,本科批,370,660.0,660,21,220,200-220
广西,2025,物理类,本科批,370,659.0,659,16,236,221-236
广西,2025,物理类,本科批,370,658.0,658,22,258,237-258
广西,2025,物理类,本科批,370,657.0,657,22,280,259-280
广西,2025,物理类,本科批,370,656.0,656,26,306,281-306
广西,2025,物理类,本科批,370,655.0,655,21,327,307-327
广西,2025,物理类,本科批,370,654.0,654,30,357,328-357
广西,2025,物理类,本科批,370,653.0,653,34,391,358-391
广西,2025,物理类,本科批,370,652.0,652,36,427,392-427
广西,2025,物理类,本科批,370,651.0,651,25,452,428-452
广西,2025,物理类,本科批,370,650.0,650,41,493,453-493
广西,2025,物理类,本科批,370,649.0,649,49,542,494-542
广西,2025,物理类,本科批,370,648.0,648,42,584,543-584
广西,2025,物理类,本科批,370,647.0,647,38,622,585-622
广西,2025,物理类,本科批,370,646.0,646,37,659,623-659
广西,2025,物理类,本科批,370,645.0,645,49,708,660-708
广西,2025,物理类,本科批,370,644.0,644,48,756,709-756
广西,2025,物理类,本科批,370,643.0,643,60,816,757-816
广西,2025,物理类,本科批,370,642.0,642,41,857,817-857
广西,2025,物理类,本科批,370,641.0,641,61,918,858-918
广西,2025,物理类,本科批,370,640.0,640,67,985,919-985
广西,2025,物理类,本科批,370,639.0,639,61,1046,986-1046
广西,2025,物理类,本科批,370,638.0,638,59,1105,1047-1105
广西,2025,物理类,本科批,370,637.0,637,62,1167,1106-1167
广西,2025,物理类,本科批,370,636.0,636,66,1233,1168-1233
广西,2025,物理类,本科批,370,635.0,635,76,1309,1234-1309
广西,2025,物理类,本科批,370,634.0,634,75,1384,1310-1384
广西,2025,物理类,本科批,370,633.0,633,73,1457,1385-1457
广西,2025,物理类,本科批,370,632.0,632,76,1533,1458-1533
广西,2025,物理类,本科批,370,631.0,631,101,1634,1534-1634
广西,2025,物理类,本科批,370,630.0,630,85,1719,1635-1719
广西,2025,物理类,本科批,370,629.0,629,101,1820,1720-1820
广西,2025,物理类,本科批,370,628.0,628,112,1932,1821-1932
广西,2025,物理类,本科批,370,627.0,627,97,2029,1933-2029
广西,2025,物理类,本科批,370,626.0,626,107,2136,2030-2136
广西,2025,物理类,本科批,370,625.0,625,110,2246,2137-2246
广西,2025,物理类,本科批,370,624.0,624,126,2372,2247-2372
广西,2025,物理类,本科批,370,623.0,623,113,2485,2373-2485
广西,2025,物理类,本科批,370,622.0,622,111,2596,2486-2596
广西,2025,物理类,本科批,370,621.0,621,113,2709,2597-2709
广西,2025,物理类,本科批,370,620.0,620,130,2839,2710-2839
广西,2025,物理类,本科批,370,619.0,619,142,2981,2840-2981
广西,2025,物理类,本科批,370,618.0,618,129,3110,2982-3110
广西,2025,物理类,本科批,370,617.0,617,133,3243,3111-3243
广西,2025,物理类,本科批,370,616.0,616,143,3386,3244-3386
广西,2025,物理类,本科批,370,615.0,615,145,3531,3387-3531
广西,2025,物理类,本科批,370,614.0,614,152,3683,3532-3683
广西,2025,物理类,本科批,370,613.0,613,175,3858,3684-3858
广西,2025,物理类,本科批,370,612.0,612,172,4030,3859-4030
广西,2025,物理类,本科批,370,611.0,611,182,4212,4031-4212
广西,2025,物理类,本科批,370,610.0,610,166,4378,4213-4378
广西,2025,物理类,本科批,370,609.0,609,198,4576,4379-4576
广西,2025,物理类,本科批,370,608.0,608,219,4795,4577-4795
广西,2025,物理类,本科批,370,607.0,607,196,4991,4796-4991
广西,2025,物理类,本科批,370,606.0,606,185,5176,4992-5176
