province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
贵州,2025,历史类,专科批,1002,黑龙江司法警官职业学院,,首选历史，再选不限,423,52254,,,12,黑龙江,公办,0,0
贵州,2025,历史类,专科批,1005,黑龙江幼儿师范高等专科学校,,首选历史，再选不限,309,80531,,,16,黑龙江,公办,0,0
贵州,2025,历史类,专科批,1006,黑龙江职业学院,,首选历史，再选不限,280,44892,,,14,黑龙江,公办,0,0
贵州,2025,历史类,专科批,1019,呼和浩特职业技术大学,,首选历史，再选不限,363,75404,,,8,内蒙古,公办,0,0
贵州,2025,历史类,专科批,102,保定幼儿师范高等专科学校,,首选历史，再选不限,329,74670,,,23,河北,公办,0,0
贵州,2025,历史类,专科批,1024,湖北城市建设职业技术学院,,首选历史，再选不限,277,68090,,,21,湖北,公办,0,0
贵州,2025,历史类,专科批,1028,湖北恩施学院,,首选历史，再选不限,360,62353,,,15,湖北,民办,0,0
贵州,2025,历史类,专科批,103,保定职业技术学院,,首选历史，再选不限,211,58137,,,29,河北,公办,0,0
贵州,2025,历史类,专科批,1030,湖北工程学院新技术学院,,首选历史，再选不限,282,81114,,,11,湖北,民办,0,0
贵州,2025,历史类,专科批,1031,湖北工程职业学院,,首选历史，再选不限,254,67635,,,40,湖北,公办,0,0
贵州,2025,历史类,专科批,1034,湖北工业职业技术学院,,首选历史，再选不限,273,55265,,,34,湖北,公办,0,0
贵州,2025,历史类,专科批,1035,湖北国土资源职业学院,,首选历史，再选不限,358,45715,,,45,湖北,公办,0,0
贵州,2025,历史类,专科批,1036,湖北黄冈应急管理职业技术学院,,首选历史，再选不限,348,49982,,,3,湖北,公办,0,0
贵州,2025,历史类,专科批,1038,湖北交通职业技术学院,,首选历史，再选不限,418,41180,,,9,湖北,公办,0,0
贵州,2025,历史类,专科批,1044,湖北科技职业学院,,首选历史，再选不限,311,58963,,,34,湖北,公办,0,0
贵州,2025,历史类,专科批,1051,湖北轻工职业技术学院,,首选历史，再选不限,390,43272,,,10,湖北,公办,0,0
贵州,2025,历史类,专科批,1052,湖北三峡职业技术学院,,首选历史，再选不限,384,29696,,,37,湖北,公办,0,0
贵州,2025,历史类,专科批,1053,湖北商贸学院,,首选历史，再选不限,251,87126,,,10,湖北,民办,0,0
贵州,2025,历史类,专科批,1054,湖北生态工程职业技术学院,,首选历史，再选不限,356,59191,,,10,湖北,公办,0,0
贵州,2025,历史类,专科批,1055,湖北生物科技职业学院,,首选历史，再选不限,291,62540,,,31,湖北,公办,0,0
贵州,2025,历史类,专科批,1058,湖北师范大学文理学院,,首选历史，再选不限,433,43893,,,9,湖北,民办,0,0
贵州,2025,历史类,专科批,1059,湖北水利水电职业技术学院,,首选历史，再选不限,387,57236,,,12,湖北,公办,0,0
贵州,2025,历史类,专科批,106,保山中医药高等专科学校,,首选历史，再选思想政治、地理(2科必选),413,38768,,,21,云南,公办,0,0
