province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
海南,2025,本科批,综合,2380,阿坝师范学院,2,6,化学,,"物理,化学",1,4,5200.0
海南,2025,本科批,综合,2380,阿坝师范学院,5,9,地理科学,,"历史,地理",1,4,5200.0
海南,2025,本科批,综合,2380,阿坝师范学院,1,2,学前教育,,不限,1,4,4800.0
海南,2025,本科批,综合,2380,阿坝师范学院,1,3,小学教育,,不限,1,4,4800.0
海南,2025,本科批,综合,2380,阿坝师范学院,4,8,思想政治教育,,"政治,历史",1,4,4800.0
海南,2025,本科批,综合,2380,阿坝师范学院,2,4,数学与应用数学,,"物理,化学",1,4,5200.0
海南,2025,本科批,综合,2380,阿坝师范学院,3,7,汉语言文学,,历史,1,4,4800.0
海南,2025,本科批,综合,2380,阿坝师范学院,2,5,生物科学,,"物理,化学",1,4,5200.0
海南,2025,本科批,综合,2380,阿坝师范学院,1,1,英语,,不限,1,4,4800.0
海南,2025,本科批,综合,1079,安徽财经大学,1,3,供应链管理,,不限,6,4,4900.0
海南,2025,本科批,综合,1079,安徽财经大学,1,7,工商管理类,(包含专业:工商管理、市场营销、人力资源管理),不限,6,4,5635.0
海南,2025,本科批,综合,1079,安徽财经大学,1,14,资产评估,,不限,6,4,4900.0
海南,2025,本科批,综合,1079,安徽财经大学,2,18,经济统计学,,物理,5,4,5390.0
海南,2025,本科批,综合,1079,安徽财经大学,3,23,信息安全,,"物理,化学",4,4,5200.0
海南,2025,本科批,综合,1079,安徽财经大学,1,11,公共管理类,(包含专业:行政管理、劳动与社会保障、土地资源管理),不限,4,4,4900.0
海南,2025,本科批,综合,1079,安徽财经大学,1,8,国际商务,,不限,4,4,5635.0
海南,2025,本科批,综合,1079,安徽财经大学,3,25,应用统计学,,"物理,化学",4,4,5200.0
海南,2025,本科批,综合,1079,安徽财经大学,2,17,数字经济,,物理,4,4,5390.0
海南,2025,本科批,综合,1079,安徽财经大学,3,24,数据计算及应用,,"物理,化学",4,4,5200.0
海南,2025,本科批,综合,1079,安徽财经大学,1,4,旅游管理,,不限,4,4,5635.0
海南,2025,本科批,综合,1079,安徽财经大学,3,21,智能科学与技术,,"物理,化学",4,4,5200.0
海南,2025,本科批,综合,1079,安徽财经大学,1,5,电子商务,,不限,4,4,5635.0
海南,2025,本科批,综合,1079,安徽财经大学,2,19,管理科学与工程类,(包含专业:信息管理与信息系统、工程管理、工程造价),物理,4,4,4900.0
海南,2025,本科批,综合,1079,安徽财经大学,1,9,经济与贸易类,(包含专业:国际经济与贸易、贸易经济),不限,4,4,5635.0
海南,2025,本科批,综合,1079,安徽财经大学,1,1,经济学类,(包含专业:经济学、国民经济管理),不限,4,4,5635.0
海南,2025,本科批,综合,1079,安徽财经大学,1,2,金融学,,不限,4,4,5635.0
海南,2025,本科批,综合,1079,安徽财经大学,1,10,金融学类,(包含专业:投资学、保险学),不限,4,4,4900.0
海南,2025,本科批,综合,1079,安徽财经大学,2,20,金融工程,,物理,4,4,5635.0
海南,2025,本科批,综合,1079,安徽财经大学,1,13,会计学,,不限,3,4,5635.0
海南,2025,本科批,综合,1079,安徽财经大学,1,15,审计学,,不限,3,4,5635.0
海南,2025,本科批,综合,1079,安徽财经大学,1,6,物流管理,,不限,3,4,4900.0
海南,2025,本科批,综合,1079,安徽财经大学,3,22,统计学,,"物理,化学",3,4,5980.0
海南,2025,本科批,综合,1079,安徽财经大学,1,12,财政学类,(包含专业:财政学、税收学),不限,3,4,5390.0
海南,2025,本科批,综合,1079,安徽财经大学,1,16,日语,,不限,2,4,4900.0
海南,2025,本科批,综合,1061,安徽大学,1,3,哲学,,不限,5,4,5000.0
海南,2025,本科批,综合,1061,安徽大学,2,12,数学类,(包含专业:数学与应用数学、信息与计算科学),"物理,化学",5,4,5400.0
海南,2025,本科批,综合,1061,安徽大学,1,4,新闻传播学类,(包含专业:新闻学、广播电视学、编辑出版学、网络与新媒体),不限,5,4,5000.0
海南,2025,本科批,综合,1061,安徽大学,2,17,电气工程及其自动化,,"物理,化学",5,4,5400.0
海南,2025,本科批,综合,1061,安徽大学,2,18,智能制造工程,,"物理,化学",4,4,5400.0
海南,2025,本科批,综合,1061,安徽大学,2,15,网络工程,,"物理,化学",4,4,5400.0
海南,2025,本科批,综合,1061,安徽大学,2,13,软件工程,,"物理,化学",4,4,6480.0
海南,2025,本科批,综合,1061,安徽大学,1,7,人力资源管理,,不限,3,4,5000.0
海南,2025,本科批,综合,1061,安徽大学,1,8,旅游管理,,不限,3,4,5000.0
海南,2025,本科批,综合,1061,安徽大学,1,2,汉语国际教育,,不限,3,4,5000.0
海南,2025,本科批,综合,1061,安徽大学,1,11,社会学类,(包含专业:社会学、社会工作),不限,3,4,5000.0
海南,2025,本科批,综合,1061,安徽大学,1,10,行政管理,,不限,3,4,5000.0
海南,2025,本科批,综合,1061,安徽大学,2,16,通信工程,,"物理,化学",3,4,6480.0
海南,2025,本科批,综合,1061,安徽大学,2,14,互联网金融,,"物理,化学",2,4,5000.0
海南,2025,本科批,综合,1061,安徽大学,1,6,市场营销,,不限,2,4,5000.0
海南,2025,本科批,综合,1061,安徽大学,1,1,汉语言文学,,不限,2,4,5000.0
海南,2025,本科批,综合,1061,安徽大学,1,9,法学,,不限,2,4,5500.0
海南,2025,本科批,综合,1061,安徽大学,1,5,经济学,,不限,2,4,5000.0
海南,2025,专科批,综合,1130,安徽国防科技职业学院,1,3,人工智能技术应用,,不限,10,3,3900.0
海南,2025,专科批,综合,1130,安徽国防科技职业学院,1,1,建设工程管理,,不限,10,3,3900.0
海南,2025,专科批,综合,1130,安徽国防科技职业学院,1,2,机械制造及自动化,,不限,10,3,3900.0
海南,2025,本科批,综合,1085,安徽建筑大学,3,8,交通工程,,"物理,化学",1,4,5200.0
海南,2025,本科批,综合,1085,安徽建筑大学,1,1,会计学,,不限,1,4,5390.0
海南,2025,本科批,综合,1085,安徽建筑大学,1,2,劳动与社会保障,,不限,1,4,4900.0
海南,2025,本科批,综合,1085,安徽建筑大学,3,6,土木工程,,"物理,化学",1,4,5980.0
海南,2025,本科批,综合,1085,安徽建筑大学,3,5,安全工程,,"物理,化学",1,4,5200.0
海南,2025,本科批,综合,1085,安徽建筑大学,2,3,工程管理,,物理,1,4,5980.0
海南,2025,本科批,综合,1085,安徽建筑大学,3,7,智能建造,,"物理,化学",1,4,5200.0
海南,2025,本科批,综合,1085,安徽建筑大学,3,9,给排水科学与工程,,"物理,化学",1,4,5980.0
海南,2025,本科批,综合,1085,安徽建筑大学,3,4,道路桥梁与渡河工程,,"物理,化学",1,4,5980.0
海南,2025,本科批,综合,1085,安徽建筑大学,3,10,高分子材料与工程,,"物理,化学",1,4,5980.0
海南,2025,本科批,综合,1065,安徽理工大学,1,5,土木工程,,"物理,化学",4,4,5720.0
海南,2025,本科批,综合,1065,安徽理工大学,1,11,预防医学,,"物理,化学",4,5,5500.0
海南,2025,本科批,综合,1065,安徽理工大学,1,3,高分子材料与工程,,"物理,化学",4,4,5200.0
海南,2025,本科批,综合,1065,安徽理工大学,1,1,信息与计算科学,,"物理,化学",2,4,5980.0
海南,2025,本科批,综合,1065,安徽理工大学,1,9,制药工程,,"物理,化学",2,4,5200.0
海南,2025,本科批,综合,1065,安徽理工大学,1,4,化学工程与工艺,,"物理,化学",2,4,5980.0
海南,2025,本科批,综合,1065,安徽理工大学,1,12,医学检验技术,,"物理,化学",2,4,5500.0
海南,2025,本科批,综合,1065,安徽理工大学,1,2,新能源汽车工程,,"物理,化学",2,4,5200.0
海南,2025,本科批,综合,1065,安徽理工大学,1,7,水文与水资源工程,,"物理,化学",2,4,5200.0
海南,2025,本科批,综合,1065,安徽理工大学,1,6,测绘工程,,"物理,化学",2,4,5980.0
海南,2025,本科批,综合,1065,安徽理工大学,1,10,药学,,"物理,化学",2,4,5500.0
海南,2025,本科批,综合,1065,安徽理工大学,1,8,遥感科学与技术,,"物理,化学",2,4,5200.0
海南,2025,本科批,综合,1067,安徽农业大学,2,10,园艺,,"物理,化学",3,4,5980.0
海南,2025,本科批,综合,1067,安徽农业大学,1,2,会计学,,不限,2,4,5390.0
海南,2025,本科批,综合,1067,安徽农业大学,2,9,动物科学,,"物理,化学",2,4,5980.0
海南,2025,本科批,综合,1067,安徽农业大学,1,3,国际经济与贸易,,不限,2,4,4900.0
海南,2025,本科批,综合,1067,安徽农业大学,2,6,地理空间信息工程,,"物理,化学",2,4,5200.0
海南,2025,本科批,综合,1067,安徽农业大学,2,4,植物保护,,"物理,化学",2,4,5980.0
海南,2025,本科批,综合,1067,安徽农业大学,2,7,生物技术,,"物理,化学",2,4,5980.0
海南,2025,本科批,综合,1067,安徽农业大学,2,5,生物育种科学,,"物理,化学",2,4,5200.0
海南,2025,本科批,综合,1067,安徽农业大学,1,1,金融学,,不限,2,4,5390.0
海南,2025,本科批,综合,1067,安徽农业大学,2,8,生物科学,,"物理,化学",1,4,5200.0
海南,2025,专科批,综合,1148,安徽审计职业学院,1,2,中小企业创业与经营,,不限,5,3,3500.0
海南,2025,专科批,综合,1148,安徽审计职业学院,1,1,大数据与审计,,不限,5,3,3500.0
海南,2025,本科批,综合,1072,安徽师范大学,4,9,化学,,"物理,化学",3,4,5720.0
