province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
海南,2025,综合,专科批,1096,安徽中医药高等专科学校,（01）,不限,411,25123,,,50,安徽,公办,0,0
海南,2025,综合,专科批,1209,黎明职业大学,（01）,不限,487,38358,,,10,福建,公办,0,0
海南,2025,综合,专科批,1252,厦门城市职业学院,（02）,不限,477,42296,,,0,福建,公办,0,0
海南,2025,综合,专科批,1252,厦门城市职业学院,（03）,物理必选,473,44164,,,0,福建,公办,0,0
海南,2025,综合,专科批,1296,江西医学高等专科学校,（01）,不限,490,30886,,,0,江西,公办,0,0
海南,2025,综合,专科批,1296,江西医学高等专科学校,（02）,物理、化学(2科必选),476,40093,,,0,江西,公办,0,0
海南,2025,综合,专科批,1319,江西应用技术职业学院,（01）,不限,493,26729,,,15,江西,公办,0,0
海南,2025,综合,专科批,1322,江西机电职业技术学院,（01）,不限,483,39196,,,25,江西,公办,0,0
海南,2025,综合,专科批,1329,宜春职业技术学院,（01）,不限,492,31207,,,13,江西,公办,0,0
海南,2025,综合,专科批,1348,抚州医药学院,（01）,不限,522,26730,,,0,江西,公办,0,0
海南,2025,综合,专科批,1351,江西制造职业技术学院,（01）,不限,480,40608,,,0,江西,公办,0,0
海南,2025,综合,专科批,1355,江西航空职业技术学院,（02）,不限,440,38625,,,60,江西,民办,0,0
海南,2025,综合,专科批,1447,烟台南山学院,（04）,不限,390,55635,,,0,山东,民办,0,0
海南,2025,综合,专科批,1519,枣庄职业学院,,不限,335,40093,,,30,山东,公办,0,0
海南,2025,综合,专科批,1601,濮阳职业技术学院,（01）,不限,443,51647,,,10,河南,公办,0,0
海南,2025,综合,专科批,1603,郑州电力高等专科学校,（01）,物理必选,501,35239,,,0,河南,公办,0,0
海南,2025,综合,专科批,1619,鹤壁职业技术学院,（01）,不限,246,64125,,,0,河南,公办,0,0
海南,2025,综合,专科批,1659,安阳职业技术学院,（01）,不限,441,46219,,,0,河南,公办,0,0
海南,2025,综合,专科批,1695,郑州卫生健康职业学院,（01）,不限,403,58753,,,0,河南,公办,0,0
海南,2025,综合,专科批,1753,汉江师范学院,（01）,不限,504,32958,,,10,湖北,公办,0,0
海南,2025,综合,专科批,1782,湖北职业技术学院,（01）,不限,487,34959,,,29,湖北,公办,0,0
海南,2025,综合,专科批,1841,江汉艺术职业学院,（06）,不限,454,47483,,,6,湖北,公办,0,0
海南,2025,综合,专科批,2053,广东水利电力职业技术学院,（01）,不限,472,45188,,,0,广东,公办,0,0
