province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
海南,2025,综合,本科批,480,800.0,800-900,105,105,1-105
海南,2025,综合,本科批,480,799.0,799,5,110,106-110
海南,2025,综合,本科批,480,798.0,798,2,112,111-112
海南,2025,综合,本科批,480,797.0,797,5,117,113-117
海南,2025,综合,本科批,480,796.0,796,4,121,118-121
海南,2025,综合,本科批,480,795.0,795,4,125,122-125
海南,2025,综合,本科批,480,794.0,794,4,129,126-129
海南,2025,综合,本科批,480,793.0,793,4,133,130-133
海南,2025,综合,本科批,480,792.0,792,5,138,134-138
海南,2025,综合,本科批,480,791.0,791,5,143,139-143
海南,2025,综合,本科批,480,790.0,790,4,147,144-147
海南,2025,综合,本科批,480,789.0,789,6,153,148-153
海南,2025,综合,本科批,480,788.0,788,5,158,154-158
海南,2025,综合,本科批,480,787.0,787,3,161,159-161
海南,2025,综合,本科批,480,786.0,786,7,168,162-168
海南,2025,综合,本科批,480,785.0,785,3,171,169-171
海南,2025,综合,本科批,480,784.0,784,7,178,172-178
海南,2025,综合,本科批,480,783.0,783,5,183,179-183
海南,2025,综合,本科批,480,782.0,782,4,187,184-187
海南,2025,综合,本科批,480,781.0,781,8,195,188-195
海南,2025,综合,本科批,480,780.0,780,4,199,196-199
海南,2025,综合,本科批,480,779.0,779,6,205,200-205
海南,2025,综合,本科批,480,778.0,778,7,212,206-212
海南,2025,综合,本科批,480,777.0,777,6,218,213-218
海南,2025,综合,本科批,480,776.0,776,7,225,219-225
海南,2025,综合,本科批,480,775.0,775,8,233,226-233
海南,2025,综合,本科批,480,774.0,774,7,240,234-240
海南,2025,综合,本科批,480,773.0,773,7,247,241-247
海南,2025,综合,本科批,480,772.0,772,8,255,248-255
海南,2025,综合,本科批,480,771.0,771,10,265,256-265
海南,2025,综合,本科批,480,770.0,770,6,271,266-271
海南,2025,综合,本科批,480,769.0,769,8,279,272-279
海南,2025,综合,本科批,480,768.0,768,8,287,280-287
海南,2025,综合,本科批,480,767.0,767,11,298,288-298
海南,2025,综合,本科批,480,766.0,766,7,305,299-305
海南,2025,综合,本科批,480,765.0,765,13,318,306-318
海南,2025,综合,本科批,480,764.0,764,5,323,319-323
海南,2025,综合,本科批,480,763.0,763,10,333,324-333
海南,2025,综合,本科批,480,762.0,762,14,347,334-347
海南,2025,综合,本科批,480,761.0,761,7,354,348-354
海南,2025,综合,本科批,480,760.0,760,15,369,355-369
海南,2025,综合,本科批,480,759.0,759,9,378,370-378
海南,2025,综合,本科批,480,758.0,758,8,386,379-386
海南,2025,综合,本科批,480,757.0,757,11,397,387-397
海南,2025,综合,本科批,480,756.0,756,13,410,398-410
海南,2025,综合,本科批,480,755.0,755,10,420,411-420
海南,2025,综合,本科批,480,754.0,754,11,431,421-431
海南,2025,综合,本科批,480,753.0,753,14,445,432-445
海南,2025,综合,本科批,480,752.0,752,10,455,446-455
海南,2025,综合,本科批,480,751.0,751,12,467,456-467
海南,2025,综合,本科批,480,750.0,750,15,482,468-482
海南,2025,综合,本科批,480,749.0,749,13,495,483-495
海南,2025,综合,本科批,480,748.0,748,16,511,496-511
海南,2025,综合,本科批,480,747.0,747,14,525,512-525
海南,2025,综合,本科批,480,746.0,746,13,538,526-538
海南,2025,综合,本科批,480,745.0,745,17,555,539-555
海南,2025,综合,本科批,480,744.0,744,20,575,556-575
海南,2025,综合,本科批,480,743.0,743,10,585,576-585
海南,2025,综合,本科批,480,742.0,742,18,603,586-603
海南,2025,综合,本科批,480,741.0,741,17,620,604-620
海南,2025,综合,本科批,480,740.0,740,19,639,621-639
海南,2025,综合,本科批,480,739.0,739,18,657,640-657
海南,2025,综合,本科批,480,738.0,738,15,672,658-672
海南,2025,综合,本科批,480,737.0,737,17,689,673-689
海南,2025,综合,本科批,480,736.0,736,20,709,690-709
海南,2025,综合,本科批,480,735.0,735,20,729,710-729
海南,2025,综合,本科批,480,734.0,734,17,746,730-746
海南,2025,综合,本科批,480,733.0,733,21,767,747-767
海南,2025,综合,本科批,480,732.0,732,24,791,768-791
海南,2025,综合,本科批,480,731.0,731,18,809,792-809
海南,2025,综合,本科批,480,730.0,730,22,831,810-831
海南,2025,综合,本科批,480,729.0,729,25,856,832-856
海南,2025,综合,本科批,480,728.0,728,17,873,857-873
海南,2025,综合,本科批,480,727.0,727,27,900,874-900
海南,2025,综合,本科批,480,726.0,726,25,925,901-925
海南,2025,综合,本科批,480,725.0,725,23,948,926-948
海南,2025,综合,本科批,480,724.0,724,23,971,949-971
海南,2025,综合,本科批,480,723.0,723,23,994,972-994
海南,2025,综合,本科批,480,722.0,722,34,1028,995-1028
海南,2025,综合,本科批,480,721.0,721,28,1056,1029-1056
海南,2025,综合,本科批,480,720.0,720,20,1076,1057-1076
海南,2025,综合,本科批,480,719.0,719,27,1103,1077-1103
海南,2025,综合,本科批,480,718.0,718,33,1136,1104-1136
海南,2025,综合,本科批,480,717.0,717,29,1165,1137-1165
海南,2025,综合,本科批,480,716.0,716,27,1192,1166-1192
海南,2025,综合,本科批,480,715.0,715,33,1225,1193-1225
海南,2025,综合,本科批,480,714.0,714,28,1253,1226-1253
海南,2025,综合,本科批,480,713.0,713,39,1292,1254-1292
海南,2025,综合,本科批,480,712.0,712,27,1319,1293-1319
海南,2025,综合,本科批,480,711.0,711,32,1351,1320-1351
海南,2025,综合,本科批,480,710.0,710,35,1386,1352-1386
海南,2025,综合,本科批,480,709.0,709,34,1420,1387-1420
海南,2025,综合,本科批,480,708.0,708,34,1454,1421-1454
海南,2025,综合,本科批,480,707.0,707,35,1489,1455-1489
海南,2025,综合,本科批,480,706.0,706,39,1528,1490-1528
海南,2025,综合,本科批,480,705.0,705,34,1562,1529-1562
海南,2025,综合,本科批,480,704.0,704,48,1610,1563-1610
海南,2025,综合,本科批,480,703.0,703,31,1641,1611-1641
海南,2025,综合,本科批,480,702.0,702,41,1682,1642-1682
海南,2025,综合,本科批,480,701.0,701,38,1720,1683-1720
海南,2025,综合,本科批,480,700.0,700,43,1763,1721-1763
海南,2025,综合,本科批,480,699.0,699,46,1809,1764-1809
海南,2025,综合,本科批,480,698.0,698,44,1853,1810-1853
海南,2025,综合,本科批,480,697.0,697,36,1889,1854-1889
海南,2025,综合,本科批,480,696.0,696,46,1935,1890-1935
海南,2025,综合,本科批,480,695.0,695,58,1993,1936-1993
海南,2025,综合,本科批,480,694.0,694,42,2035,1994-2035
海南,2025,综合,本科批,480,693.0,693,41,2076,2036-2076
