province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
河北,2025,本科提前批A段,历史科目组合,30,安徽师范大学(芜湖市)[公办],,1,马克思主义理论,,,,4,4900.0
河北,2025,本科提前批A段,历史科目组合,79,北京大学[公办],,1,马克思主义理论类,含马克思主义理论专业,,,4,5000.0
河北,2025,本科提前批A段,历史科目组合,348,福建师范大学(福州市)[公办],,1,马克思主义理论类,含思想政治教育、马克思主义理论专业；含师范类,,,4,5460.0
河北,2025,本科提前批A段,历史科目组合,477,国际关系学院[公办],,4,国际政治,只招女生；须参加学校组织的面试并合格。出生日期和身体等报考要求详见招生章程,,,4,5000.0
河北,2025,本科提前批A段,历史科目组合,477,国际关系学院[公办],,5,国际政治,只招男生；须参加学校组织的面试并合格。出生日期和身体等报考要求详见招生章程,,,4,5000.0
河北,2025,本科提前批A段,历史科目组合,477,国际关系学院[公办],,6,政治学、经济学与哲学,只招女生；须参加学校组织的面试并合格。出生日期和身体等报考要求详见招生章程,,,4,5000.0
河北,2025,本科提前批A段,历史科目组合,477,国际关系学院[公办],,7,政治学、经济学与哲学,只招男生；须参加学校组织的面试并合格。出生日期和身体等报考要求详见招生章程,,,4,5000.0
河北,2025,本科提前批A段,历史科目组合,843,吉林大学[公办],,1,马克思主义理论(吕振羽班),,,,4,5520.0
河北,2025,本科提前批A段,历史科目组合,843,吉林大学[公办],,2,马克思主义理论,,,,4,5520.0
河北,2025,本科提前批A段,历史科目组合,936,江西师范大学(南昌市)[公办],,1,马克思主义理论,,,,4,4660.0
河北,2025,本科提前批A段,历史科目组合,1093,南京大学[公办],,1,马克思主义理论,,,,4,5720.0
河北,2025,本科提前批A段,历史科目组合,1102,南京警察学院[公办],,1,治安学(只招男生),公安(武警)类；只招男生；面向地方公安机关入警就业；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知,,,4,6000.0
河北,2025,本科提前批A段,历史科目组合,1102,南京警察学院[公办],,2,治安学(只招女生),公安(武警)类；只招女生；面向地方公安机关入警就业；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知,,,4,6000.0
河北,2025,本科提前批A段,历史科目组合,1102,南京警察学院[公办],,3,公安管理学(只招男生),公安(武警)类；只招男生；面向地方公安机关入警就业；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知,,,4,6000.0
河北,2025,本科提前批A段,历史科目组合,1102,南京警察学院[公办],,4,警务指挥与战术(特警方向、只招男生),公安(武警)类；只招男生；面向地方公安机关入警就业；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知,,,4,6000.0
河北,2025,本科提前批A段,历史科目组合,1102,南京警察学院[公办],,5,警务指挥与战术(特警方向、只招女生),公安(武警)类；只招女生；面向地方公安机关入警就业；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知,,,4,6000.0
河北,2025,本科提前批A段,历史科目组合,1103,南京警察学院(国家专项计划)[公办],,1,治安学(只招男生),公安(武警)类；只招男生；面向地方公安机关入警就业；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知,,,4,6000.0
河北,2025,本科提前批A段,历史科目组合,1129,南开大学(天津市)[公办],,1,马克思主义理论,,,,4,5200.0
河北,2025,本科提前批A段,历史科目组合,1225,清华大学[公办],,1,马克思主义理论,,,,4,5000.0
河北,2025,本科提前批A段,历史科目组合,1250,山东大学[公办],,1,马克思主义理论,,,,4,5280.0
河北,2025,本科提前批A段,历史科目组合,1452,首都师范大学[公办],,1,马克思主义理论,,,,4,5000.0
河北,2025,本科提前批A段,历史科目组合,1548,天津师范大学[公办],,1,马克思主义理论,,,,4,4400.0
河北,2025,本科提前批A段,历史科目组合,1583,外交学院(北京市)[公办],,2,外交学,须口试合格,,,4,5000.0
河北,2025,本科提前批A段,历史科目组合,1611,武汉大学[公办],,1,马克思主义理论,,,,4,4500.0
河北,2025,本科提前批A段,历史科目组合,1646,西安交通大学[公办],,1,马克思主义理论,,,,4,5500.0
河北,2025,本科提前批A段,历史科目组合,1671,西北政法大学(西安市)[公办],,1,侦查学,公安(武警)类；只招男生；身体条件基本要求为裸眼视力任何一眼不低于4.7，男生身高应在1.70米（含）以上，无色盲、色弱，无口吃，未婚，年龄在22周岁以下；学校不再单独组织且不采用公安类院校的政审、体检和面试，以普通高考体检结果为准。详见院校招生章程,,,4,5400.0
河北,2025,本科提前批A段,历史科目组合,1683,西南大学(重庆市)[公办],,1,马克思主义理论,,,,4,4500.0
河北,2025,本科提前批A段,历史科目组合,1697,西南政法大学(重庆市)[公办],,1,侦查学,公安(武警)类；只招男生；1.录取分数不低于特殊类型招生录取控制分数线；2.无色盲、色弱，无口吃，要求双眼裸眼视力4.7及以上，身高1.70米(含)以上，其他录取条件参照教育部、司法部、教学司[2003]16号文件及院校招生章程。3.学校不再单独组织且不采用公安类院校的政审、体检和面试；学费暂定5600元/年，最终以发改委批复为准,,,4,
河北,2025,本科提前批A段,历史科目组合,1697,西南政法大学(重庆市)[公办],,2,侦查学,公安(武警)类；只招女生；1.录取分数不低于特殊类型招生录取控制分数线；2.无色盲、色弱，无口吃，要求双眼裸眼视力4.7及以上，身高1.60米(含)以上，其他录取条件参照教育部、司法部、教学司[2003]16号文件及院校招生章程。3.学校不再单独组织且不采用公安类院校的政审、体检和面试；学费暂定5600元/年，最终以发改委批复为准,,,4,
河北,2025,本科提前批A段,历史科目组合,1736,新疆师范大学(乌鲁木齐市)[公办],,1,马克思主义理论,,,,4,3100.0
河北,2025,本科提前批A段,历史科目组合,1881,郑州警察学院(郑州市)[公办],,1,治安学,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试体检和体能测试测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；此专业面向铁路公安机关入警就业,,,4,4400.0
河北,2025,本科提前批A段,历史科目组合,1881,郑州警察学院(郑州市)[公办],,2,侦查学,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试体检和体能测试测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；此专业面向铁路公安机关入警就业,,,4,4400.0
河北,2025,本科提前批A段,历史科目组合,1881,郑州警察学院(郑州市)[公办],,3,侦查学,公安(武警)类；只招女生；须参加河北省公安厅组织的政治考察、面试体检和体能测试测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；此专业面向铁路公安机关入警就业,,,4,4400.0
河北,2025,本科提前批A段,历史科目组合,1881,郑州警察学院(郑州市)[公办],,4,公安管理学,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试体检和体能测试测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；此专业面向铁路公安机关入警就业,,,4,4400.0
河北,2025,本科提前批A段,历史科目组合,1881,郑州警察学院(郑州市)[公办],,5,警务指挥与战术,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试体检和体能测试测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；此专业面向铁路公安机关入警就业,,,4,4400.0
河北,2025,本科提前批A段,历史科目组合,1881,郑州警察学院(郑州市)[公办],,6,铁路警务,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试体检和体能测试测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；此专业面向铁路公安机关入警就业,,,4,4400.0
河北,2025,本科提前批A段,历史科目组合,1881,郑州警察学院(郑州市)[公办],,7,铁路警务,公安(武警)类；只招女生；须参加河北省公安厅组织的政治考察、面试体检和体能测试测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；此专业面向铁路公安机关入警就业,,,4,4400.0
河北,2025,本科提前批A段,历史科目组合,1914,中国人民大学[公办],,1,中国共产党历史,,,,4,5000.0
河北,2025,本科提前批A段,历史科目组合,1914,中国人民大学[公办],,2,马克思主义理论,,,,4,5000.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,1,治安学,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,2,治安学(警察法学方向),公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,3,治安学,公安(武警)类；只招女生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,4,治安学(警察法学方向),公安(武警)类；只招女生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,5,侦查学,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,6,公安情报学,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,7,公安情报学,公安(武警)类；只招女生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,8,公安情报学(面向铁路公安机关入警就业),公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向生源地铁路公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,9,犯罪学,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,10,犯罪学,公安(武警)类；只招女生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,11,公安管理学,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,12,涉外警务,公安(武警)类；只招男生；单科成绩要求：外语>=120；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
河北,2025,本科提前批A段,历史科目组合,1917,中国人民公安大学[公办],,13,警务指挥与战术,公安(武警)类；只招男生；须参加河北省公安厅组织的政治考察、面试、体检和体能测评且合格；具体要求详见我省2025年公安普通高等院校招生考生须知；面向地方公安机关入警就业,,,4,4200.0
