province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
河北,2025,历史类,专科提前批,1294,山东信息职业技术学院,,历史,481,49775,,,10,,,0,0
河北,2025,历史类,专科提前批,1589,威海职业学院,,历史,459,70974,,,8,,,0,0
河北,2025,历史类,专科提前批,2313,江西航空职业技术学院,,历史,443,74361,,,14,,,0,0
河北,2025,历史类,专科提前批,769,湖南汽车工程职业大学,,历史,440,40662,,,6,,,0,0
河北,2025,历史类,本科批,100,北京交通大学,,历史,607,4558,,,5,,,0,0
河北,2025,历史类,本科批,1000,兰州石化职业技术大学,,历史,531,24485,,,6,,,0,0
河北,2025,历史类,本科批,1001,兰州文理学院,,历史,540,22095,,,10,,,0,0
河北,2025,历史类,本科批,1001,兰州文理学院,,"历史,政治",540,27280,,,5,,,0,0
河北,2025,历史类,本科批,1005,廊坊师范学院,,历史,521,18763,,,684,,,0,0
河北,2025,历史类,本科批,1005,廊坊师范学院,,"历史,政治",548,23511,,,82,,,0,0
河北,2025,历史类,本科批,1006,廊坊师范学院,,历史,503,39505,,,150,,,0,0
河北,2025,历史类,本科批,1010,乐山师范学院,,历史,526,32409,,,17,,,0,0
河北,2025,历史类,本科批,1011,丽水学院,,历史,531,14990,,,12,,,0,0
河北,2025,历史类,本科批,1013,辽东学院,,历史,535,23511,,,11,,,0,0
河北,2025,历史类,本科批,1014,辽宁大学,,历史,602,1976,,,43,,,0,0
河北,2025,历史类,本科批,1014,辽宁大学,,"历史,政治",616,3051,,,3,,,0,0
河北,2025,历史类,本科批,1017,辽宁工程技术大学,,历史,550,9033,,,32,,,0,0
河北,2025,历史类,本科批,1017,辽宁工程技术大学,,"历史,地理",568,15333,,,3,,,0,0
河北,2025,历史类,本科批,1019,辽宁工业大学,,历史,554,9033,,,4,,,0,0
河北,2025,历史类,本科批,1025,辽宁科技大学,,历史,545,7696,,,8,,,0,0
