province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,1,数字经济,,,4,四年,5390
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,2,财政学类,,,2,四年,5390
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,3,金融学类,,,4,四年,4900
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,4,金融工程,,,4,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,5,经济与贸易类,,,4,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,6,法学,,,2,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,7,管理科学与工程类,,,5,四年,4900
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,8,工商管理类,,,3,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,9,会计学,,,2,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,10,审计学,,,3,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,11,公共管理类,,,2,四年,4900
黑龙江,2025,,<NA>,1666,安徽财经大学,第002组,12,电子商务,,,5,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第001组,1,经济学类,,,2,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第001组,2,财政学类,,,2,四年,5390
黑龙江,2025,,<NA>,1666,安徽财经大学,第001组,3,金融学,,,2,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第001组,4,经济与贸易类,,,2,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第001组,5,法学,,,2,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第001组,6,日语,,,2,四年,4900
黑龙江,2025,,<NA>,1666,安徽财经大学,第001组,7,工商管理类,,,3,四年,5635
黑龙江,2025,,<NA>,1666,安徽财经大学,第001组,8,公共管理类,,,2,四年,4900
黑龙江,2025,,<NA>,1666,安徽财经大学,第001组,9,电子商务,,,3,四年,5635
黑龙江,2025,,<NA>,4689,安徽财贸职业学院,第001组,1,物联网应用技术,,,10,三年,3900
黑龙江,2025,,<NA>,4680,安徽城市管理职业学院,第002组,1,智慧健康养老服务与管理,,,4,三年,3500
黑龙江,2025,,<NA>,4680,安徽城市管理职业学院,第002组,2,现代殡葬技术与管理,,,4,三年,3500
黑龙江,2025,,<NA>,4680,安徽城市管理职业学院,第001组,1,智慧健康养老服务与管理,,,3,三年,3500
黑龙江,2025,,<NA>,4680,安徽城市管理职业学院,第001组,2,现代殡葬技术与管理,,,4,三年,3500
黑龙江,2025,,<NA>,1652,安徽大学,第003组,1,数学类,,,2,四年,5400
