province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
河南,2025,本科批,历史类,7259,阿坝师范学院,101,1,汉语言文学,（师范）,不限,1,4,4800.0
河南,2025,本科批,历史类,7259,阿坝师范学院,102,2,思想政治教育,（师范）,政,1,4,4800.0
河南,2025,本科批,历史类,7259,阿坝师范学院,103,3,学前教育,（师范）,不限,1,4,4800.0
河南,2025,本科批,历史类,7259,阿坝师范学院,103,4,小学教育,（师范）,不限,1,4,4800.0
河南,2025,本科批,历史类,7259,阿坝师范学院,103,5,英语,（师范）（只招英语语种的考生）,不限,1,4,4800.0
河南,2025,本科批,历史类,7259,阿坝师范学院,106,6,地理科学,（师范）,地,2,4,5200.0
河南,2025,本科批,物理类,7259,阿坝师范学院,105,3,数学与应用数学,（师范）,化,1,4,5200.0
河南,2025,本科批,物理类,7259,阿坝师范学院,105,4,化学,（师范）,化,1,4,5200.0
河南,2025,本科批,物理类,7259,阿坝师范学院,105,5,生物科学,（师范）,化,1,4,5200.0
河南,2025,本科批,物理类,7259,阿坝师范学院,104,1,学前教育,（师范）,不限,1,4,4800.0
河南,2025,本科批,物理类,7259,阿坝师范学院,104,2,英语,（师范）（只招英语语种的考生）,不限,1,4,4800.0
河南,2025,专科批,历史类,7445,阿克苏工业职业技术学院,101,3,油气储运技术,,不限,3,3,3300.0
河南,2025,专科批,历史类,7445,阿克苏工业职业技术学院,101,4,环境监测技术,,不限,3,3,3300.0
河南,2025,专科批,历史类,7445,阿克苏工业职业技术学院,101,5,智能控制技术,,不限,5,3,3300.0
河南,2025,专科批,历史类,7445,阿克苏工业职业技术学院,101,6,电气自动化技术,,不限,5,3,3300.0
河南,2025,专科批,历史类,7445,阿克苏工业职业技术学院,101,7,应用化工技术,,不限,5,3,3300.0
河南,2025,专科批,历史类,7445,阿克苏工业职业技术学院,101,8,石油化工技术,,不限,3,3,3300.0
河南,2025,专科批,历史类,7445,阿克苏工业职业技术学院,101,1,现代农业装备应用技术,,不限,5,3,3300.0
河南,2025,专科批,历史类,7445,阿克苏工业职业技术学院,101,2,测绘工程技术,,不限,3,3,6600.0
河南,2025,专科批,物理类,7445,阿克苏工业职业技术学院,102,3,油气储运技术,,不限,7,3,3300.0
河南,2025,专科批,物理类,7445,阿克苏工业职业技术学院,102,4,环境监测技术,,不限,7,3,3300.0
河南,2025,专科批,物理类,7445,阿克苏工业职业技术学院,102,5,机械制造及自动化,,不限,5,3,3300.0
河南,2025,专科批,物理类,7445,阿克苏工业职业技术学院,102,6,智能控制技术,,不限,10,3,3300.0
河南,2025,专科批,物理类,7445,阿克苏工业职业技术学院,102,7,电气自动化技术,,不限,15,3,3300.0
河南,2025,专科批,物理类,7445,阿克苏工业职业技术学院,102,8,应用化工技术,,不限,10,3,3300.0
河南,2025,专科批,物理类,7445,阿克苏工业职业技术学院,102,1,现代农业装备应用技术,,不限,10,3,3300.0
河南,2025,专科批,物理类,7445,阿克苏工业职业技术学院,102,9,石油化工技术,,不限,7,3,3300.0
河南,2025,专科批,物理类,7445,阿克苏工业职业技术学院,102,2,测绘工程技术,,不限,7,3,6600.0
河南,2025,专科批,历史类,9715,阿克苏职业技术学院,101,2,护理,,不限,3,3,3900.0
河南,2025,专科批,历史类,9715,阿克苏职业技术学院,101,3,中医康复技术,,不限,2,3,3900.0
河南,2025,专科批,历史类,9715,阿克苏职业技术学院,101,1,汽车制造与试验技术,,不限,5,3,3300.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,7,康复治疗技术,,不限,4,3,3900.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,102,15,临床医学,,化,2,3,3900.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,8,大数据与会计,,不限,4,3,3000.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,1,飞行器数字化制造技术,（学费待定；录取条件详见院校招生章程，学费暂定，最终以发改委批复为准）,不限,12,3,7800.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,9,智能控制技术,,不限,35,3,3300.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,2,汽车制造与试验技术,,不限,35,3,3300.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,10,新能源汽车检测与维修技术,,不限,4,3,3300.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,3,飞机机电设备维修,（录取条件详见院校招生章程）,不限,12,3,7800.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,11,数字媒体技术,,不限,10,3,3300.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,4,护理,,不限,3,3,3900.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,102,12,畜牧兽医,,化,5,3,3300.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,5,助产,,不限,2,3,3900.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,102,13,石油工程技术,,化,4,3,3300.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,101,6,中医康复技术,,不限,2,3,3900.0
河南,2025,专科批,物理类,9715,阿克苏职业技术学院,102,14,纺织品检验与贸易,,化,6,3,3300.0
河南,2025,专科批,物理类,8215,阿拉善职业技术学院,101,2,新能源装备技术,（办学地点：乌斯太校区）,不限,10,3,4800.0
河南,2025,专科批,物理类,8215,阿拉善职业技术学院,101,3,机电一体化技术,（办学地点：乌斯太校区）,不限,10,3,4800.0
河南,2025,专科批,物理类,8215,阿拉善职业技术学院,101,4,工业机器人技术,（办学地点：乌斯太校区）,不限,10,3,4800.0
河南,2025,专科批,物理类,8215,阿拉善职业技术学院,101,5,电气自动化技术,（办学地点：乌斯太校区）,不限,10,3,4800.0
河南,2025,专科批,物理类,8215,阿拉善职业技术学院,101,6,应用化工技术,（办学地点：乌斯太校区）,不限,10,3,4800.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,10,旅游管理,,不限,2,3,3200.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,18,冰雪设施运维与管理,,不限,1,3,3100.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,3,休闲农业经营与管理,,不限,1,3,3200.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,11,酒店管理与数字化运营,,不限,1,3,3200.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,19,体育艺术表演,,不限,1,3,3100.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,4,畜牧兽医,,不限,1,3,3200.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,12,智慧旅游技术应用,,不限,1,3,2900.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,20,智慧健康养老服务与管理,,不限,1,3,2900.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,5,环境工程技术,,不限,1,3,3300.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,13,烹饪工艺与营养,,不限,1,3,2900.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,6,食品智能加工技术,,不限,1,3,3300.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,14,休闲体育,,不限,1,3,3100.0
河南,2025,专科批,历史类,9046,阿勒泰职业技术学院,101,7,护理,,不限,1,3,3600.0
