province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
河南,2025,历史类,专科批,3260,张家口学院,（101）,首选历史，再选不限,505,56847,,,4,河北,公办,0,0
河南,2025,历史类,专科批,4325,江西医学高等专科学校,（106）,首选历史，再选不限,468,83148,,,0,江西,公办,0,0
河南,2025,历史类,专科批,6100,河南理工大学,（101）,首选历史，再选不限,469,90174,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6125,平顶山学院,（101）,首选历史，再选不限,453,100567,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6145,信阳农林学院,（102）,首选历史，再选不限,437,106050,,,343,河南,公办,0,0
河南,2025,历史类,专科批,6165,新乡学院,（101）,首选历史，再选不限,461,100567,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6192,河南水利与环境职业学院,,首选历史，再选不限,315,127364,,,2085,河南,公办,0,0
河南,2025,历史类,专科批,6205,商丘工学院,（101）,首选历史，再选不限,314,248858,,,175,河南,民办,0,0
河南,2025,历史类,专科批,6226,黄河交通学院,（101）,首选历史，再选不限,328,236594,,,0,河南,民办,0,0
河南,2025,历史类,专科批,6231,郑州幼儿师范高等专科学校,,首选历史，再选不限,287,117012,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6250,郑州工程技术学院,（201）,首选历史，再选不限,329,247652,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6263,河南司法警官职业学院,（101）,首选历史，再选不限,436,115913,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6272,濮阳职业技术学院,,首选历史，再选不限,279,171462,,,1182,河南,公办,0,0
河南,2025,历史类,专科批,6276,许昌职业技术学院,（101）,首选历史，再选不限,447,87119,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6284,郑州旅游职业学院,,首选历史，再选不限,299,102736,,,2027,河南,公办,0,0
河南,2025,历史类,专科批,6284,郑州旅游职业学院,（102）,首选历史，再选化学,227,341834,,,2,河南,公办,0,0
河南,2025,历史类,专科批,6288,信阳职业技术学院,（101）,首选历史，再选不限,376,136729,,,2473,河南,公办,0,0
河南,2025,历史类,专科批,6291,新乡职业技术学院,（101）,首选历史，再选不限,374,163851,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6292,安阳职业技术学院,,首选历史，再选不限,383,140372,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6317,河南医学高等专科学校,,首选历史，再选不限,360,95283,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6375,郑州智能科技职业学院,（101）,首选历史，再选不限,161,313346,,,0,河南,民办,0,0
河南,2025,历史类,专科批,6379,郑州财税金融职业学院,（101）,首选历史，再选不限,421,114784,,,0,河南,公办,0,0
河南,2025,历史类,专科批,6380,南阳农业职业学院,,首选历史，再选不限,309,117012,,,1366,河南,公办,0,0
