province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
湖北,2025,本科批,物理类,,大连医科大学,3,3,临床医学,(学制：五年),"物理,化学",4,5.0,5500.0
湖北,2025,本科批,物理类,,大连医科大学,1,1,中西医临床医学,(岐黄班；学制：五年),"物理,化学",2,5.0,5500.0
湖北,2025,本科批,物理类,,大连医科大学,2,2,临床医学,(5+3一体化；学制：五年),"物理,化学",2,5.0,5500.0
湖北,2025,本科普通批国家专项,物理类,,大连医科大学,4,4,临床药学,(学制：五年),"物理,化学",2,5.0,5500.0
湖北,2025,本科普通批国家专项,物理类,,大连医科大学,5,6,医学影像技术,,"物理,化学",2,,5500.0
湖北,2025,本科普通批国家专项,物理类,,大连医科大学,5,5,医学检验技术,,"物理,化学",2,4.0,5500.0
湖北,2025,本科批,物理类,,延边大学,5,19,食品科学与工程,(中外合作办学)(与韩国全北大学合作办学；办学地点：延吉校区),"物理,化学",7,4.0,26000.0
湖北,2025,本科批,物理类,,延边大学,3,14,高分子材料与工程,(办学地点：延吉校区),"物理,化学",3,4.0,5400.0
湖北,2025,本科批,物理类,,延边大学,4,18,中医学,(办学地点：延吉校区；学制：五年),"物理,生物",2,5.0,5600.0
湖北,2025,本科批,物理类,,延边大学,3,17,临床医学,(办学地点:延吉校区;学制:五年),"物理,化学",2,5.0,6160.0
湖北,2025,本科批,物理类,,延边大学,3,15,土木工程,(办学地点：延吉校区),"物理,化学",2,4.0,5940.0
湖北,2025,本科批,物理类,,延边大学,2,8,工商管理,(在珲春校区办学),物理,2,4.0,5280.0
湖北,2025,本科批,物理类,,延边大学,3,13,机械设计制造及其自动化,(办学地点：延吉校区),"物理,化学",2,4.0,5400.0
湖北,2025,本科批,物理类,,延边大学,3,10,电子信息工程,(办学地点:延吉校区),"物理,化学",2,4.0,5940.0
湖北,2025,本科批,物理类,,延边大学,2,9,经济学类,(经济学、国际经济与贸易;第一学年末分流。在珲春校区办学),物理,2,4.0,4800.0
