province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
湖北,2025,历史类,专科批,,三亚护理职业学院,,首选历史，再选不限,200,136356,,,0,海南,民办,0,0
湖北,2025,历史类,专科批,,上海工商职业技术学院,,首选历史，再选不限,332,99744,,,0,上海,民办,0,0
湖北,2025,历史类,专科批,,上海旅游高等专科学校,,首选历史，再选不限,413,45195,,,11,上海,公办,0,0
湖北,2025,历史类,专科批,,上海行健职业学院,,首选历史，再选不限,419,54909,,,0,上海,公办,0,0
湖北,2025,历史类,专科批,,上海邦德职业技术学院,,首选历史，再选不限,337,99744,,,0,上海,民办,0,0
湖北,2025,历史类,专科批,,上海震旦职业学院,,首选历史，再选不限,302,111676,,,0,上海,民办,0,0
湖北,2025,历史类,专科批,,义乌工商职业技术学院,,首选历史，再选不限,419,50550,,,0,浙江,公办,0,0
湖北,2025,历史类,专科批,,云南林业职业技术学院,,首选历史，再选不限,381,79260,,,0,云南,公办,0,0
湖北,2025,历史类,专科批,,云南林业职业技术学院,,首选历史，再选生物,353,79776,,,0,云南,公办,0,0
湖北,2025,历史类,专科批,,北京科技职业大学,,首选历史，再选不限,456,42830,,,0,北京,公办,0,0
湖北,2025,历史类,专科批,,南京机电职业技术学院,,首选历史，再选不限,445,32692,,,0,江苏,公办,0,0
湖北,2025,历史类,专科批,,南昌健康职业技术学院,,首选历史，再选不限,351,82666,,,14,江西,公办,0,0
湖北,2025,历史类,专科批,,厦门城市职业学院,,首选历史，再选不限,416,60373,,,0,福建,公办,0,0
湖北,2025,历史类,专科批,,合肥幼儿师范高等专科学校,,首选历史，再选不限,375,58104,,,0,安徽,公办,0,0
湖北,2025,历史类,专科批,,哈尔滨幼儿师范高等专科学校,,首选历史，再选不限,325,104741,,,0,黑龙江,公办,0,0
湖北,2025,历史类,专科批,,唐山幼儿师范高等专科学校,,首选历史，再选不限,341,90451,,,8,河北,公办,0,0
湖北,2025,历史类,专科批,,安徽第二医学院,,首选历史，再选不限,440,50154,,,6,安徽,公办,0,0
湖北,2025,历史类,专科批,,安阳职业技术学院,,首选历史，再选不限,356,78746,,,0,河南,公办,0,0
湖北,2025,历史类,专科批,,宜昌科技职业学院,,首选历史，再选不限,356,84084,,,493,湖北,公办,0,0
湖北,2025,历史类,专科批,,广州职业技术大学,,首选历史，再选不限,435,54003,,,10,广东,公办,0,0
湖北,2025,历史类,专科批,,抚州医药学院,,首选历史，再选不限,403,66531,,,0,江西,公办,0,0
湖北,2025,历史类,专科批,,曲靖健康医学院,,首选历史，再选不限,397,71670,,,2,云南,公办,0,0
湖北,2025,历史类,专科批,,枣庄职业学院,,首选历史，再选不限,310,58104,,,10,山东,公办,0,0
湖北,2025,历史类,专科批,,楚雄医药高等专科学校,,首选历史，再选不限,367,86066,,,2,云南,公办,0,0
