province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
湖南,2025,历史类,专科批,1148,北京科技职业大学,（102）,首选历史，再选不限,474,38719,,,0,北京,公办,0,0
湖南,2025,历史类,专科批,1233,天津天狮学院,（105）,首选历史，再选不限,312,120916,,,1,天津,民办,0,0
湖南,2025,历史类,专科批,1235,天津现代职业技术学院,（101）,首选历史，再选不限,429,60635,,,13,天津,公办,0,0
湖南,2025,历史类,专科批,1247,天津艺术职业学院,（101）,首选历史，再选不限,409,65006,,,2,天津,公办,0,0
湖南,2025,历史类,专科批,1329,廊坊职业技术学院,（101）,首选历史，再选不限,331,113797,,,5,河北,公办,0,0
湖南,2025,历史类,专科批,1334,河北科技工程职业技术大学,（103）,首选历史，再选不限,406,62786,,,0,河北,公办,0,0
湖南,2025,历史类,专科批,1349,石家庄幼儿师范高等专科学校,（101）,首选历史，再选不限,294,126587,,,3,河北,公办,0,0
湖南,2025,历史类,专科批,1350,河北交通职业技术学院,（101）,首选历史，再选不限,358,88467,,,0,河北,公办,0,0
湖南,2025,历史类,专科批,1354,石家庄人民医学高等专科学校,（101）,首选历史，再选不限,350,100099,,,3,河北,民办,0,0
湖南,2025,历史类,专科批,1355,秦皇岛职业技术学院,（101）,首选历史，再选不限,369,95436,,,5,河北,公办,0,0
湖南,2025,历史类,专科批,1356,河北轨道运输职业技术学院,（101）,首选历史，再选不限,422,61702,,,0,河北,公办,0,0
湖南,2025,历史类,专科批,1366,河北旅游职业学院,（101）,首选历史，再选不限,316,119592,,,7,河北,公办,0,0
湖南,2025,历史类,专科批,1368,河北化工医药职业技术学院,（101）,首选历史，再选不限,365,91721,,,6,河北,公办,0,0
湖南,2025,历史类,专科批,1478,临汾职业技术学院,（101）,首选历史，再选不限,378,90668,,,3,山西,公办,0,0
湖南,2025,历史类,专科批,1533,呼和浩特职业技术大学,（101）,首选历史，再选不限,314,120266,,,12,内蒙古,公办,0,0
湖南,2025,历史类,专科批,1610,唐山幼儿师范高等专科学校,（101）,首选历史，再选不限,378,68313,,,3,河北,公办,0,0
湖南,2025,历史类,专科批,1627,辽宁冶金职业技术学院,（101）,首选历史，再选不限,328,113374,,,4,辽宁,公办,0,0
湖南,2025,历史类,专科批,2148,大连科技学院,（103）,首选历史，再选不限,344,80685,,,0,辽宁,民办,0,0
湖南,2025,历史类,专科批,2153,辽宁农业职业技术学院,（101）,首选历史，再选不限,339,94896,,,8,辽宁,公办,0,0
湖南,2025,历史类,专科批,2158,辽宁省交通高等专科学校,（103）,首选历史，再选不限,389,79016,,,0,辽宁,公办,0,0
湖南,2025,历史类,专科批,2172,盘锦职业技术学院,（101）,首选历史，再选不限,307,122267,,,0,辽宁,公办,0,0
湖南,2025,历史类,专科批,2194,渤海船舶职业学院,（101）,首选历史，再选不限,319,80685,,,0,辽宁,公办,0,0
湖南,2025,历史类,专科批,2198,大连枫叶职业技术学院,（101）,首选历史，再选不限,212,139429,,,0,辽宁,民办,0,0
湖南,2025,历史类,专科批,2230,长春金融高等专科学校,（101）,首选历史，再选不限,361,78486,,,6,吉林,公办,0,0
湖南,2025,历史类,专科批,2237,吉林电子信息职业技术学院,（101）,首选历史，再选不限,396,80685,,,1,吉林,公办,0,0
湖南,2025,历史类,专科批,2243,吉林工业职业技术学院,（101）,首选历史，再选不限,330,114209,,,3,吉林,公办,0,0
湖南,2025,历史类,专科批,2277,长春师范高等专科学校,,首选历史，再选不限,262,75666,,,5,吉林,公办,0,0
湖南,2025,历史类,专科批,2327,黑龙江农业职业技术学院,（101）,首选历史，再选不限,326,112482,,,10,黑龙江,公办,0,0
湖南,2025,历史类,专科批,2363,鹤岗师范高等专科学校,,首选历史，再选不限,297,123582,,,15,黑龙江,公办,0,0
湖南,2025,历史类,专科批,2370,黑龙江农业工程职业学院,（101）,首选历史，再选不限,313,110237,,,3,黑龙江,公办,0,0
湖南,2025,历史类,专科批,2372,黑龙江交通职业技术学院,（101）,首选历史，再选不限,405,55250,,,13,黑龙江,公办,0,0
湖南,2025,历史类,专科批,2373,哈尔滨幼儿师范高等专科学校,（101）,首选历史，再选不限,213,129422,,,0,黑龙江,公办,0,0
湖南,2025,历史类,专科批,2377,黑龙江护理高等专科学校,（101）,首选历史，再选不限,367,76764,,,0,黑龙江,公办,0,0
湖南,2025,历史类,专科批,3130,上海杉达学院,（106）,首选历史，再选不限,381,72810,,,0,上海,民办,0,0
湖南,2025,历史类,专科批,3140,上海旅游高等专科学校,,首选历史，再选不限,416,48823,,,9,上海,公办,0,0
湖南,2025,历史类,专科批,3147,上海工商职业技术学院,（101）,首选历史，再选不限,394,81795,,,0,上海,民办,0,0
湖南,2025,历史类,专科批,3148,上海浦东职业技术学院,（101）,首选历史，再选不限,450,50905,,,2,上海,公办,0,0
湖南,2025,历史类,专科批,3151,上海东海职业技术学院,（101）,首选历史，再选不限,325,116214,,,0,上海,民办,0,0
湖南,2025,历史类,专科批,3156,上海农林职业技术学院,（101）,首选历史，再选不限,417,58956,,,0,上海,公办,0,0
湖南,2025,历史类,专科批,3164,上海工艺美术职业学院,（101）,首选历史，再选不限,476,37733,,,1,上海,公办,0,0
湖南,2025,历史类,专科批,3168,上海邦德职业技术学院,（101）,首选历史，再选不限,325,97519,,,0,上海,民办,0,0
湖南,2025,历史类,专科批,3172,上海震旦职业学院,,首选历史，再选不限,295,100099,,,0,上海,民办,0,0
湖南,2025,历史类,专科批,3174,上海行健职业学院,（101）,首选历史，再选不限,421,62259,,,0,上海,公办,0,0
湖南,2025,历史类,专科批,3266,镇江市高等专科学校,（101）,首选历史，再选不限,401,75126,,,5,江苏,公办,0,0
湖南,2025,历史类,专科批,3272,南通师范高等专科学校,（101）,首选历史，再选不限,428,61146,,,6,江苏,公办,0,0
湖南,2025,历史类,专科批,3275,常州纺织服装职业技术学院,（101）,首选历史，再选不限,322,117374,,,5,江苏,公办,0,0
湖南,2025,历史类,专科批,3278,江苏经贸职业技术学院,（101）,首选历史，再选不限,450,45727,,,5,江苏,公办,0,0
湖南,2025,历史类,专科批,3297,江苏航运职业技术学院,（101）,首选历史，再选不限,417,55250,,,24,江苏,公办,0,0
