province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
江苏,2025,专科批,物理类,8759,三亚中瑞酒店管理职业学院,（02）,8,计算机应用技术,,首选物理，再选不限,1,三年,14900.0
江苏,2025,专科批,物理类,8759,三亚中瑞酒店管理职业学院,（02）,7,工商企业管理,,首选物理，再选不限,1,三年,39800.0
江苏,2025,专科批,物理类,8759,三亚中瑞酒店管理职业学院,（02）,6,融媒体技术与运营,,首选物理，再选不限,1,三年,14900.0
江苏,2025,专科批,物理类,8759,三亚中瑞酒店管理职业学院,（02）,5,空中乘务,,首选物理，再选不限,1,三年,14900.0
江苏,2025,专科批,历史类,8759,三亚中瑞酒店管理职业学院,（01）,4,计算机应用技术,,首选历史，再选不限,1,三年,14900.0
江苏,2025,专科批,历史类,8759,三亚中瑞酒店管理职业学院,（01）,3,工商企业管理,,首选历史，再选不限,1,三年,39800.0
江苏,2025,专科批,历史类,8759,三亚中瑞酒店管理职业学院,（01）,2,融媒体技术与运营,,首选历史，再选不限,1,三年,14900.0
江苏,2025,专科批,历史类,8759,三亚中瑞酒店管理职业学院,（01）,1,空中乘务,,首选历史，再选不限,1,三年,14900.0
江苏,2025,专科批,物理类,8756,三亚城市职业学院,（02）,10,电子商务,,首选物理，再选不限,1,三年,16800.0
江苏,2025,专科批,物理类,8756,三亚城市职业学院,（02）,9,空中乘务,,首选物理，再选不限,1,三年,16800.0
江苏,2025,专科批,物理类,8756,三亚城市职业学院,（02）,8,旅游管理,,首选物理，再选不限,1,三年,14800.0
江苏,2025,专科批,物理类,8756,三亚城市职业学院,（02）,7,宠物养护与驯导,,首选物理，再选不限,1,三年,14800.0
江苏,2025,专科批,物理类,8756,三亚城市职业学院,（02）,6,新能源汽车技术,,首选物理，再选不限,1,三年,14800.0
江苏,2025,专科批,历史类,8756,三亚城市职业学院,（01）,5,电子商务,,首选历史，再选不限,1,三年,16800.0
江苏,2025,专科批,历史类,8756,三亚城市职业学院,（01）,4,空中乘务,,首选历史，再选不限,1,三年,16800.0
江苏,2025,专科批,历史类,8756,三亚城市职业学院,（01）,3,旅游管理,,首选历史，再选不限,1,三年,14800.0
江苏,2025,专科批,历史类,8756,三亚城市职业学院,（01）,2,宠物养护与驯导,,首选历史，再选不限,1,三年,14800.0
江苏,2025,专科批,历史类,8756,三亚城市职业学院,（01）,1,新能源汽车技术,,首选历史，再选不限,1,三年,14800.0
江苏,2025,本科批,物理类,8741,三亚学院,（09）,34,虚拟现实技术,,首选物理，再选化学,3,四年,36900.0
江苏,2025,本科批,物理类,8741,三亚学院,（09）,30,电子信息工程,,首选物理，再选化学,3,四年,36900.0
江苏,2025,本科批,物理类,8741,三亚学院,（09）,29,储能科学与工程,,首选物理，再选化学,3,四年,36900.0
江苏,2025,本科批,物理类,8741,三亚学院,（09）,28,新能源科学与工程,,首选物理，再选化学,3,四年,36900.0
江苏,2025,本科批,物理类,8741,三亚学院,（07）,24,国际经济与贸易,（该校要求报考该专业外语成绩不低于90分，具体请查阅院校招生章程）（中外合作办学）,首选物理，再选不限,3,四年,60000.0
江苏,2025,本科批,物理类,8741,三亚学院,（06）,23,金融科技,,首选物理，再选不限,3,四年,48000.0
江苏,2025,本科批,物理类,8741,三亚学院,（06）,22,数字经济,,首选物理，再选不限,3,四年,48000.0
江苏,2025,本科批,物理类,8741,三亚学院,（05）,19,经济与金融,,首选物理，再选不限,3,四年,36900.0
江苏,2025,本科批,物理类,8741,三亚学院,（05）,18,电子竞技运动与管理,,首选物理，再选不限,3,四年,33900.0
江苏,2025,本科批,物理类,8741,三亚学院,（10）,35,区块链工程,,首选物理，再选化学,2,四年,48000.0
江苏,2025,本科批,历史类,8741,三亚学院,（02）,8,艺术管理,,首选历史，再选不限,3,四年,36900.0
