province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
江苏,2025,物理类,本科批,463,683.0,683-750,126,126,1-126
江苏,2025,物理类,本科批,463,682.0,682,18,144,127-144
江苏,2025,物理类,本科批,463,681.0,681,20,164,145-164
江苏,2025,物理类,本科批,463,680.0,680,32,196,165-196
江苏,2025,物理类,本科批,463,679.0,679,31,227,197-227
江苏,2025,物理类,本科批,463,678.0,678,34,261,228-261
江苏,2025,物理类,本科批,463,677.0,677,33,294,262-294
江苏,2025,物理类,本科批,463,676.0,676,44,338,295-338
江苏,2025,物理类,本科批,463,675.0,675,47,385,339-385
江苏,2025,物理类,本科批,463,674.0,674,58,443,386-443
江苏,2025,物理类,本科批,463,673.0,673,63,506,444-506
江苏,2025,物理类,本科批,463,672.0,672,64,570,507-570
江苏,2025,物理类,本科批,463,671.0,671,79,649,571-649
江苏,2025,物理类,本科批,463,670.0,670,79,728,650-728
江苏,2025,物理类,本科批,463,669.0,669,102,830,729-830
江苏,2025,物理类,本科批,463,668.0,668,107,937,831-937
江苏,2025,物理类,本科批,463,667.0,667,102,1039,938-1039
江苏,2025,物理类,本科批,463,666.0,666,108,1147,1040-1147
江苏,2025,物理类,本科批,463,665.0,665,110,1257,1148-1257
江苏,2025,物理类,本科批,463,664.0,664,124,1381,1258-1381
江苏,2025,物理类,本科批,463,663.0,663,140,1521,1382-1521
江苏,2025,物理类,本科批,463,662.0,662,142,1663,1522-1663
江苏,2025,物理类,本科批,463,661.0,661,172,1835,1664-1835
江苏,2025,物理类,本科批,463,660.0,660,192,2027,1836-2027
江苏,2025,物理类,本科批,463,659.0,659,182,2209,2028-2209
江苏,2025,物理类,本科批,463,658.0,658,205,2414,2210-2414
江苏,2025,物理类,本科批,463,657.0,657,204,2618,2415-2618
江苏,2025,物理类,本科批,463,656.0,656,229,2847,2619-2847
江苏,2025,物理类,本科批,463,655.0,655,234,3081,2848-3081
江苏,2025,物理类,本科批,463,654.0,654,200,3281,3082-3281
江苏,2025,物理类,本科批,463,653.0,653,275,3556,3282-3556
江苏,2025,物理类,本科批,463,652.0,652,249,3805,3557-3805
江苏,2025,物理类,本科批,463,651.0,651,277,4082,3806-4082
江苏,2025,物理类,本科批,463,650.0,650,281,4363,4083-4363
江苏,2025,物理类,本科批,463,649.0,649,312,4675,4364-4675
江苏,2025,物理类,本科批,463,648.0,648,298,4973,4676-4973
江苏,2025,物理类,本科批,463,647.0,647,337,5310,4974-5310
江苏,2025,物理类,本科批,463,646.0,646,323,5633,5311-5633
江苏,2025,物理类,本科批,463,645.0,645,352,5985,5634-5985
江苏,2025,物理类,本科批,463,644.0,644,377,6362,5986-6362
江苏,2025,物理类,本科批,463,643.0,643,370,6732,6363-6732
江苏,2025,物理类,本科批,463,642.0,642,389,7121,6733-7121
江苏,2025,物理类,本科批,463,641.0,641,408,7529,7122-7529
江苏,2025,物理类,本科批,463,640.0,640,399,7928,7530-7928
江苏,2025,物理类,本科批,463,639.0,639,434,8362,7929-8362
江苏,2025,物理类,本科批,463,638.0,638,475,8837,8363-8837
江苏,2025,物理类,本科批,463,637.0,637,442,9279,8838-9279
江苏,2025,物理类,本科批,463,636.0,636,486,9765,9280-9765
江苏,2025,物理类,本科批,463,635.0,635,497,10262,9766-10262
江苏,2025,物理类,本科批,463,634.0,634,488,10750,10263-10750
江苏,2025,物理类,本科批,463,633.0,633,498,11248,10751-11248
江苏,2025,物理类,本科批,463,632.0,632,521,11769,11249-11769
江苏,2025,物理类,本科批,463,631.0,631,551,12320,11770-12320
江苏,2025,物理类,本科批,463,630.0,630,509,12829,12321-12829
江苏,2025,物理类,本科批,463,629.0,629,530,13359,12830-13359
江苏,2025,物理类,本科批,463,628.0,628,556,13915,13360-13915
江苏,2025,物理类,本科批,463,627.0,627,572,14487,13916-14487
江苏,2025,物理类,本科批,463,626.0,626,612,15099,14488-15099
江苏,2025,物理类,本科批,463,625.0,625,614,15713,15100-15713
江苏,2025,物理类,本科批,463,624.0,624,666,16379,15714-16379
江苏,2025,物理类,本科批,463,623.0,623,649,17028,16380-17028
江苏,2025,物理类,本科批,463,622.0,622,678,17706,17029-17706
江苏,2025,物理类,本科批,463,621.0,621,613,18319,17707-18319
江苏,2025,物理类,本科批,463,620.0,620,685,19004,18320-19004
江苏,2025,物理类,本科批,463,619.0,619,670,19674,19005-19674
江苏,2025,物理类,本科批,463,618.0,618,675,20349,19675-20349
江苏,2025,物理类,本科批,463,617.0,617,694,21043,20350-21043
江苏,2025,物理类,本科批,463,616.0,616,692,21735,21044-21735
江苏,2025,物理类,本科批,463,615.0,615,760,22495,21736-22495
江苏,2025,物理类,本科批,463,614.0,614,719,23214,22496-23214
江苏,2025,物理类,本科批,463,613.0,613,733,23947,23215-23947
江苏,2025,物理类,本科批,463,612.0,612,822,24769,23948-24769
江苏,2025,物理类,本科批,463,611.0,611,746,25515,24770-25515
江苏,2025,物理类,本科批,463,610.0,610,815,26330,25516-26330
江苏,2025,物理类,本科批,463,609.0,609,820,27150,26331-27150
江苏,2025,物理类,本科批,463,608.0,608,815,27965,27151-27965
江苏,2025,物理类,本科批,463,607.0,607,876,28841,27966-28841
江苏,2025,物理类,本科批,463,606.0,606,797,29638,28842-29638
江苏,2025,物理类,本科批,463,605.0,605,854,30492,29639-30492
江苏,2025,物理类,本科批,463,604.0,604,870,31362,30493-31362
江苏,2025,物理类,本科批,463,603.0,603,828,32190,31363-32190
江苏,2025,物理类,本科批,463,602.0,602,879,33069,32191-33069
江苏,2025,物理类,本科批,463,601.0,601,916,33985,33070-33985
江苏,2025,物理类,本科批,463,600.0,600,903,34888,33986-34888
江苏,2025,物理类,本科批,463,599.0,599,915,35803,34889-35803
江苏,2025,物理类,本科批,463,598.0,598,921,36724,35804-36724
江苏,2025,物理类,本科批,463,597.0,597,996,37720,36725-37720
江苏,2025,物理类,本科批,463,596.0,596,965,38685,37721-38685
江苏,2025,物理类,本科批,463,595.0,595,935,39620,38686-39620
江苏,2025,物理类,本科批,463,594.0,594,1019,40639,39621-40639
江苏,2025,物理类,本科批,463,593.0,593,960,41599,40640-41599
江苏,2025,物理类,本科批,463,592.0,592,926,42525,41600-42525
江苏,2025,物理类,本科批,463,591.0,591,1045,43570,42526-43570
江苏,2025,物理类,本科批,463,590.0,590,1048,44618,43571-44618
江苏,2025,物理类,本科批,463,589.0,589,1015,45633,44619-45633
江苏,2025,物理类,本科批,463,588.0,588,993,46626,45634-46626
江苏,2025,物理类,本科批,463,587.0,587,1060,47686,46627-47686
江苏,2025,物理类,本科批,463,586.0,586,1054,48740,47687-48740
江苏,2025,物理类,本科批,463,585.0,585,1066,49806,48741-49806
