province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
江西,2025,历史类,专科批,2096,河北科技工程职业技术大学,（103）,首选历史，再选不限,469,55660,,,0,河北,公办,0,0
江西,2025,历史类,专科批,2219,大连科技学院,（101）,首选历史，再选不限,398,101278,,,0,辽宁,民办,0,0
江西,2025,历史类,专科批,2565,汉江师范学院,（102）,首选历史，再选不限,487,40314,,,11,湖北,公办,0,0
江西,2025,历史类,专科批,3359,温州商学院,（102）,首选历史，再选不限,461,63000,,,4,浙江,民办,0,0
江西,2025,历史类,专科批,3371,浙江树人学院,（102）,首选历史，再选不限,453,63711,,,10,浙江,民办,0,0
江西,2025,历史类,专科批,5083,唐山幼儿师范高等专科学校,（101）,首选历史，再选不限,454,55660,,,5,河北,公办,0,0
江西,2025,历史类,专科批,5222,长春金融高等专科学校,（101）,首选历史，再选不限,464,44921,,,5,吉林,公办,0,0
江西,2025,历史类,专科批,5283,上海旅游高等专科学校,,首选历史，再选不限,464,52965,,,10,上海,公办,0,0
江西,2025,历史类,专科批,5311,镇江市高等专科学校,（101）,首选历史，再选不限,477,45576,,,7,江苏,公办,0,0
江西,2025,历史类,专科批,5314,江苏城市职业学院,（101）,首选历史，再选不限,482,46887,,,0,江苏,公办,0,0
江西,2025,历史类,专科批,5381,安徽中医药高等专科学校,（101）,首选历史，再选不限,478,31293,,,14,安徽,公办,0,0
江西,2025,历史类,专科批,5382,安徽第二医学院,（101）,首选历史，再选不限,494,40963,,,9,安徽,公办,0,0
江西,2025,历史类,专科批,5517,河南医学高等专科学校,（101）,首选历史，再选不限,471,57693,,,0,河南,公办,0,0
江西,2025,历史类,专科批,5752,三亚护理职业学院,（101）,首选历史，再选不限,240,177699,,,0,海南,民办,0,0
江西,2025,历史类,专科批,5774,重庆幼儿师范高等专科学校,（101）,首选历史，再选不限,463,63000,,,0,重庆,公办,0,0
江西,2025,历史类,专科批,5845,毕节职业技术学院,（101）,首选历史，再选不限,364,80778,,,16,贵州,公办,0,0
江西,2025,历史类,专科批,5856,曲靖健康医学院,（101）,首选历史，再选不限,462,63711,,,2,云南,公办,0,0
江西,2025,历史类,专科批,5857,楚雄医药高等专科学校,（101）,首选历史，再选不限,452,70087,,,2,云南,公办,0,0
江西,2025,历史类,专科批,5886,大连职业技术学院,（101）,首选历史，再选不限,427,83986,,,0,辽宁,公办,0,0
江西,2025,历史类,专科批,5891,盘锦职业技术学院,（101）,首选历史，再选不限,369,122825,,,0,辽宁,公办,0,0
江西,2025,历史类,专科批,5919,浙江安防职业技术学院,（101）,首选历史，再选不限,451,70730,,,0,浙江,公办,0,0
江西,2025,历史类,专科批,5928,桐城师范高等专科学校,（101）,首选历史，再选不限,465,61678,,,0,安徽,公办,0,0
江西,2025,历史类,专科批,5936,湄洲湾职业技术学院,（101）,首选历史，再选不限,453,63000,,,30,福建,公办,0,0
江西,2025,历史类,专科批,5939,漳州职业技术学院,（101）,首选历史，再选不限,486,44921,,,0,福建,公办,0,0
江西,2025,历史类,专科批,5946,山东胜利职业学院,（101）,首选历史，再选不限,379,95810,,,75,山东,公办,0,0
江西,2025,历史类,专科批,5947,鹤壁职业技术学院,（101）,首选历史，再选不限,405,82054,,,0,河南,公办,0,0
江西,2025,历史类,专科批,6141,临汾职业技术学院,（101）,首选历史，再选不限,442,61678,,,2,山西,公办,0,0
江西,2025,历史类,专科批,6220,辽宁生态工程职业学院,（101）,首选历史，再选不限,379,114699,,,0,辽宁,公办,0,0
江西,2025,历史类,专科批,6243,黑龙江农业工程职业学院,（101）,首选历史，再选不限,447,56314,,,0,黑龙江,公办,0,0
江西,2025,历史类,专科批,6248,伊春职业学院,（101）,首选历史，再选不限,449,68191,,,9,黑龙江,公办,0,0
江西,2025,历史类,专科批,6281,上海工商职业技术学院,（101）,首选历史，再选不限,280,176754,,,0,上海,民办,0,0
江西,2025,历史类,专科批,6282,上海东海职业技术学院,（101）,首选历史，再选不限,278,174851,,,0,上海,民办,0,0
江西,2025,历史类,专科批,6286,上海工商外国语职业学院,（101）,首选历史，再选不限,401,103332,,,0,上海,民办,0,0
江西,2025,历史类,专科批,6288,上海交通职业技术学院,（101）,首选历史，再选不限,472,54301,,,0,上海,公办,0,0
江西,2025,历史类,专科批,6292,上海邦德职业技术学院,（101）,首选历史，再选不限,271,181658,,,0,上海,民办,0,0
江西,2025,历史类,专科批,6297,上海行健职业学院,（101）,首选历史，再选不限,470,54997,,,0,上海,公办,0,0
江西,2025,历史类,专科批,6299,上海南湖职业技术学院,（101）,首选历史，再选不限,465,59712,,,0,上海,公办,0,0
江西,2025,历史类,专科批,6300,上海闵行职业技术学院,（101）,首选历史，再选不限,459,63000,,,0,上海,公办,0,0
江西,2025,历史类,专科批,6301,上海浦东职业技术学院,（101）,首选历史，再选不限,476,52328,,,8,上海,公办,0,0
江西,2025,历史类,专科批,6302,上海震旦职业学院,（101）,首选历史，再选不限,295,166427,,,0,上海,民办,0,0
江西,2025,历史类,专科批,6304,上海农林职业技术学院,（101）,首选历史，再选不限,467,55660,,,0,上海,公办,0,0
江西,2025,历史类,专科批,6305,上海现代化工职业学院,（101）,首选历史，再选不限,458,63000,,,0,上海,公办,0,0
江西,2025,历史类,专科批,6311,连云港职业技术学院,（101）,首选历史，再选不限,473,56314,,,0,江苏,公办,0,0
江西,2025,历史类,专科批,6325,江苏经贸职业技术学院,（101）,首选历史，再选不限,485,33734,,,15,江苏,公办,0,0
江西,2025,历史类,专科批,6334,南京铁道职业技术学院,（101）,首选历史，再选不限,507,31293,,,15,江苏,公办,0,0
江西,2025,历史类,专科批,6343,常州机电职业技术学院,（101）,首选历史，再选不限,471,50956,,,16,江苏,公办,0,0
江西,2025,历史类,专科批,6347,江苏工程职业技术学院,（101）,首选历史，再选不限,478,48205,,,13,江苏,公办,0,0
江西,2025,历史类,专科批,6348,苏州卫生职业技术学院,（101）,首选历史，再选不限,501,35681,,,0,江苏,公办,0,0
江西,2025,历史类,专科批,6351,浙江工业职业技术学院,（101）,首选历史，再选不限,468,57693,,,15,浙江,公办,0,0
江西,2025,历史类,专科批,6354,浙江经贸职业技术学院,（101）,首选历史，再选不限,488,40963,,,12,浙江,公办,0,0
江西,2025,历史类,专科批,6355,浙江纺织服装职业技术学院,（101）,首选历史，再选不限,465,57693,,,0,浙江,公办,0,0
江西,2025,历史类,专科批,6356,浙江商业职业技术学院,（101）,首选历史，再选不限,484,44921,,,13,浙江,公办,0,0
江西,2025,历史类,专科批,6364,浙江机电职业技术大学,（102）,首选历史，再选不限,485,40963,,,0,浙江,公办,0,0
江西,2025,历史类,专科批,6365,浙江邮电职业技术学院,（101）,首选历史，再选不限,495,40314,,,4,浙江,公办,0,0
江西,2025,历史类,专科批,6367,浙江国际海运职业技术学院,（101）,首选历史，再选不限,472,56991,,,0,浙江,公办,0,0
江西,2025,历史类,专科批,6368,义乌工商职业技术学院,（101）,首选历史，再选不限,475,50249,,,0,浙江,公办,0,0
江西,2025,历史类,专科批,6372,杭州科技职业技术学院,（101）,首选历史，再选不限,484,41625,,,16,浙江,公办,0,0
江西,2025,历史类,专科批,6377,杭州职业技术大学,（101）,首选历史，再选不限,503,31884,,,0,浙江,公办,0,0
江西,2025,历史类,专科批,6379,浙江建设职业技术学院,（101）,首选历史，再选不限,477,37020,,,0,浙江,公办,0,0
江西,2025,历史类,专科批,6389,合肥幼儿师范高等专科学校,（101）,首选历史，再选不限,465,56314,,,0,安徽,公办,0,0
江西,2025,历史类,专科批,6439,厦门城市职业学院,（101）,首选历史，再选不限,484,42250,,,0,福建,公办,0,0
江西,2025,历史类,专科批,6440,闽西职业技术学院,（101）,首选历史，再选不限,435,71381,,,29,福建,公办,0,0
江西,2025,历史类,专科批,6448,黎明职业大学,,首选历史，再选不限,408,61678,,,18,福建,公办,0,0
江西,2025,历史类,专科批,6470,山东商务职业学院,（101）,首选历史，再选不限,447,73251,,,5,山东,公办,0,0
江西,2025,历史类,专科批,6483,威海职业学院,（101）,首选历史，再选不限,440,69480,,,16,山东,公办,0,0
江西,2025,历史类,专科批,6490,齐鲁医药学院,,首选历史，再选不限,439,58426,,,0,山东,民办,0,0
江西,2025,历史类,专科批,6519,濮阳职业技术学院,（101）,首选历史，再选不限,378,119774,,,5,河南,公办,0,0
江西,2025,历史类,专科批,6524,郑州旅游职业学院,（101）,首选历史，再选不限,408,91186,,,10,河南,公办,0,0
江西,2025,历史类,专科批,6527,安阳职业技术学院,（101）,首选历史，再选不限,431,66252,,,0,河南,公办,0,0
江西,2025,历史类,专科批,6538,三门峡职业技术学院,（101）,首选历史，再选不限,431,78271,,,0,河南,公办,0,0
江西,2025,历史类,专科批,6539,河南推拿职业学院,（101）,首选历史，再选不限,470,58426,,,3,河南,公办,0,0
江西,2025,历史类,专科批,6547,湖北职业技术学院,（101）,首选历史，再选不限,482,41625,,,34,湖北,公办,0,0
江西,2025,历史类,专科批,6568,江汉艺术职业学院,（101）,首选历史，再选不限,448,67528,,,12,湖北,公办,0,0
江西,2025,历史类,专科批,6585,襄阳科技职业学院,（101）,首选历史，再选不限,403,93844,,,4,湖北,公办,0,0
江西,2025,历史类,专科批,6592,宜昌科技职业学院,（101）,首选历史，再选不限,409,96472,,,16,湖北,公办,0,0
江西,2025,历史类,专科批,6626,湖南汽车工程职业大学,（101）,首选历史，再选不限,469,56991,,,0,湖南,公办,0,0
江西,2025,历史类,专科批,6646,株洲科技职业学院,,首选历史，再选不限,303,65614,,,0,湖南,民办,0,0
江西,2025,历史类,专科批,6663,广州职业技术大学,（101）,首选历史，再选不限,487,44269,,,20,广东,公办,0,0
江西,2025,历史类,专科批,6664,广东水利电力职业技术学院,（101）,首选历史，再选不限,476,52328,,,0,广东,公办,0,0
江西,2025,历史类,专科批,6674,广东科贸职业学院,（101）,首选历史，再选不限,482,44921,,,18,广东,公办,0,0
江西,2025,历史类,专科批,6692,东莞职业技术学院,,首选历史，再选不限,477,49562,,,0,广东,公办,0,0
江西,2025,历史类,专科批,6726,广西水利电力职业技术学院,（101）,首选历史，再选不限,410,90490,,,0,广西,公办,0,0
江西,2025,历史类,专科批,6728,广西信息职业技术学院,（101）,首选历史，再选不限,391,106805,,,13,广西,公办,0,0
江西,2025,历史类,专科批,6744,广西职业技术学院,（101）,首选历史，再选不限,250,192306,,,5,广西,公办,0,0
江西,2025,历史类,专科批,6758,海南经贸职业技术学院,（101）,首选历史，再选不限,468,53607,,,0,海南,公办,0,0
江西,2025,历史类,专科批,6759,海南外国语职业学院,（101）,首选历史，再选不限,444,64957,,,0,海南,公办,0,0
江西,2025,历史类,专科批,6765,海南卫生健康职业学院,（101）,首选历史，再选不限,447,65614,,,0,海南,公办,0,0
江西,2025,历史类,专科批,6768,重庆护理职业学院,（101）,首选历史，再选不限,321,122112,,,0,重庆,民办,0,0
江西,2025,历史类,专科批,6771,重庆工信职业学院,（101）,首选历史，再选不限,455,64326,,,10,重庆,公办,0,0
江西,2025,历史类,专科批,6792,重庆工贸职业技术学院,（101）,首选历史，再选不限,459,64957,,,12,重庆,公办,0,0
江西,2025,历史类,专科批,6858,云南能源职业技术学院,（101）,首选历史，再选不限,398,104642,,,4,云南,公办,0,0
江西,2025,历史类,专科批,6862,云南林业职业技术学院,（101）,首选历史，再选不限,439,63711,,,0,云南,公办,0,0
江西,2025,历史类,专科批,6872,云南财经职业学院,（101）,首选历史，再选不限,465,61678,,,6,云南,公办,0,0
江西,2025,历史类,专科批,6929,四川水利职业技术学院,（101）,首选历史，再选不限,433,82054,,,0,四川,公办,0,0
江西,2025,历史类,专科批,6933,乌兰察布医学高等专科学校,（101）,首选历史，再选不限,449,72030,,,0,内蒙古,公办,0,0
江西,2025,历史类,专科批,6949,重庆财经职业学院,（101）,首选历史，再选不限,476,52328,,,0,重庆,公办,0,0
江西,2025,历史类,专科批,7554,大兴安岭职业学院,（101）,首选历史，再选不限,369,118346,,,8,黑龙江,公办,0,0
江西,2025,历史类,专科批,7566,苏州健雄职业技术学院,（101）,首选历史，再选不限,447,68821,,,0,江苏,公办,0,0
江西,2025,历史类,专科批,7567,江苏电子信息职业学院,（101）,首选历史，再选不限,467,60360,,,0,江苏,公办,0,0
江西,2025,历史类,专科批,7578,南京机电职业技术学院,（101）,首选历史，再选不限,483,38305,,,0,江苏,公办,0,0
江西,2025,历史类,专科批,7590,石家庄幼儿师范高等专科学校,,首选历史，再选不限,357,128062,,,9,河北,公办,0,0
江西,2025,历史类,专科批,7591,徐州幼儿师范高等专科学校,（101）,首选历史，再选不限,456,67528,,,0,江苏,公办,0,0
江西,2025,历史类,专科批,7593,郑州幼儿师范高等专科学校,（101）,首选历史，再选不限,351,140111,,,0,河南,公办,0,0
江西,2025,历史类,专科批,7595,河北轨道运输职业技术学院,（101）,首选历史，再选不限,470,55660,,,0,河北,公办,0,0
江西,2025,历史类,专科批,7597,辽宁民族师范高等专科学校,,首选历史，再选不限,364,97825,,,0,辽宁,公办,0,0
江西,2025,历史类,专科批,8277,抚州医药学院,,首选历史，再选不限,459,41626,,,0,江西,公办,0,0
江西,2025,历史类,专科批,8511,江西医学高等专科学校,（101）,首选历史，再选不限,366,121361,,,0,江西,公办,0,0
江西,2025,历史类,专科批,8608,江西现代职业技术学院,,首选历史，再选不限,423,53607,,,900,江西,公办,0,0
江西,2025,历史类,专科批,8609,江西机电职业技术学院,,首选历史，再选不限,303,74506,,,1953,江西,公办,0,0
江西,2025,历史类,专科批,8621,江西制造职业技术学院,（101）,首选历史，再选不限,417,83986,,,0,江西,公办,0,0
江西,2025,历史类,专科批,8624,江西航空职业技术学院,（101）,首选历史，再选不限,290,128062,,,1735,江西,民办,0,0
江西,2025,历史类,专科批,8634,江西应用技术职业学院,,首选历史，再选不限,463,54997,,,569,江西,公办,0,0
江西,2025,历史类,专科批,8635,宜春职业技术学院,,首选历史，再选不限,463,37639,,,593,江西,公办,0,0
江西,2025,历史类,专科批,8686,赣南卫生健康职业学院,（101）,首选历史，再选不限,277,58426,,,1731,江西,公办,0,0
江西,2025,历史类,专科批,8686,赣南卫生健康职业学院,（102）,首选历史，再选化学,273,174385,,,27,江西,公办,0,0
江西,2025,历史类,专科批,8688,南昌健康职业技术学院,（101）,首选历史，再选不限,434,69480,,,1006,江西,公办,0,0
江西,2025,历史类,专科提前批,5283,上海旅游高等专科学校,（101）,首选历史，再选不限,467,60360,,,3,上海,公办,0,0
江西,2025,历史类,本科批,1001,中央民族大学,,首选历史，再选不限,537,1113,,,0,北京,公办,1,1
江西,2025,历史类,本科批,1008,北京科技大学,（101）,首选历史，再选不限,604,1593,,,17,北京,公办,0,1
江西,2025,历史类,本科批,1009,北京化工大学,（101）,首选历史，再选不限,599,1364,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1010,北京邮电大学,（101）,首选历史，再选不限,609,1063,,,13,北京,公办,0,1
江西,2025,历史类,本科批,1012,北京林业大学,（101）,首选历史，再选不限,602,1593,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1012,北京林业大学,（102）,首选历史，再选地理,607,1593,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1013,北京中医药大学,（101）,首选历史，再选不限,600,1746,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1015,中国传媒大学,,首选历史，再选不限,594,1231,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1016,中央财经大学,,首选历史，再选不限,601,620,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1017,对外经济贸易大学,,首选历史，再选不限,599,620,,,31,北京,公办,0,1
江西,2025,历史类,本科批,1017,对外经济贸易大学,（162）,首选历史，再选思想政治,599,2320,,,3,北京,公办,0,1
江西,2025,历史类,本科批,1020,中国石油大学（北京）,（101）,首选历史，再选不限,599,2320,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1020,中国石油大学（北京）,（102）,首选历史，再选思想政治,598,2428,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1021,中国地质大学（北京）,（101）,首选历史，再选不限,594,2535,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1027,北京外国语大学,（102）,首选历史，再选不限,609,860,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1027,北京外国语大学,,首选历史，再选思想政治,601,1364,,,0,北京,公办,0,1
江西,2025,历史类,本科批,1071,石家庄铁道大学,,首选历史，再选不限,564,7188,,,0,河北,公办,0,0
江西,2025,历史类,本科批,1073,燕山大学,（101）,首选历史，再选不限,569,6519,,,18,河北,公办,0,0
江西,2025,历史类,本科批,1221,吉林大学,,首选历史，再选不限,609,495,,,25,吉林,公办,1,1
江西,2025,历史类,本科批,1221,吉林大学,,首选历史，再选思想政治,600,1296,,,7,吉林,公办,1,1
江西,2025,历史类,本科批,1222,延边大学,（101）,首选历史，再选不限,571,5283,,,0,吉林,公办,0,1
江西,2025,历史类,本科批,1223,长春理工大学,,首选历史，再选不限,538,10711,,,0,吉林,公办,0,0
江西,2025,历史类,本科批,1244,哈尔滨医科大学,（101）,首选历史，再选不限,560,8949,,,4,黑龙江,公办,0,0
江西,2025,历史类,本科批,1244,哈尔滨医科大学,（102）,首选历史，再选生物,571,6732,,,1,黑龙江,公办,0,0
江西,2025,历史类,本科批,1245,东北石油大学,（101）,首选历史，再选不限,529,13070,,,18,黑龙江,公办,0,0
江西,2025,历史类,本科批,1246,东北林业大学,（101）,首选历史，再选不限,577,4574,,,0,黑龙江,公办,0,1
江西,2025,历史类,本科批,1246,东北林业大学,（102）,首选历史，再选思想政治,579,4756,,,0,黑龙江,公办,0,1
江西,2025,历史类,本科批,1247,黑龙江中医药大学,（101）,首选历史，再选不限,563,5481,,,6,黑龙江,公办,0,0
江西,2025,历史类,本科批,1247,黑龙江中医药大学,（102）,首选历史，再选生物,516,26711,,,4,黑龙江,公办,0,0
江西,2025,历史类,本科批,1284,华东理工大学,,首选历史，再选不限,595,1941,,,0,上海,公办,0,1
江西,2025,历史类,本科批,1287,上海财经大学,（101）,首选历史，再选不限,615,331,,,0,上海,公办,0,1
江西,2025,历史类,本科批,1287,上海财经大学,（102）,首选历史，再选思想政治,620,814,,,0,上海,公办,0,1
江西,2025,历史类,本科批,1291,上海对外经贸大学,,首选历史，再选不限,578,2887,,,0,上海,公办,0,0
江西,2025,历史类,本科批,1294,上海理工大学,（101）,首选历史，再选不限,575,5481,,,0,上海,公办,0,0
江西,2025,历史类,本科批,131,山西师范大学,（101）,首选历史，再选不限,539,12386,,,14,山西,公办,0,0
江西,2025,历史类,本科批,131,山西师范大学,（102）,首选历史，再选思想政治,564,8431,,,2,山西,公办,0,0
江西,2025,历史类,本科批,1317,南京理工大学,（101）,首选历史，再选不限,596,2320,,,0,江苏,公办,0,1
江西,2025,历史类,本科批,1317,南京理工大学,（102）,首选历史，再选思想政治,598,2428,,,0,江苏,公办,0,1
江西,2025,历史类,本科批,1320,南京信息工程大学,（101）,首选历史，再选不限,582,4239,,,8,江苏,公办,0,0
江西,2025,历史类,本科批,1320,南京信息工程大学,（102）,首选历史，再选思想政治,585,4103,,,2,江苏,公办,0,0
江西,2025,历史类,本科批,1321,江南大学,,首选历史，再选不限,604,1524,,,17,江苏,公办,0,1
江西,2025,历史类,本科批,1321,江南大学,（104）,首选历史，再选思想政治,605,1660,,,2,江苏,公办,0,1
江西,2025,历史类,本科批,1322,江苏大学,（101）,首选历史，再选不限,582,2026,,,10,江苏,公办,0,0
江西,2025,历史类,本科批,1323,扬州大学,,首选历史，再选不限,575,3657,,,23,江苏,公办,0,0
江西,2025,历史类,本科批,1323,扬州大学,（102）,首选历史，再选思想政治,589,3508,,,2,江苏,公办,0,0
江西,2025,历史类,本科批,1324,江苏科技大学,（101）,首选历史，再选不限,574,5884,,,7,江苏,公办,0,0
江西,2025,历史类,本科批,1325,西交利物浦大学,（101）,首选历史，再选不限,562,8949,,,34,江苏,中外合作办学,0,0
江西,2025,历史类,本科批,1352,宁波大学,,首选历史，再选不限,562,1941,,,0,浙江,公办,0,0
江西,2025,历史类,本科批,1353,浙江工业大学,（101）,首选历史，再选不限,576,5675,,,2,浙江,公办,0,0
江西,2025,历史类,本科批,1354,浙江理工大学,（101）,首选历史，再选不限,575,5675,,,0,浙江,公办,0,0
江西,2025,历史类,本科批,1356,浙江工商大学,（101）,首选历史，再选不限,589,2887,,,15,浙江,公办,0,0
江西,2025,历史类,本科批,1461,山东大学,,首选历史，再选不限,601,576,,,30,山东,公办,1,1
江西,2025,历史类,本科批,1462,中国海洋大学,,首选历史，再选不限,605,1296,,,0,山东,公办,1,1
江西,2025,历史类,本科批,1462,中国海洋大学,（103）,首选历史，再选思想政治,606,1659,,,0,山东,公办,1,1
江西,2025,历史类,本科批,1463,中国石油大学（华东）,（101）,首选历史，再选不限,596,2654,,,0,山东,公办,0,1
江西,2025,历史类,本科批,1464,山东大学（威海）,（101）,首选历史，再选不限,612,1167,,,4,山东,公办,1,1
江西,2025,历史类,本科批,1464,山东大学（威海）,（102）,首选历史，再选思想政治,609,1443,,,5,山东,公办,1,1
江西,2025,历史类,本科批,1502,河南大学,,首选历史，再选不限,545,3952,,,0,河南,公办,0,0
江西,2025,历史类,本科批,1502,河南大学,（103）,首选历史，再选地理,584,4239,,,0,河南,公办,0,0
江西,2025,历史类,本科批,1545,武汉理工大学,,首选历史，再选不限,592,2106,,,0,湖北,公办,0,1
江西,2025,历史类,本科批,1545,武汉理工大学,（103）,首选历史，再选思想政治,598,2428,,,0,湖北,公办,0,1
江西,2025,历史类,本科批,1546,中国地质大学（武汉）,（101）,首选历史，再选不限,595,1839,,,0,湖北,公办,0,1
江西,2025,历史类,本科批,1548,武汉科技大学,（101）,首选历史，再选不限,575,5109,,,0,湖北,公办,0,0
江西,2025,历史类,本科批,1602,中南大学,（101）,首选历史，再选不限,614,814,,,24,湖南,公办,1,1
江西,2025,历史类,本科批,1603,湘潭大学,（101）,首选历史，再选不限,579,2106,,,46,湖南,公办,0,0
江西,2025,历史类,本科批,1603,湘潭大学,（102）,首选历史，再选思想政治,586,3390,,,8,湖南,公办,0,0
江西,2025,历史类,本科批,1668,深圳大学,（101）,首选历史，再选不限,604,1168,,,15,广东,公办,0,0
江西,2025,历史类,本科批,1669,南方医科大学,（101）,首选历史，再选不限,588,1593,,,0,广东,公办,0,0
江西,2025,历史类,本科批,1721,广西大学,（101）,首选历史，再选不限,581,3390,,,0,广西,公办,0,1
江西,2025,历史类,本科批,1751,海南大学,,首选历史，再选不限,558,2199,,,0,海南,公办,0,1
江西,2025,历史类,本科批,1751,海南大学,（106）,首选历史，再选地理,565,8431,,,0,海南,公办,0,1
江西,2025,历史类,本科批,1751,海南大学,,首选历史，再选思想政治,588,3258,,,0,海南,公办,0,1
江西,2025,历史类,本科批,1831,贵州大学,（101）,首选历史，再选不限,579,4409,,,0,贵州,公办,0,1
江西,2025,历史类,本科批,1831,贵州大学,（102）,首选历史，再选思想政治,585,4103,,,0,贵州,公办,0,1
江西,2025,历史类,本科批,1873,西安交通大学,（102）,首选历史，再选不限,619,576,,,0,陕西,公办,1,1
江西,2025,历史类,本科批,191,大连海事大学,（101）,首选历史，再选不限,591,1746,,,0,辽宁,公办,0,1
江西,2025,历史类,本科批,191,大连海事大学,（102）,首选历史，再选思想政治,591,3258,,,0,辽宁,公办,0,1
江西,2025,历史类,本科批,1921,兰州大学,（101）,首选历史，再选不限,603,1523,,,14,甘肃,公办,1,1
江西,2025,历史类,本科批,1921,兰州大学,（102）,首选历史，再选思想政治,607,1523,,,4,甘肃,公办,1,1
江西,2025,历史类,本科批,194,辽宁师范大学,,首选历史，再选不限,529,13070,,,12,辽宁,公办,0,0
江西,2025,历史类,本科批,1961,宁夏大学,,首选历史，再选不限,573,6296,,,0,宁夏,公办,0,1
江西,2025,历史类,本科批,1961,宁夏大学,（103）,首选历史，再选思想政治,575,5884,,,0,宁夏,公办,0,1
江西,2025,历史类,本科批,1981,新疆大学,（101）,首选历史，再选不限,582,4574,,,0,新疆,公办,0,1
江西,2025,历史类,本科批,1981,新疆大学,（102）,首选历史，再选思想政治,576,5481,,,0,新疆,公办,0,1
江西,2025,历史类,本科批,1982,石河子大学,（101）,首选历史，再选不限,570,5675,,,10,新疆,公办,0,1
江西,2025,历史类,本科批,1983,中国石油大学（北京）克拉玛依校区,（101）,首选历史，再选不限,578,5283,,,0,新疆,公办,0,1
江西,2025,历史类,本科批,1983,中国石油大学（北京）克拉玛依校区,（102）,首选历史，再选思想政治,571,6732,,,0,新疆,公办,0,1
江西,2025,历史类,本科批,2001,中华女子学院,（101）,首选历史，再选不限,535,8681,,,27,北京,公办,0,0
江西,2025,历史类,本科批,2006,北京石油化工学院,（101）,首选历史，再选不限,551,12386,,,0,北京,公办,0,0
江西,2025,历史类,本科批,2007,北京物资学院,（101）,首选历史，再选不限,566,6519,,,0,北京,公办,0,0
江西,2025,历史类,本科批,2010,首都经济贸易大学,（101）,首选历史，再选不限,589,2887,,,0,北京,公办,0,0
江西,2025,历史类,本科批,2011,北京工商大学,（101）,首选历史，再选不限,569,7188,,,5,北京,公办,0,0
江西,2025,历史类,本科批,2016,北京联合大学,,首选历史，再选不限,559,6296,,,0,北京,公办,0,0
