province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
吉林,2025,普通提前批A段录取院校,历史类,1101,"北京大学(北京市,10001)",,1,马克思主义理论类,(马克思主义理论),政治,2,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,1102,"中国人民大学(北京市,10002)",,1,中国共产党历史,(再选科目:思想政治),政治,2,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,1102,"中国人民大学(北京市,10002)",,2,马克思主义理论,(再选科目:思想政治),政治,1,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,1102,"中国人民大学(北京市,10002)",,3,外国语言文学类,(只招英语考生)(需口试)(日语、俄语、德语、法语、西班牙语)(各语种均有机会进入目标语言国著名高校进行交流学习),不限,3,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1103,"清华大学(北京市,10003)",,3,马克思主义理论,(再选科目:思想政治),政治,1,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,1118,"北京师范大学(北京市,10027)",,1,俄语,(只招英语考生)(需口试),不限,2,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1120,"北京外国语大学(北京市,10030)",,1,阿拉伯语,"(综合评价)(根据我校2025年本科招生章程及综合评价招生简章要求,报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩。要求达到特殊类型最低控制线)",不限,1,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1120,"北京外国语大学(北京市,10030)",,2,日语,"(高级翻译)(综合评价)(根据我校2025年本科招生章程及综合评价招生简章要求,报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩。要求达到特殊类型最低控制线)",不限,1,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1120,"北京外国语大学(北京市,10030)",,3,朝鲜语,"(朝鲜半岛研究)(综合评价)(根据我校2025年本科招生章程及综合评价招生简章要求,报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩。要求达到特殊类型最低控制线)",不限,1,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1120,"北京外国语大学(北京市,10030)",,4,匈牙利语,"(综合评价)(根据我校2025年本科招生章程及综合评价招生简章要求,报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩。要求达到特殊类型最低控制线)",不限,1,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1120,"北京外国语大学(北京市,10030)",,5,马达加斯加语,"(法语)(综合评价)(根据我校2025年本科招生章程及综合评价招生简章要求,报名参加综合评价招生的考生,须参加北外组织的测试且入围,无需高考外语口试成绩。要求达到特殊类型最低控制线)",不限,1,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1121,"北京语言大学(北京市,10032)",,1,外国语言文学类,(小语种)(只招英语考生)(需口试)(日语(日本研究)、法语(法国研究)、西班牙语(欧洲研究)、意大利语(欧洲研究)、阿拉伯语(中东学)、波斯语(中东学)),不限,2,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1121,"北京语言大学(北京市,10032)",,2,德语,(涉外林业工程人才实验班)(只招英语考生)(需口试),不限,1,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1124,"对外经济贸易大学(北京市,10036)",,1,俄语,(选拔进入国贸双学士学位项目)(只招英语考生),不限,2,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1124,"对外经济贸易大学(北京市,10036)",,2,德语,(选拔进入财管双学士学位项目)(只招英语考生),不限,2,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1124,"对外经济贸易大学(北京市,10036)",,3,西班牙语,(选拔进入国贸双学士学位项目)(只招英语考生),不限,2,4,6000.0
吉林,2025,普通提前批A段录取院校,历史类,1126,"中国人民公安大学(北京市,10041)",,1,治安学,"(只招男生)(均须参加各省级公安机关组织的政治考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,3,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1126,"中国人民公安大学(北京市,10041)",,2,治安学,"(面向移民机构入警就业)(只招男生)(面向生源地国家移民管理机构入警就业。均须参加各省级公安机关组织的政治考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,1,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1126,"中国人民公安大学(北京市,10041)",,3,侦查学,"(只招男生)(均须参加各省级公安机关组织的政治考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,4,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1126,"中国人民公安大学(北京市,10041)",,4,侦查学,"(面向海关缉私部门入警就业)(只招男生)(面向生源地海关缉私部门入警就业。均须参加各省级公安机关组织的政治考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,1,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1126,"中国人民公安大学(北京市,10041)",,5,公安情报学,"(面向铁路公安机关入警就业)(只招男生)(面向生源地铁路公安机关入警就业。均须参加各省级公安机关组织的政治考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,1,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1126,"中国人民公安大学(北京市,10041)",,6,公安情报学,"(只招男生)(均须参加各省级公安机关组织的政治考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,3,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1126,"中国人民公安大学(北京市,10041)",,7,犯罪学,"(只招男生)(均须参加各省级公安机关组织的政治考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,3,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1126,"中国人民公安大学(北京市,10041)",,8,公安管理学,"(只招男生)(均须参加各省级公安机关组织的政治考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,3,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1126,"中国人民公安大学(北京市,10041)",,9,涉外警务,"(只招男生)(外语成绩不低于外语单科总成绩的70%。均须参加各省级公安机关组织的政治考察、面试、体检、体能测评并且合格,考生年龄为16周岁以上、22周岁以下,具体要求详见《招生章程》)",政治,2,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1140,"北京电子科技学院(北京市,10018)",,1,行政管理,(只招英语考生)(只招男生)(需面试政审。要求达到特殊类型最低控制线),不限,1,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1140,"北京电子科技学院(北京市,10018)",,2,行政管理,(只招英语考生)(只招女生)(需面试政审。要求达到特殊类型最低控制线),不限,1,4,4200.0
吉林,2025,普通提前批A段录取院校,历史类,1146,"外交学院(北京市,10040)",,1,法学,(需口试),不限,1,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,1146,"外交学院(北京市,10040)",,2,外交学,(需口试),政治,2,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,1146,"外交学院(北京市,10040)",,3,英语,(只招英语考生)(需口试),不限,2,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,1146,"外交学院(北京市,10040)",,4,法语,(需口试),不限,1,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,1146,"外交学院(北京市,10040)",,5,西班牙语,(需口试),不限,1,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,1146,"外交学院(北京市,10040)",,6,日语,(需口试),不限,2,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,1146,"外交学院(北京市,10040)",,7,翻译,(只招英语考生)(需口试),不限,1,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,,"国际关系学院(北京市,10042)",,1,国际经济与贸易,(只招男生)(身体等报考条件详见招生章程),不限,1,4,5000.0
吉林,2025,普通提前批A段录取院校,历史类,,"国际关系学院(北京市,10042)",,2,国际政治,(只招男生)(身体等报考条件详见招生章程),政治,1,4,5000.0
