province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
吉林,2025,历史类,专科批次,1171,民政职业大学,,历史,384,20451,,,0,,,0,0
吉林,2025,历史类,专科批次,1183,北京汇佳职业学院,,历史,339,25015,,,0,,,0,0
吉林,2025,历史类,专科批次,1184,北京科技经营管理学院,,历史,318,23421,,,0,,,0,0
吉林,2025,历史类,专科批次,1221,天津天狮学院,,历史,371,22886,,,0,,,0,0
吉林,2025,历史类,专科批次,1223,天津城市建设管理职业技术学院,,历史,363,23529,,,0,,,0,0
吉林,2025,历史类,专科批次,1224,天津生物工程职业技术学院,,历史,372,21618,,,0,,,0,0
吉林,2025,历史类,专科批次,1225,天津海运职业学院,,历史,386,20652,,,0,,,0,0
吉林,2025,历史类,专科批次,1230,天津渤海职业技术学院,,历史,381,18751,,,0,,,0,0
吉林,2025,历史类,专科批次,1232,天津机电职业技术学院,,历史,406,13899,,,0,,,0,0
吉林,2025,历史类,专科批次,1233,天津现代职业技术学院,,历史,418,15982,,,0,,,0,0
吉林,2025,历史类,专科批次,1235,天津轻工职业技术学院,,历史,388,20123,,,0,,,0,0
吉林,2025,历史类,专科批次,1236,天津商务职业学院,,历史,388,15398,,,0,,,0,0
吉林,2025,历史类,专科批次,1237,天津国土资源和房屋职业学院,,历史,351,23239,,,0,,,0,0
吉林,2025,历史类,专科批次,1240,天津交通职业学院,,历史,400,18373,,,0,,,0,0
吉林,2025,历史类,专科批次,1241,天津工业职业学院,,历史,383,20551,,,0,,,0,0
吉林,2025,历史类,专科批次,1242,天津石油职业技术学院,,历史,393,20026,,,0,,,0,0
吉林,2025,历史类,专科批次,1243,天津城市职业学院,,历史,364,22041,,,0,,,0,0
吉林,2025,历史类,专科批次,1244,天津铁道职业技术学院,,历史,444,14642,,,0,,,0,0
吉林,2025,历史类,专科批次,1256,天津市职业大学,,历史,452,12678,,,0,,,0,0
吉林,2025,历史类,专科批次,1259,天津滨海汽车工程职业学院,,历史,215,26796,,,0,,,0,0
吉林,2025,历史类,专科批次,1345,邢台医学院,,历史,421,17189,,,0,,,0,0
吉林,2025,历史类,专科批次,1346,石家庄医学高等专科学校,,历史,274,18858,,,0,,,0,0
吉林,2025,历史类,专科批次,1347,石家庄人民医学高等专科学校,,历史,368,20652,,,0,,,0,0
吉林,2025,历史类,专科批次,1348,石家庄幼儿师范高等专科学校,,历史,265,25015,,,0,,,0,0
吉林,2025,历史类,专科批次,1349,廊坊卫生职业学院,,历史,385,21066,,,0,,,0,0
吉林,2025,历史类,专科批次,1350,唐山幼儿师范高等专科学校,,历史,382,21298,,,0,,,0,0
吉林,2025,历史类,专科批次,1351,沧州医学高等专科学校,,历史,430,14158,,,0,,,0,0
吉林,2025,历史类,专科批次,1353,邯郸职业技术学院,,历史,363,21179,,,0,,,0,0
吉林,2025,历史类,专科批次,1355,张家口职业技术学院,,历史,320,26043,,,0,,,0,0
吉林,2025,历史类,专科批次,1357,河北软件职业技术学院,,历史,382,21833,,,0,,,0,0
吉林,2025,历史类,专科批次,1366,宣化科技职业学院,,历史,361,23792,,,0,,,0,0
吉林,2025,历史类,专科批次,1368,承德护理职业学院,,历史,416,15526,,,0,,,0,0
吉林,2025,历史类,专科批次,1370,保定幼儿师范高等专科学校,,历史,351,23959,,,0,,,0,0
吉林,2025,历史类,专科批次,1371,河北建材职业技术学院,,历史,331,25015,,,0,,,0,0
吉林,2025,历史类,专科批次,1374,河北能源职业技术学院,,历史,301,27670,,,0,,,0,0
吉林,2025,历史类,专科批次,1375,石家庄铁路职业技术学院,,历史,437,15275,,,0,,,0,0
吉林,2025,历史类,专科批次,1376,保定职业技术学院,,历史,392,20765,,,0,,,0,0
吉林,2025,历史类,专科批次,1377,秦皇岛职业技术学院,,历史,398,19120,,,0,,,0,0
吉林,2025,历史类,专科批次,1380,唐山职业技术学院,,历史,400,17307,,,0,,,0,0
吉林,2025,历史类,专科批次,1381,衡水职业技术学院,,历史,380,22041,,,0,,,0,0
吉林,2025,历史类,专科批次,1382,唐山工业职业技术大学,,历史,391,19456,,,0,,,0,0
