province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
辽宁,2025,本科批,物理类,161,大连医科大学,,3,临床医学,(5+3一体化)(不招收色盲、色弱考生),"物理,化学",76,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,27,法学,,物理,6,4,4800.0
辽宁,2025,本科批,物理类,161,大连医科大学,,2,中西医临床医学,(岐黄班)(不招收色盲、色弱考生),"物理,化学",5,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,1,基础医学,(其震班)(不招收色盲、色弱考生),"物理,化学",5,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,,预防医学,(不招收色盲、色弱考生)(辽宁省高校专项计划),"物理,化学",4,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,16,临床药学,(不招收色盲、色弱考生),"物理,化学",35,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,19,医学影像技术,(不招收色盲、色弱考生),"物理,化学",34,4,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,6,临床医学,(不招收色盲、色弱考生),"物理,化学",335,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,18,医学检验技术,(不招收色盲、色弱考生),"物理,化学",32,4,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,5,基础医学,(不招收色盲、色弱考生),"物理,化学",32,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,,护理学,(不招收色盲、色弱考生)(辽宁省高校专项计划),"物理,化学",30,4,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,15,中西医临床医学,(不招收色盲、色弱考生),"物理,化学",29,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,12,预防医学,(不招收色盲、色弱考生),"物理,化学",27,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,11,口腔医学,(不招收色盲、色弱考生),"物理,化学",26,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,7,麻醉学,(不招收色盲、色弱考生),"物理,化学",26,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,,公共事业管理,(辽宁省高校专项计划),物理,2,4,5200.0
辽宁,2025,本科批,物理类,161,大连医科大学,,,生物制药,(不招收色盲、色弱考生)(辽宁省高校专项计划),"物理,化学",2,4,5200.0
辽宁,2025,本科批,物理类,161,大连医科大学,,,生物医学工程,(不招收色盲、色弱考生)(辽宁省高校专项计划),"物理,化学",2,4,5200.0
辽宁,2025,本科批,物理类,161,大连医科大学,,17,药学,(不招收色盲、色弱考生),"物理,化学",18,4,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,23,护理学,(不招收色盲、色弱考生),"物理,化学",172,4,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,20,眼视光学,(不招收色盲、色弱考生),"物理,化学",17,4,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,14,中医康复学,(不招收色盲、色弱考生),"物理,化学",15,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,9,眼视光医学,(不招收色盲、色弱考生),"物理,化学",15,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,10,精神医学,(不招收色盲、色弱考生),"物理,化学",15,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,13,针灸推拿学,(不招收色盲、色弱考生),"物理,化学",15,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,26,公共事业管理,,物理,14,4,5200.0
辽宁,2025,本科批,物理类,161,大连医科大学,,22,卫生检验与检疫,(不招收色盲、色弱考生),"物理,化学",14,4,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,8,医学影像学,(不招收色盲、色弱考生),"物理,化学",13,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,21,康复治疗学,(不招收色盲、色弱考生),"物理,化学",13,4,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,25,生物医学工程,(不招收色盲、色弱考生),"物理,化学",13,4,5200.0
辽宁,2025,本科批,物理类,161,大连医科大学,,4,临床医学,(5+3一体化，儿科学)(不招收色盲、色弱考生),"物理,化学",12,5,5500.0
辽宁,2025,本科批,物理类,161,大连医科大学,,24,生物制药,(不招收色盲、色弱考生),"物理,化学",12,4,5200.0
辽宁,2025,本科批,历史类,161,大连医科大学,,28,法学,,历史,10,4,4800.0
辽宁,2025,本科批,物理类,184,延边大学,,91,少数民族预科班,(招少数民族考生，预科阶段在珲春校区培养，一年后分流),物理,5,1,5000.0
辽宁,2025,本科批,物理类,184,延边大学,,47,动物医学,,"物理,化学",4,5,5000.0
辽宁,2025,本科批,物理类,184,延边大学,,57,教育技术学,(师范),物理,4,4,4800.0
