province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
辽宁,2025,历史类,专科批,1032,天津市职业大学,,首选历史，再选不限,434,20567,,,0,天津,公办,0,0
辽宁,2025,历史类,专科批,1037,抚顺职业技术学院,,首选历史，再选不限,280,28736,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,1046,牡丹江大学,,首选历史，再选不限,426,28310,,,0,黑龙江,公办,0,0
辽宁,2025,历史类,专科批,1074,荆州理工职业学院,,首选历史，再选不限,330,36127,,,0,湖北,公办,0,0
辽宁,2025,历史类,专科批,1113,深圳职业技术大学,,首选历史，再选不限,465,20957,,,0,广东,公办,0,0
辽宁,2025,历史类,专科批,1121,私立华联学院,,首选历史，再选不限,327,40282,,,0,广东,民办,0,0
辽宁,2025,历史类,专科批,1238,石家庄职业技术学院,,首选历史，再选不限,414,25432,,,0,河北,公办,0,0
辽宁,2025,历史类,专科批,1248,辽宁农业职业技术学院,,首选历史，再选不限,341,25050,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,1249,辽阳职业技术学院,,首选历史，再选不限,332,30276,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,1250,阜新高等专科学校,,首选历史，再选不限,295,23904,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,1440,长春金融高等专科学校,,首选历史，再选不限,358,22672,,,0,吉林,公办,0,0
辽宁,2025,历史类,专科批,1449,黑龙江职业学院,,首选历史，再选不限,345,20196,,,0,黑龙江,公办,0,0
辽宁,2025,历史类,专科批,1500,辽宁省交通高等专科学校,,首选历史，再选不限,354,18312,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,164,沈阳医学院,,首选历史，再选生物,479,18714,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,169,鞍山师范学院,,首选历史，再选不限,402,28918,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,171,朝阳师范学院,,首选历史，再选不限,340,22112,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,1733,上海出版印刷高等专科学校,,首选历史，再选不限,444,21529,,,0,上海,公办,0,0
辽宁,2025,历史类,专科批,1779,辽东学院,,首选历史，再选不限,448,19820,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,1785,江西职业技术大学,,首选历史，再选不限,408,31475,,,0,江西,公办,0,0
辽宁,2025,历史类,专科批,179,抚顺师范高等专科学校,,首选历史，再选不限,279,30087,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,180,锦州师范高等专科学校,,首选历史，再选不限,327,25432,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,181,营口职业技术学院,,首选历史，再选不限,319,27115,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,182,铁岭师范高等专科学校,,首选历史，再选不限,289,30087,,,0,辽宁,公办,0,0
辽宁,2025,历史类,专科批,1823,长春医学高等专科学校,,首选历史，再选不限,469,16120,,,0,吉林,公办,0,0
辽宁,2025,历史类,专科批,1824,桂林师范学院,,首选历史，再选不限,340,29131,,,0,广西,公办,0,0
辽宁,2025,历史类,专科批,1841,民办四川天一学院,,首选历史，再选不限,321,42074,,,0,四川,民办,0,0
辽宁,2025,历史类,专科批,1916,重庆电力高等专科学校,,首选历史，再选不限,471,20196,,,0,重庆,公办,0,0
辽宁,2025,历史类,专科批,1959,鹤岗师范高等专科学校,,首选历史，再选不限,320,41568,,,0,黑龙江,公办,0,0
辽宁,2025,历史类,专科批,1964,邢台医学院,,首选历史，再选不限,435,24299,,,0,河北,公办,0,0
