province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
内蒙,2025,本科提前B,历史类,1,北京电子科技学院,,7,行政管理,需面试政审。招男生。报考外语语种为英语。,不限,1,4,4200.0
内蒙,2025,本科提前B,历史类,1,北京电子科技学院,,,行政管理,需面试政审。招女生。报考外语语种为英语。,不限,1,4,4200.0
内蒙,2025,本科提前B,物理类,1,北京电子科技学院,,1,密码科学与技术（国家专项计划）,需面试政审。招男生。报考外语语种为英语。,化学,1,4,4600.0
内蒙,2025,本科提前B,物理类,1,北京电子科技学院,,2,计算机科学与技术,需面试政审。招男生。报考外语语种为英语。,化学,1,4,4600.0
内蒙,2025,本科提前B,物理类,1,北京电子科技学院,,2,计算机科学与技术（国家专项计划）,需面试政审。招男生。报考外语语种为英语。,化学,1,4,4600.0
内蒙,2025,本科提前B,物理类,1,北京电子科技学院,,3,网络空间安全,需面试政审。招男生。报考外语语种为英语。,化学,2,4,4600.0
内蒙,2025,本科提前B,物理类,1,北京电子科技学院,,4,电子信息工程（国家专项计划）,需面试政审。招男生。报考外语语种为英语。,化学,1,4,4600.0
内蒙,2025,本科提前B,物理类,1,北京电子科技学院,,4,电子信息工程,需面试政审。招男生。报考外语语种为英语。,化学,1,4,4600.0
内蒙,2025,本科提前B,物理类,1,北京电子科技学院,,5,通信工程,需面试政审。招男生。报考外语语种为英语。,化学,2,4,4600.0
内蒙,2025,本科提前B,物理类,1,北京电子科技学院,,,密码科学与技术,需面试政审。招女生。报考外语语种为英语。,化学,1,4,4600.0
内蒙,2025,本科提前A,历史类,3,中央民族大学,,72,体育教育（高水平运动队）,,不限,,4,5000.0
内蒙,2025,本科提前A,物理类,3,中央民族大学,,71,体育教育（高水平运动队）,,不限,,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,21,哲学类,,不限,2,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,22,经济学类,,不限,4,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,23,法学类,,不限,8,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,25,社会学类,,不限,2,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,27,历史学类,,不限,3,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,28,民族学（与中国少数民族语言双学位）,,不限,3,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,29,历史学,,不限,2,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,30,教育学,,不限,2,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,31,汉语言文学（与教育学双学位）,,不限,2,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,32,汉语言文学,,不限,4,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,33,汉语国际教育,,不限,3,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,34,新闻传播学类,,不限,5,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,35,工商管理类,,不限,5,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,36,公共管理类,,不限,5,4,5000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,37,外国语言文学类,口试合格,不限,3,4,6000.0
内蒙,2025,本科批,历史类,3,中央民族大学,,38,俄语（俄语与中亚语）,口试合格,不限,2,4,5500.0
内蒙,2025,本科批,历史类,3,中央民族大学,,,民族预科班,一年后根据预科期间学业成绩的高低顺序依次选专业,不限,4,1,4800.0
内蒙,2025,本科批,物理类,3,中央民族大学,,20,数字经济,,不限,3,4,5000.0
内蒙,2025,本科批,物理类,3,中央民族大学,,22,经济学类,,不限,6,4,5000.0
内蒙,2025,本科批,物理类,3,中央民族大学,,23,法学类,,不限,3,4,5000.0
内蒙,2025,本科批,物理类,3,中央民族大学,,35,工商管理类,,不限,3,4,5000.0
内蒙,2025,本科批,物理类,3,中央民族大学,,37,外国语言文学类,口试合格,不限,2,4,6000.0
内蒙,2025,本科批,物理类,3,中央民族大学,,51,信息与计算科学,,化学,4,4,5300.0
内蒙,2025,本科批,物理类,3,中央民族大学,,52,统计学类,,化学,4,4,5300.0
内蒙,2025,本科批,物理类,3,中央民族大学,,53,纳米材料与技术,,化学,4,4,5300.0
内蒙,2025,本科批,物理类,3,中央民族大学,,54,光电信息科学与工程,,化学,4,4,5300.0
内蒙,2025,本科批,物理类,3,中央民族大学,,55,电子信息类,,化学,7,4,5300.0
内蒙,2025,本科批,物理类,3,中央民族大学,,56,计算机类,,化学,9,4,5300.0
内蒙,2025,本科批,物理类,3,中央民族大学,,58,生物科学类,,化学,5,4,5300.0
内蒙,2025,本科批,物理类,3,中央民族大学,,59,环境科学与工程类,,化学,5,4,5300.0
内蒙,2025,本科批,物理类,3,中央民族大学,,,民族预科班,一年后根据预科期间学业成绩的高低顺序依次选专业,不限,8,1,4800.0
内蒙,2025,本科批,历史类,4,西北民族大学,,,民族预科班,,不限,4,1,3800.0
内蒙,2025,本科批,历史类,4,西北民族大学,,,财务管理,,不限,2,4,3800.0
