province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
内蒙,2025,历史类,本科批,100,南京工程学院,,历史,538,5172,,,0,,,0,0
内蒙,2025,历史类,本科批,101,太原科技大学,,历史,552,4584,,,0,,,0,0
内蒙,2025,历史类,本科批,103,湖南工程学院,,历史,546,5172,,,0,,,0,0
内蒙,2025,历史类,本科批,104,河南科技大学,,历史,528,3485,,,0,,,0,0
内蒙,2025,历史类,本科批,105,西北工业大学,,历史,631,431,,,0,,,0,0
内蒙,2025,历史类,本科批,107,哈尔滨工业大学,,历史,635,370,,,0,,,0,0
内蒙,2025,历史类,本科批,109,重庆师范大学,,历史,569,3359,,,0,,,0,0
内蒙,2025,历史类,本科批,110,乐山师范学院,,历史,490,11038,,,0,,,0,0
内蒙,2025,历史类,本科批,112,邯郸学院,,历史,504,9451,,,0,,,0,0
内蒙,2025,历史类,本科批,116,北华航天工业学院,,历史,450,10554,,,0,,,0,0
内蒙,2025,历史类,本科批,119,北京航空航天大学,,历史,644,199,,,0,,,0,0
内蒙,2025,历史类,本科批,124,烟台南山学院,,历史,446,16745,,,0,,,0,0
内蒙,2025,历史类,本科批,126,长沙理工大学,,历史,585,2115,,,0,,,0,0
内蒙,2025,历史类,本科批,127,常州大学,,历史,533,4658,,,0,,,0,0
内蒙,2025,历史类,本科批,128,大连医科大学,,历史,580,2646,,,0,,,0,0
内蒙,2025,历史类,本科批,131,华北电力大学(保定),,历史,594,1669,,,0,,,0,0
内蒙,2025,历史类,本科批,132,东北电力大学,,历史,533,6310,,,0,,,0,0
内蒙,2025,历史类,本科批,132,东北电力大学,,"历史,政治",561,3938,,,0,,,0,0
内蒙,2025,历史类,本科批,134,华北电力大学(北京),,历史,608,1006,,,0,,,0,0
内蒙,2025,历史类,本科批,137,上海海事大学,,历史,581,2068,,,0,,,0,0
内蒙,2025,历史类,本科批,14,晋中学院,,历史,485,11157,,,0,,,0,0
内蒙,2025,历史类,本科批,14,晋中学院,,"历史,政治",509,8857,,,0,,,0,0
内蒙,2025,历史类,本科批,141,盐城师范学院,,历史,540,5666,,,0,,,0,0
内蒙,2025,历史类,本科批,144,河海大学,,历史,604,1219,,,0,,,0,0
内蒙,2025,历史类,本科批,146,江西水利电力大学,,历史,500,9326,,,0,,,0,0
内蒙,2025,历史类,本科批,147,福建农林大学,,历史,559,4087,,,0,,,0,0
内蒙,2025,历史类,本科批,148,中国海洋大学,,历史,614,563,,,0,,,0,0
内蒙,2025,历史类,本科批,148,中国海洋大学,,"历史,政治",625,643,,,0,,,0,0
内蒙,2025,历史类,本科批,15,忻州师范学院,,历史,479,7312,,,0,,,0,0
内蒙,2025,历史类,本科批,15,忻州师范学院,,"历史,地理",492,10130,,,0,,,0,0
内蒙,2025,历史类,本科批,15,忻州师范学院,,"历史,政治",524,7214,,,0,,,0,0
内蒙,2025,历史类,本科批,150,沈阳建筑大学,,历史,534,6226,,,0,,,0,0
内蒙,2025,历史类,本科批,151,周口师范学院,,历史,484,9326,,,0,,,0,0
内蒙,2025,历史类,本科批,154,云南民族大学,,历史,532,6310,,,0,,,0,0
内蒙,2025,历史类,本科批,154,云南民族大学,,"历史,政治",535,6134,,,0,,,0,0
内蒙,2025,历史类,本科批,157,河北地质大学,,历史,514,7617,,,0,,,0,0
内蒙,2025,历史类,本科批,159,长江师范学院,,历史,524,7214,,,0,,,0,0
内蒙,2025,历史类,本科批,16,辽宁师范大学,,历史,509,6045,,,0,,,0,0
内蒙,2025,历史类,本科批,16,辽宁师范大学,,"历史,地理",546,5172,,,0,,,0,0
内蒙,2025,历史类,本科批,160,中国地质大学(北京),,历史,607,1219,,,0,,,0,0
内蒙,2025,历史类,本科批,161,德州学院,,历史,470,13551,,,0,,,0,0
内蒙,2025,历史类,本科批,162,中国地质大学(武汉),,历史,608,859,,,0,,,0,0
内蒙,2025,历史类,本科批,164,文华学院,,历史,465,12683,,,0,,,0,0
内蒙,2025,历史类,本科批,165,山东英才学院,,"历史,生物",436,18135,,,0,,,0,0
内蒙,2025,历史类,本科批,167,辽宁科技大学,,历史,513,7214,,,0,,,0,0
内蒙,2025,历史类,本科批,17,西南政法大学,,历史,598,1486,,,0,,,0,0
内蒙,2025,历史类,本科批,170,北京科技大学,,历史,612,793,,,0,,,0,0
内蒙,2025,历史类,本科批,175,枣庄学院,,"历史,政治",515,8156,,,0,,,0,0
内蒙,2025,历史类,本科批,176,西安交通工程学院,,历史,439,16205,,,0,,,0,0
内蒙,2025,历史类,本科批,18,西北政法大学,,历史,563,563,,,0,,,0,0
内蒙,2025,历史类,本科批,182,东北大学秦皇岛分校,,历史,619,820,,,0,,,0,0
内蒙,2025,历史类,本科批,182,东北大学秦皇岛分校,,"历史,政治",609,1182,,,0,,,0,0
内蒙,2025,历史类,本科批,186,哈尔滨工业大学(深圳),,历史,627,397,,,0,,,0,0
内蒙,2025,历史类,本科批,187,电子科技大学,,历史,621,613,,,0,,,0,0
内蒙,2025,历史类,本科批,19,中国政法大学,,历史,619,27,,,0,,,0,0
