province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
内蒙,2025,物理类,本科批,375,704.0,704-750,11,11,1-11
内蒙,2025,物理类,本科批,375,703.0,703,0,11,11-11
内蒙,2025,物理类,本科批,375,702.0,702,5,16,12-16
内蒙,2025,物理类,本科批,375,701.0,701,3,19,17-19
内蒙,2025,物理类,本科批,375,700.0,700,5,24,20-24
内蒙,2025,物理类,本科批,375,699.0,699,4,28,25-28
内蒙,2025,物理类,本科批,375,698.0,698,1,29,29-29
内蒙,2025,物理类,本科批,375,697.0,697,3,32,30-32
内蒙,2025,物理类,本科批,375,696.0,696,4,36,33-36
内蒙,2025,物理类,本科批,375,695.0,695,5,41,37-41
内蒙,2025,物理类,本科批,375,694.0,694,6,47,42-47
内蒙,2025,物理类,本科批,375,693.0,693,2,49,48-49
内蒙,2025,物理类,本科批,375,692.0,692,5,54,50-54
内蒙,2025,物理类,本科批,375,691.0,691,4,58,55-58
内蒙,2025,物理类,本科批,375,690.0,690,8,66,59-66
内蒙,2025,物理类,本科批,375,689.0,689,8,74,67-74
内蒙,2025,物理类,本科批,375,688.0,688,8,82,75-82
内蒙,2025,物理类,本科批,375,687.0,687,8,90,83-90
内蒙,2025,物理类,本科批,375,686.0,686,16,106,91-106
内蒙,2025,物理类,本科批,375,685.0,685,14,120,107-120
内蒙,2025,物理类,本科批,375,684.0,684,13,133,121-133
内蒙,2025,物理类,本科批,375,683.0,683,7,140,134-140
内蒙,2025,物理类,本科批,375,682.0,682,12,152,141-152
内蒙,2025,物理类,本科批,375,681.0,681,15,167,153-167
内蒙,2025,物理类,本科批,375,680.0,680,23,190,168-190
内蒙,2025,物理类,本科批,375,679.0,679,22,212,191-212
内蒙,2025,物理类,本科批,375,678.0,678,14,226,213-226
内蒙,2025,物理类,本科批,375,677.0,677,19,245,227-245
内蒙,2025,物理类,本科批,375,676.0,676,21,266,246-266
内蒙,2025,物理类,本科批,375,675.0,675,19,285,267-285
内蒙,2025,物理类,本科批,375,674.0,674,28,313,286-313
内蒙,2025,物理类,本科批,375,673.0,673,17,330,314-330
内蒙,2025,物理类,本科批,375,672.0,672,20,350,331-350
内蒙,2025,物理类,本科批,375,671.0,671,20,370,351-370
内蒙,2025,物理类,本科批,375,670.0,670,23,393,371-393
内蒙,2025,物理类,本科批,375,669.0,669,20,413,394-413
内蒙,2025,物理类,本科批,375,668.0,668,23,436,414-436
内蒙,2025,物理类,本科批,375,667.0,667,34,470,437-470
内蒙,2025,物理类,本科批,375,666.0,666,25,495,471-495
内蒙,2025,物理类,本科批,375,665.0,665,24,519,496-519
内蒙,2025,物理类,本科批,375,664.0,664,22,541,520-541
内蒙,2025,物理类,本科批,375,663.0,663,36,577,542-577
内蒙,2025,物理类,本科批,375,662.0,662,24,601,578-601
内蒙,2025,物理类,本科批,375,661.0,661,37,638,602-638
内蒙,2025,物理类,本科批,375,660.0,660,32,670,639-670
内蒙,2025,物理类,本科批,375,659.0,659,43,713,671-713
内蒙,2025,物理类,本科批,375,658.0,658,40,753,714-753
内蒙,2025,物理类,本科批,375,657.0,657,40,793,754-793
内蒙,2025,物理类,本科批,375,656.0,656,48,841,794-841
内蒙,2025,物理类,本科批,375,655.0,655,56,897,842-897
内蒙,2025,物理类,本科批,375,654.0,654,53,950,898-950
内蒙,2025,物理类,本科批,375,653.0,653,53,1003,951-1003
内蒙,2025,物理类,本科批,375,652.0,652,49,1052,1004-1052
内蒙,2025,物理类,本科批,375,651.0,651,47,1099,1053-1099
内蒙,2025,物理类,本科批,375,650.0,650,50,1149,1100-1149
内蒙,2025,物理类,本科批,375,649.0,649,69,1218,1150-1218
内蒙,2025,物理类,本科批,375,648.0,648,54,1272,1219-1272
内蒙,2025,物理类,本科批,375,647.0,647,44,1316,1273-1316
内蒙,2025,物理类,本科批,375,646.0,646,56,1372,1317-1372
内蒙,2025,物理类,本科批,375,645.0,645,52,1424,1373-1424
内蒙,2025,物理类,本科批,375,644.0,644,66,1490,1425-1490
内蒙,2025,物理类,本科批,375,643.0,643,78,1568,1491-1568
内蒙,2025,物理类,本科批,375,642.0,642,66,1634,1569-1634
内蒙,2025,物理类,本科批,375,641.0,641,63,1697,1635-1697
内蒙,2025,物理类,本科批,375,640.0,640,66,1763,1698-1763
内蒙,2025,物理类,本科批,375,639.0,639,69,1832,1764-1832
内蒙,2025,物理类,本科批,375,638.0,638,87,1919,1833-1919
内蒙,2025,物理类,本科批,375,637.0,637,82,2001,1920-2001
内蒙,2025,物理类,本科批,375,636.0,636,78,2079,2002-2079
内蒙,2025,物理类,本科批,375,635.0,635,83,2162,2080-2162
内蒙,2025,物理类,本科批,375,634.0,634,78,2240,2163-2240
内蒙,2025,物理类,本科批,375,633.0,633,90,2330,2241-2330
内蒙,2025,物理类,本科批,375,632.0,632,96,2426,2331-2426
内蒙,2025,物理类,本科批,375,631.0,631,90,2516,2427-2516
内蒙,2025,物理类,本科批,375,630.0,630,82,2598,2517-2598
内蒙,2025,物理类,本科批,375,629.0,629,104,2702,2599-2702
内蒙,2025,物理类,本科批,375,628.0,628,87,2789,2703-2789
内蒙,2025,物理类,本科批,375,627.0,627,96,2885,2790-2885
内蒙,2025,物理类,本科批,375,626.0,626,130,3015,2886-3015
内蒙,2025,物理类,本科批,375,625.0,625,96,3111,3016-3111
内蒙,2025,物理类,本科批,375,624.0,624,114,3225,3112-3225
内蒙,2025,物理类,本科批,375,623.0,623,105,3330,3226-3330
内蒙,2025,物理类,本科批,375,622.0,622,116,3446,3331-3446
内蒙,2025,物理类,本科批,375,621.0,621,102,3548,3447-3548
内蒙,2025,物理类,本科批,375,620.0,620,129,3677,3549-3677
内蒙,2025,物理类,本科批,375,619.0,619,119,3796,3678-3796
内蒙,2025,物理类,本科批,375,618.0,618,112,3908,3797-3908
内蒙,2025,物理类,本科批,375,617.0,617,117,4025,3909-4025
内蒙,2025,物理类,本科批,375,616.0,616,117,4142,4026-4142
内蒙,2025,物理类,本科批,375,615.0,615,142,4284,4143-4284
内蒙,2025,物理类,本科批,375,614.0,614,107,4391,4285-4391
内蒙,2025,物理类,本科批,375,613.0,613,126,4517,4392-4517
内蒙,2025,物理类,本科批,375,612.0,612,147,4664,4518-4664
内蒙,2025,物理类,本科批,375,611.0,611,136,4800,4665-4800
内蒙,2025,物理类,本科批,375,610.0,610,135,4935,4801-4935
内蒙,2025,物理类,本科批,375,609.0,609,124,5059,4936-5059
内蒙,2025,物理类,本科批,375,608.0,608,135,5194,5060-5194
内蒙,2025,物理类,本科批,375,607.0,607,131,5325,5195-5325
内蒙,2025,物理类,本科批,375,606.0,606,146,5471,5326-5471
内蒙,2025,物理类,本科批,375,605.0,605,128,5599,5472-5599
内蒙,2025,物理类,本科批,375,604.0,604,141,5740,5600-5740
内蒙,2025,物理类,本科批,375,603.0,603,150,5890,5741-5890
内蒙,2025,物理类,本科批,375,602.0,602,136,6026,5891-6026
内蒙,2025,物理类,本科批,375,601.0,601,158,6184,6027-6184
内蒙,2025,物理类,本科批,375,600.0,600,165,6349,6185-6349
内蒙,2025,物理类,本科批,375,599.0,599,183,6532,6350-6532
内蒙,2025,物理类,本科批,375,598.0,598,135,6667,6533-6667
内蒙,2025,物理类,本科批,375,597.0,597,151,6818,6668-6818
内蒙,2025,物理类,本科批,375,596.0,596,196,7014,6819-7014
内蒙,2025,物理类,本科批,375,595.0,595,164,7178,7015-7178
内蒙,2025,物理类,本科批,375,594.0,594,159,7337,7179-7337
内蒙,2025,物理类,本科批,375,593.0,593,162,7499,7338-7499
内蒙,2025,物理类,本科批,375,592.0,592,168,7667,7500-7667
内蒙,2025,物理类,本科批,375,591.0,591,171,7838,7668-7838
内蒙,2025,物理类,本科批,375,590.0,590,175,8013,7839-8013
内蒙,2025,物理类,本科批,375,589.0,589,185,8198,8014-8198
内蒙,2025,物理类,本科批,375,588.0,588,181,8379,8199-8379
内蒙,2025,物理类,本科批,375,587.0,587,153,8532,8380-8532
内蒙,2025,物理类,本科批,375,586.0,586,182,8714,8533-8714
内蒙,2025,物理类,本科批,375,585.0,585,170,8884,8715-8884
内蒙,2025,物理类,本科批,375,584.0,584,159,9043,8885-9043
内蒙,2025,物理类,本科批,375,583.0,583,176,9219,9044-9219
内蒙,2025,物理类,本科批,375,582.0,582,175,9394,9220-9394
内蒙,2025,物理类,本科批,375,581.0,581,180,9574,9395-9574
内蒙,2025,物理类,本科批,375,580.0,580,210,9784,9575-9784
内蒙,2025,物理类,本科批,375,579.0,579,188,9972,9785-9972
内蒙,2025,物理类,本科批,375,578.0,578,211,10183,9973-10183
内蒙,2025,物理类,本科批,375,577.0,577,197,10380,10184-10380
内蒙,2025,物理类,本科批,375,576.0,576,200,10580,10381-10580
内蒙,2025,物理类,本科批,375,575.0,575,221,10801,10581-10801
内蒙,2025,物理类,本科批,375,574.0,574,190,10991,10802-10991
内蒙,2025,物理类,本科批,375,573.0,573,198,11189,10992-11189
内蒙,2025,物理类,本科批,375,572.0,572,205,11394,11190-11394
