province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
宁夏,2025,本科批B段,物理类,2132,大连医科大学,502,4,临床医学,,"物理,化学",7,5,5500.0
宁夏,2025,本科批B段,物理类,2132,大连医科大学,502,3,中西医临床医学,,"物理,化学",2,5,5500.0
宁夏,2025,本科批B段,物理类,2132,大连医科大学,501,1,临床医学,(5+3一体化),"物理,化学",2,5,5500.0
宁夏,2025,本科批B段,物理类,2132,大连医科大学,503,7,医学检验技术,,"物理,化学",2,4,5500.0
宁夏,2025,本科批B段,物理类,2132,大连医科大学,503,6,药学,,"物理,化学",2,4,5500.0
宁夏,2025,本科批B段,物理类,2132,大连医科大学,502,5,预防医学,,"物理,化学",2,5,5500.0
宁夏,2025,本科批B段,物理类,2132,大连医科大学,502,2,麻醉学,,"物理,化学",2,5,5500.0
宁夏,2025,本科批B段,物理类,2132,大连医科大学,5A4,8,生物制药,,"物理,化学",1,4,5200.0
宁夏,2025,本科批B段,物理类,2210,延边大学,502,5,临床医学,,"物理,化学",3,5,6160.0
宁夏,2025,本科批B段,物理类,2210,延边大学,502,3,人工智能,,"物理,化学",2,4,5400.0
宁夏,2025,本科批B段,物理类,2210,延边大学,001,2,工商管理,,物理,2,4,5280.0
宁夏,2025,本科批B段,物理类,2210,延边大学,502,4,机械设计制造及其自动化,,"物理,化学",2,4,5400.0
宁夏,2025,本科批B段,物理类,2210,延边大学,502,6,电子信息工程,,"物理,化学",2,4,5940.0
宁夏,2025,本科批B段,历史类,2210,延边大学,7A2,4,国际政治,,"历史,政治",2,4,5280.0
宁夏,2025,本科批B段,历史类,2210,延边大学,001,2,工商管理,,历史,2,4,5280.0
宁夏,2025,本科批B段,历史类,2210,延边大学,001,3,法学,,历史,2,4,5280.0
宁夏,2025,本科批B段,物理类,2246,长春大学,503,9,光电信息材料与器件,,"物理,化学",2,4,5400.0
宁夏,2025,本科批B段,物理类,2246,长春大学,502,6,机械工程,,"物理,化学",2,4,5940.0
宁夏,2025,本科批B段,物理类,2246,长春大学,504,11,网络工程,,"物理,化学",2,4,5940.0
宁夏,2025,本科批B段,物理类,2246,长春大学,502,7,车辆工程,,"物理,化学",2,4,5940.0
宁夏,2025,本科批B段,物理类,2246,长春大学,504,10,软件工程,,"物理,化学",2,4,5940.0
宁夏,2025,本科批B段,物理类,2246,长春大学,503,8,通信工程,,"物理,化学",2,4,5940.0
宁夏,2025,本科批B段,物理类,2246,长春大学,001,5,汉语国际教育,,物理,1,4,4600.0
宁夏,2025,本科批B段,历史类,2246,长春大学,001,9,旅游管理,,历史,2,4,4800.0
宁夏,2025,本科批B段,历史类,2246,长春大学,002,10,汉语言文学,,历史,2,4,4600.0
宁夏,2025,本科批B段,物理类,2325,哈尔滨医科大学,501,3,医学信息工程,,"物理,化学",1,4,5000.0
宁夏,2025,本科批B段,物理类,2325,哈尔滨医科大学,501,4,医学实验技术,(该专业不招色盲、色弱考生),"物理,化学",1,4,5500.0
宁夏,2025,本科批B段,物理类,2325,哈尔滨医科大学,501,1,医学影像技术,(该专业不招色盲、色弱考生),"物理,化学",1,4,5000.0
宁夏,2025,本科批B段,物理类,2325,哈尔滨医科大学,501,2,医学检验技术,(该专业不招色盲、色弱考生),"物理,化学",1,4,4000.0
宁夏,2025,本科批B段,物理类,2325,哈尔滨医科大学,501,5,康复治疗学,(不招色盲、色弱考生),"物理,化学",1,4,4800.0
宁夏,2025,本科批B段,物理类,1351,华北理工大学轻工学院,001,2,工商管理,,物理,4,4,19500.0
