province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
宁夏,2025,历史类,本科批A段,2201,吉林大学,,"历史,政治",538,1156,,,1,,,0,0
宁夏,2025,历史类,本科批A段,3103,华东师范大学,,历史,576,387,,,1,,,0,0
宁夏,2025,历史类,本科批A段,3501,厦门大学,,历史,560,622,,,1,,,0,0
宁夏,2025,历史类,本科批A段,3701,山东大学,,历史,543,1009,,,1,,,0,0
宁夏,2025,历史类,本科批A段,4212,华中师范大学,,历史,511,2028,,,1,,,0,0
宁夏,2025,历史类,本科批A段,5211,贵州大学,,历史,488,3083,,,1,,,0,0
宁夏,2025,历史类,本科批B段,1008,中央民族大学,,历史,546,549,,,43,,,0,0
宁夏,2025,历史类,本科批B段,1016,北京中医药大学,,历史,542,867,,,3,,,0,0
宁夏,2025,历史类,本科批B段,1017,北京外国语大学,,历史,548,199,,,7,,,0,0
宁夏,2025,历史类,本科批B段,1018,中国传媒大学,,历史,521,484,,,9,,,0,0
宁夏,2025,历史类,本科批B段,1019,中央财经大学,,历史,546,143,,,21,,,0,0
宁夏,2025,历史类,本科批B段,1023,中华女子学院,,历史,478,3469,,,5,,,0,0
宁夏,2025,历史类,本科批B段,1111,对外经济贸易大学,,历史,559,410,,,20,,,0,0
宁夏,2025,历史类,本科批B段,1111,对外经济贸易大学,,"历史,政治",539,777,,,3,,,0,0
宁夏,2025,历史类,本科批B段,1112,北京体育大学,,历史,528,985,,,5,,,0,0
宁夏,2025,历史类,本科批B段,1114,华北电力大学(北京),,历史,542,916,,,4,,,0,0
宁夏,2025,历史类,本科批B段,1121,北京工商大学,,历史,516,1842,,,5,,,0,0
宁夏,2025,历史类,本科批B段,1124,首都经济贸易大学,,历史,538,1069,,,6,,,0,0
宁夏,2025,历史类,本科批B段,1131,北京物资学院,,历史,495,2375,,,3,,,0,0
