province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
青海,2025,本科批次⑦段,物理类,2020,大连医科大学,,502,临床医学,(办学地点:辽宁省大连市),"物理,化学",9,,5500.0
青海,2025,本科批次⑦段,物理类,2020,大连医科大学,,503,临床医学,(5+3一体化)(办学地点:辽宁省大连市),"物理,化学",2,,5500.0
青海,2025,本科批次⑦段,物理类,2020,大连医科大学,,504,医学影像学,(办学地点:辽宁省大连市),"物理,化学",2,,5500.0
青海,2025,本科提前批次⑤段,物理类,2020,大连医科大学,,501,预防医学,(国家专项计划;办学地点:辽宁省大连市),"物理,化学",1,,5500.0
青海,2025,本科批次⑦段,物理类,2121,延边大学,,503,临床医学,(延吉校区;办学地点:吉林省延边朝鲜族自治州),"物理,化学",2,,6160.0
青海,2025,本科批次⑦段,物理类,2121,延边大学,,501,工商管理,(珲春校区;办学地点:吉林省延边朝鲜族自治州),物理,2,,5280.0
青海,2025,本科批次⑦段,物理类,2121,延边大学,,505,机械设计制造及其自动化,(延吉校区;办学地点:吉林省延边朝鲜族自治州),"物理,化学",2,,5400.0
青海,2025,本科批次⑦段,物理类,2121,延边大学,,504,电子信息工程,(延吉校区;办学地点:吉林省延边朝鲜族自治州),"物理,化学",2,,5940.0
青海,2025,本科批次⑦段,物理类,2121,延边大学,,502,药学类,(包含专业药学、药物制剂;第三学期末分流﹔延吉校区;办学地点:吉林省延边朝鲜族自治州),"物理,化学",2,,5600.0
青海,2025,本科批次⑦段,历史类,2121,延边大学,,102,工商管理,(珲春校区;办学地点:吉林省延边朝鲜族自治州),历史,2,,5280.0
青海,2025,本科提前批次⑤段,历史类,2121,延边大学,,101,国际政治,(国家专项计划;延吉校区;办学地点:吉林省延边朝鲜族自治州),"历史,政治",2,,5280.0
青海,2025,本科批次⑦段,物理类,2148,长春大学,,504,人工智能,(卫星广场校区[东校区];办学地点:吉林省长春市),"物理,化学",3,,5400.0
