province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
陕西,2025,历史类,专科批,1103,北京科技职业大学,（101）,首选历史，再选不限,459,28589,,,0,北京,公办,0,0
陕西,2025,历史类,专科批,1451,河北科技工程职业技术大学,（101）,首选历史，再选不限,367,52988,,,0,河北,公办,0,0
陕西,2025,历史类,专科批,1512,河北软件职业技术学院,（101）,首选历史，再选不限,361,57185,,,0,河北,公办,0,0
陕西,2025,历史类,专科批,1530,河北交通职业技术学院,（101）,首选历史，再选不限,383,51689,,,0,河北,公办,0,0
陕西,2025,历史类,专科批,1531,河北化工医药职业技术学院,（102）,首选历史，再选不限,391,48506,,,4,河北,公办,0,0
陕西,2025,历史类,专科批,1539,廊坊职业技术学院,（101）,首选历史，再选不限,356,58378,,,5,河北,公办,0,0
陕西,2025,历史类,专科批,1566,河北轨道运输职业技术学院,（101）,首选历史，再选不限,381,42832,,,0,河北,公办,0,0
陕西,2025,历史类,专科批,1575,张家口学院,（101）,首选历史，再选不限,461,27202,,,4,河北,公办,0,0
陕西,2025,历史类,专科批,1581,石家庄幼儿师范高等专科学校,,首选历史，再选不限,339,55783,,,12,河北,公办,0,0
陕西,2025,历史类,专科批,1591,唐山幼儿师范高等专科学校,（101）,首选历史，再选不限,357,54070,,,5,河北,公办,0,0
陕西,2025,历史类,专科批,1626,山西工程科技职业大学,（101）,首选历史，再选不限,384,51390,,,3,山西,公办,0,0
陕西,2025,历史类,专科批,1721,临汾职业技术学院,（101）,首选历史，再选不限,381,52239,,,2,山西,公办,0,0
陕西,2025,历史类,专科批,1736,忻州职业技术学院,（101）,首选历史，再选不限,404,45536,,,0,山西,公办,0,0
陕西,2025,历史类,专科批,1737,山西同文职业技术学院,（101）,首选历史，再选不限,365,56239,,,5,山西,民办,0,0
陕西,2025,历史类,专科批,1762,太原幼儿师范高等专科学校,（101）,首选历史，再选不限,350,57892,,,8,山西,公办,0,0
