province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
山东,2025,常规批,综合,,大连医科大学,,6,临床医学,,"物理,化学",5,5,5500.0
山东,2025,常规批,综合,,大连医科大学,,15,中西医临床医学,,"物理,化学",2,5,5500.0
山东,2025,常规批,综合,,大连医科大学,,3,临床医学,(5+3一体化),"物理,化学",2,5,5500.0
山东,2025,常规批,综合,,大连医科大学,,4,临床医学,(5+3一体化，儿科学),"物理,化学",2,5,5500.0
山东,2025,常规批,综合,,大连医科大学,,16,临床药学,,"物理,化学",2,5,5500.0
山东,2025,常规批,综合,,大连医科大学,,19,医学影像技术,,"物理,化学",2,4,5500.0
山东,2025,常规批,综合,,大连医科大学,,18,医学检验技术,,"物理,化学",2,4,5500.0
山东,2025,常规批,综合,,大连医科大学,,22,卫生检验与检疫,,"物理,化学",2,4,5500.0
山东,2025,常规批,综合,,大连医科大学,,11,口腔医学,,"物理,化学",2,5,5500.0
山东,2025,常规批,综合,,大连医科大学,,1,基础医学,(其震班),"物理,化学",2,5,5500.0
山东,2025,常规批,综合,,大连医科大学,,21,康复治疗学,,"物理,化学",2,4,5500.0
山东,2025,常规批,综合,,大连医科大学,,27,法学,,不限,2,4,4800.0
山东,2025,常规批,综合,,大连医科大学,,25,生物医学工程,,"物理,化学",2,4,5200.0
山东,2025,常规批,综合,,大连医科大学,,20,眼视光学,,"物理,化学",2,4,5500.0
山东,2025,常规批,综合,,大连医科大学,,10,精神医学,,"物理,化学",2,5,5500.0
山东,2025,常规批,综合,,大连医科大学,,13,针灸推拿学,,"物理,化学",2,5,5500.0
山东,2025,常规批,综合,,大连医科大学,,12,预防医学,,"物理,化学",2,5,5500.0
山东,2025,常规批,综合,,大连医科大学,,7,麻醉学,,"物理,化学",2,5,5500.0
山东,2025,常规批,综合,,延边大学,,,经济学,(中外合作办学)(与韩国崇实大学合作办学，培养金融学方向专业人才，宜英语语种考生报考，在珲春校区办学),不限,8,4,23000.0
山东,2025,常规批,综合,,延边大学,,63,俄语,(外语语种为英语，日语),不限,6,4,5060.0
山东,2025,常规批,综合,,延边大学,,43,化学类,(化学、应用化学)(第一学年末分流；化学专业为师范),"物理,化学",6,4,5000.0
山东,2025,常规批,综合,,延边大学,,45,物理学,(含师范类、非师范类；第一学年末分流),"物理,化学",6,4,5500.0
山东,2025,常规批,综合,,延边大学,,38,经济学类,(经济学、国际经济与贸易)(第一学年末分流，在珲春校区办学),不限,6,4,4800.0
山东,2025,常规批,综合,,延边大学,,49,食品科学与工程,,"物理,化学",6,4,5940.0
山东,2025,常规批,综合,,延边大学,,34,土木工程,,"物理,化学",4,4,5940.0
山东,2025,常规批,综合,,延边大学,,36,工商管理,(在珲春校区办学),不限,4,4,5280.0
山东,2025,常规批,综合,,延边大学,,,日语,(外语语种为英语，零起点),不限,4,4,5060.0
山东,2025,常规批,综合,,延边大学,,32,机械设计制造及其自动化,,"物理,化学",4,4,5400.0
山东,2025,常规批,综合,,延边大学,,30,计算机科学与技术,,"物理,化学",4,4,5940.0
山东,2025,常规批,综合,,延边大学,,,通信工程,(中外合作办学)(与韩国湖西大学合作办学),"物理,化学",4,4,24000.0
山东,2025,常规批,综合,,延边大学,,33,高分子材料与工程,,"物理,化学",4,4,5400.0
山东,2025,常规批,综合,,延边大学,,69,中医学,,"物理,生物",3,5,5600.0
山东,2025,常规批,综合,,延边大学,,66,临床医学,,"物理,化学",3,5,6160.0
山东,2025,常规批,综合,,延边大学,,31,人工智能,,"物理,化学",3,4,5400.0
山东,2025,常规批,综合,,延边大学,,40,旅游管理,(在珲春校区办学),不限,3,4,5280.0
山东,2025,常规批,综合,,延边大学,,64,药学类,(药学、药物制剂)(第三学期末分流),"物理,化学",3,4,5600.0
山东,2025,常规批,综合,,延边大学,,29,通信工程,,"物理,化学",3,4,5400.0
山东,2025,常规批,综合,,延边大学,,68,预防医学,,"物理,化学",3,5,5600.0
山东,2025,常规批,综合,,延边大学,,67,麻醉学,,"物理,化学",3,5,5600.0
山东,2025,常规批,综合,,延边大学,,26,中国语言文学类,(汉语国际教育、汉语言、汉语言文学)(第一学年末分流；汉语言文学专业只招汉语答卷考生。含师范、非师范),不限,2,4,4600.0
山东,2025,常规批,综合,,延边大学,,61,朝鲜语,(招汉语答卷非朝鲜族考生),不限,2,4,5060.0
山东,2025,常规批,综合,,延边大学,,27,法学,,不限,2,4,5280.0
山东,2025,常规批,综合,,延边大学,,28,电子信息工程,,"物理,化学",2,4,5940.0
山东,2025,常规批,综合,,延边大学,,,英语,(外语语种为英语，含师范、非师范，第一学年末分流),不限,2,4,5060.0
山东,2025,常规批,综合,,延边大学,,41,地理科学类,(地理科学、地理信息科学)(第一学年末分流，地理科学专业为师范，在珲春校区办学),地理,10,4,5000.0
山东,2025,常规批,综合,,延边大学,,35,护理学,,生物,10,4,6160.0
山东,2025,常规批,综合,,延边大学,,,食品科学与工程,(中外合作办学)(与韩国全北大学合作办学),"物理,化学",10,4,26000.0
山东,2025,常规批,综合,,长春大学,,,食品科学与工程,(中外合作办学)(与韩国启明大学合作办学),"物理,化学",7,4,40000.0
山东,2025,常规批,综合,,长春大学,,8,汉语言文学,,不限,5,4,4600.0
山东,2025,常规批,综合,,长春大学,,,电气工程及其自动化,(中外合作办学)(与韩国启明大学合作办学),"物理,化学",5,4,40000.0
山东,2025,常规批,综合,,长春大学,,,车辆工程,(中外合作办学)(与韩国启明大学合作办学),"物理,化学",5,4,40000.0
山东,2025,常规批,综合,,长春大学,,38,市场营销,(本科学术互认课程，非英语语种考生不宜报考),不限,4,4,20000.0
山东,2025,常规批,综合,,长春大学,,36,计算机科学与技术,(本科学术互认课程，非英语语种考生不宜报考),"物理,化学",4,4,20000.0
山东,2025,常规批,综合,,长春大学,,39,金融工程,(本科学术互认课程，非英语语种考生不宜报考),物理,4,4,20000.0
山东,2025,常规批,综合,,长春大学,,37,会计学,(本科学术互认课程，非英语语种考生不宜报考),不限,3,4,20000.0
山东,2025,常规批,综合,,长春大学,,,国际经济与贸易,,不限,3,4,4800.0
山东,2025,常规批,综合,,长春大学,,,材料科学与工程,(中外合作办学)(与乌克兰基辅国立塔拉斯舍甫琴科大学合作办学),"物理,化学",3,4,26000.0
山东,2025,常规批,综合,,长春大学,,,汉语国际教育,,不限,3,4,4600.0
山东,2025,常规批,综合,,长春大学,,29,特殊教育,(师范类),不限,3,4,5280.0
山东,2025,常规批,综合,,长春大学,,,网络与新媒体,,不限,3,4,6200.0
山东,2025,常规批,综合,,长春大学,,49,网络空间安全,,"物理,化学",3,4,5400.0
山东,2025,常规批,综合,,长春大学,,,食品质量与安全,(高新校区[西校区]),"物理,化学",3,4,5400.0
山东,2025,常规批,综合,,长春大学,,12,会计学,,不限,2,4,5280.0
山东,2025,常规批,综合,,长春大学,,,俄语,(中外合作办学)(与俄罗斯伏尔加格勒国立师范大学合作办学),不限,2,4,26000.0
山东,2025,常规批,综合,,长春大学,,,信息与计算科学,,"物理,化学",2,4,5500.0
山东,2025,常规批,综合,,长春大学,,54,光电信息材料与器件,,"物理,化学",2,4,5400.0
山东,2025,常规批,综合,,长春大学,,22,园林,(高新校区[西校区]),生物,2,4,5000.0
山东,2025,常规批,综合,,长春大学,,11,工商管理,,不限,2,4,4800.0
山东,2025,常规批,综合,,长春大学,,,数学与应用数学,,"物理,化学",2,4,5000.0
山东,2025,常规批,综合,,长春大学,,33,数据科学与大数据技术,,"物理,化学",2,4,5400.0
山东,2025,常规批,综合,,长春大学,,44,智能制造工程,,"物理,化学",2,4,5400.0
山东,2025,常规批,综合,,长春大学,,17,机械工程,(中外合作办学)(与俄罗斯乌斯季诺夫波罗的海国立技术大学合作办学),"物理,化学",2,4,26000.0
