province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
山东,2025,综合,提前批,,兰州资源环境职业技术大学,,不限,416,363727,,,0,甘肃,公办,0,0
山东,2025,综合,提前批,,北京科技职业大学,,物理必选,459,182602,,,0,北京,公办,0,0
山东,2025,综合,提前批,,江西水利电力大学,,物理必选,244,290189,,,0,江西,公办,0,0
山东,2025,综合,提前批A类,,中国人民公安大学,,思想政治必选,613,1262,,,0,北京,公办,0,0
山东,2025,综合,提前批A类,,中国人民公安大学,,物理、化学(2科必选),632,890,,,0,北京,公办,0,0
山东,2025,综合,提前批A类,,中国刑事警察学院,,思想政治必选,567,8601,,,0,辽宁,公办,0,0
山东,2025,综合,提前批A类,,中国刑事警察学院,,物理、化学(2科必选),614,7293,,,0,辽宁,公办,0,0
山东,2025,综合,提前批A类,,中国民航大学,,物理、化学(2科必选),538,104154,,,0,天津,公办,0,0
山东,2025,综合,提前批A类,,中国消防救援学院,,思想政治必选,551,81231,,,0,北京,公办,0,0
山东,2025,综合,提前批A类,,中国消防救援学院,,物理、化学(2科必选),549,64571,,,0,北京,公办,0,0
山东,2025,综合,提前批A类,,北部湾大学,,物理、化学(2科必选),467,261977,,,0,广西,公办,0,0
山东,2025,综合,提前批A类,,海南热带海洋学院,,物理、化学(2科必选),459,289884,,,0,海南,公办,0,0
山东,2025,综合,提前批B类,,临沂大学,,地理必选,586,19752,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,临沂大学,,物理、化学(2科必选),572,19132,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,华东师范大学,,不限,648,3219,,,0,上海,公办,1,1
山东,2025,综合,提前批B类,,华东师范大学,,思想政治必选,647,4203,,,0,上海,公办,1,1
山东,2025,综合,提前批B类,,华东师范大学,,物理、化学(2科必选),645,2540,,,0,上海,公办,1,1
山东,2025,综合,提前批B类,,华中师范大学,,不限,610,7011,,,0,湖北,公办,0,1
山东,2025,综合,提前批B类,,华中师范大学,,历史必选,640,5151,,,0,湖北,公办,0,1
山东,2025,综合,提前批B类,,华中师范大学,,地理必选,638,6446,,,0,湖北,公办,0,1
山东,2025,综合,提前批B类,,华中师范大学,,思想政治必选,635,7293,,,0,湖北,公办,0,1
山东,2025,综合,提前批B类,,华中师范大学,,物理、化学(2科必选),626,6730,,,0,湖北,公办,0,1
山东,2025,综合,提前批B类,,华中师范大学,,物理必选,619,11446,,,0,湖北,公办,0,1
山东,2025,综合,提前批B类,,安徽师范大学,,思想政治必选,584,38477,,,0,安徽,公办,0,0
山东,2025,综合,提前批B类,,曲阜师范大学,,不限,580,13205,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,曲阜师范大学,,思想政治必选,590,13205,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,曲阜师范大学,,物理、化学(2科必选),577,15730,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,曲阜师范大学,,物理必选,584,38477,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,河西学院,,物理、化学(2科必选),521,138878,,,0,甘肃,公办,0,0
山东,2025,综合,提前批B类,,滨州医学院,,物理必选,578,30395,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,聊城大学,,不限,587,19752,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,聊城大学,,历史必选,587,14159,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,聊城大学,,物理、化学(2科必选),573,15730,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,西安交通大学,,思想政治必选,637,6730,,,0,陕西,公办,1,1
山东,2025,综合,提前批B类,,鲁东大学,,不限,587,18530,,,0,山东,公办,0,0
山东,2025,综合,提前批B类,,鲁东大学,,物理、化学(2科必选),573,17940,,,0,山东,公办,0,0
山东,2025,综合,普通类一段,,三亚学院,,不限,467,186441,,,0,海南,民办,0,0
山东,2025,综合,普通类一段,,三亚学院,,物理、化学(2科必选),442,329936,,,0,海南,民办,0,0
山东,2025,综合,普通类一段,,三亚学院,,物理必选,458,268254,,,0,海南,民办,0,0
山东,2025,综合,普通类一段,,三峡大学,,不限,537,56275,,,0,湖北,公办,0,0
山东,2025,综合,普通类一段,,三峡大学,,物理、化学(2科必选),515,24422,,,0,湖北,公办,0,0
山东,2025,综合,普通类一段,,三峡大学,,物理必选,535,108034,,,0,湖北,公办,0,0
山东,2025,综合,普通类一段,,三峡大学科技学院,,不限,510,162308,,,0,湖北,民办,0,0
山东,2025,综合,普通类一段,,三峡大学科技学院,,物理、化学(2科必选),475,195805,,,0,湖北,民办,0,0
山东,2025,综合,普通类一段,,三明学院,,不限,501,172444,,,0,福建,公办,0,0
山东,2025,综合,普通类一段,,三明学院,,物理、化学(2科必选),466,198075,,,0,福建,公办,0,0
山东,2025,综合,普通类一段,,三明学院,,物理必选,481,209392,,,0,福建,公办,0,0
山东,2025,综合,普通类一段,,三江学院,,不限,489,185503,,,0,江苏,民办,0,0
