province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
山东,2025,综合,普通类一段,441,693.0,693-750,47,47,1-47
山东,2025,综合,普通类一段,441,692.0,692,7,54,48-54
山东,2025,综合,普通类一段,441,691.0,691,14,68,55-68
山东,2025,综合,普通类一段,441,690.0,690,12,80,69-80
山东,2025,综合,普通类一段,441,689.0,689,13,93,81-93
山东,2025,综合,普通类一段,441,688.0,688,13,106,94-106
山东,2025,综合,普通类一段,441,687.0,687,13,119,107-119
山东,2025,综合,普通类一段,441,686.0,686,16,135,120-135
山东,2025,综合,普通类一段,441,685.0,685,20,155,136-155
山东,2025,综合,普通类一段,441,684.0,684,26,181,156-181
山东,2025,综合,普通类一段,441,683.0,683,30,211,182-211
山东,2025,综合,普通类一段,441,682.0,682,35,246,212-246
山东,2025,综合,普通类一段,441,681.0,681,43,289,247-289
山东,2025,综合,普通类一段,441,680.0,680,37,326,290-326
山东,2025,综合,普通类一段,441,679.0,679,43,369,327-369
山东,2025,综合,普通类一段,441,678.0,678,35,404,370-404
山东,2025,综合,普通类一段,441,677.0,677,38,442,405-442
山东,2025,综合,普通类一段,441,676.0,676,51,493,443-493
山东,2025,综合,普通类一段,441,675.0,675,51,544,494-544
山东,2025,综合,普通类一段,441,674.0,674,52,596,545-596
山东,2025,综合,普通类一段,441,673.0,673,63,659,597-659
山东,2025,综合,普通类一段,441,672.0,672,71,730,660-730
山东,2025,综合,普通类一段,441,671.0,671,77,807,731-807
山东,2025,综合,普通类一段,441,670.0,670,83,890,808-890
山东,2025,综合,普通类一段,441,669.0,669,85,975,891-975
山东,2025,综合,普通类一段,441,668.0,668,79,1054,976-1054
山东,2025,综合,普通类一段,441,667.0,667,96,1150,1055-1150
山东,2025,综合,普通类一段,441,666.0,666,112,1262,1151-1262
山东,2025,综合,普通类一段,441,665.0,665,99,1361,1263-1361
山东,2025,综合,普通类一段,441,664.0,664,124,1485,1362-1485
山东,2025,综合,普通类一段,441,663.0,663,108,1593,1486-1593
山东,2025,综合,普通类一段,441,662.0,662,127,1720,1594-1720
山东,2025,综合,普通类一段,441,661.0,661,122,1842,1721-1842
山东,2025,综合,普通类一段,441,660.0,660,123,1965,1843-1965
山东,2025,综合,普通类一段,441,659.0,659,133,2098,1966-2098
山东,2025,综合,普通类一段,441,658.0,658,138,2236,2099-2236
山东,2025,综合,普通类一段,441,657.0,657,150,2386,2237-2386
山东,2025,综合,普通类一段,441,656.0,656,154,2540,2387-2540
山东,2025,综合,普通类一段,441,655.0,655,169,2709,2541-2709
山东,2025,综合,普通类一段,441,654.0,654,175,2884,2710-2884
山东,2025,综合,普通类一段,441,653.0,653,164,3048,2885-3048
山东,2025,综合,普通类一段,441,652.0,652,171,3219,3049-3219
