province,year,batch,category,university_code,university_name,major_group,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
上海,2025,本科普通批,综合,541,安徽财经大学,54101,01,3,会计学,,不限科目,4,4.0,5635.0
上海,2025,本科普通批,综合,541,安徽财经大学,54101,01,2,经济与贸易类,含国际经济与贸易、贸易经济专业,不限科目,4,4.0,5635.0
上海,2025,本科普通批,综合,541,安徽财经大学,54101,01,1,金融学,,不限科目,4,4.0,5635.0
上海,2025,本科普通批,综合,541,安徽财经大学,54101,01,4,供应链管理,,不限科目,3,4.0,4900.0
上海,2025,本科普通批,综合,533,安徽大学,53302,02,5,应用统计学(中外合作办学),,物理和化学,4,4.0,50000.0
上海,2025,本科普通批,综合,533,安徽大学,53301,01,2,德语,,不限科目,2,4.0,5000.0
上海,2025,本科普通批,综合,533,安徽大学,53301,01,3,法语,,不限科目,3,4.0,5000.0
上海,2025,本科普通批,综合,533,安徽大学,53302,02,4,应用物理学(中外合作办学),,物理和化学,4,4.0,50000.0
上海,2025,本科普通批,综合,533,安徽大学,53301,01,1,国际经济与贸易,,不限科目,3,4.0,5000.0
上海,2025,本科普通批,综合,533,安徽大学,53302,02,6,数字媒体技术(中外合作办学),,物理和化学,4,4.0,50000.0
上海,2025,本科普通批,综合,548,安徽工程大学,54801,01,1,金融工程,,物理,3,4.0,5635.0
上海,2025,本科普通批,综合,548,安徽工程大学,54802,02,3,材料成型及控制工程,,物理和化学,1,4.0,5980.0
上海,2025,本科普通批,综合,548,安徽工程大学,54801,01,2,大数据管理与应用,单色识别不全者不取,物理,1,4.0,4900.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,9,冶金工程,,物理和化学,3,4.0,5720.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,8,材料科学与工程,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,534,安徽工业大学,53401,01,3,国际经济与贸易,,不限科目,3,4.0,4900.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,15,给排水科学与工程,,物理和化学,2,4.0,5720.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,17,化学工程与工艺,,物理和化学,3,4.0,5720.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,7,新能源汽车工程,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,534,安徽工业大学,53401,01,1,经济学,,不限科目,3,4.0,4900.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,16,智能建造,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,534,安徽工业大学,53401,01,2,金融学,,不限科目,3,4.0,4900.0
上海,2025,本科普通批,综合,534,安徽工业大学,53401,01,5,英语,,不限科目,4,4.0,4900.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,13,数据科学与大数据技术,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,11,计算机科学与技术,,物理和化学,2,4.0,5720.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,12,软件工程,,物理和化学,2,4.0,5720.0
上海,2025,本科普通批,综合,534,安徽工业大学,53401,01,6,会计学,,不限科目,2,4.0,5390.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,14,建筑环境与能源应用工程,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,534,安徽工业大学,53401,01,4,法学,,不限科目,1,4.0,4900.0
上海,2025,本科普通批,综合,534,安徽工业大学,53402,02,10,人工智能,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54301,01,2,人力资源管理,,不限科目,1,4.0,5635.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54301,01,1,英语,,不限科目,5,4.0,5390.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54302,02,10,工程造价,,物理,2,4.0,4900.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54302,02,7,建筑学,,物理,2,5.0,5980.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54301,01,3,劳动与社会保障,,不限科目,1,4.0,4900.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54302,02,9,风景园林,,物理,2,4.0,5200.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54303,03,13,高分子材料与工程,,物理和化学,2,4.0,5980.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54304,04,14,地理信息科学,,地理和物理,3,4.0,5720.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54303,03,11,应用化学,,物理和化学,2,4.0,5980.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54302,02,6,金融工程,,物理,1,4.0,4900.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54301,01,4,土地资源管理,,不限科目,1,4.0,4900.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54301,01,5,城市管理,,不限科目,1,4.0,4900.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54302,02,8,城乡规划,,物理,1,5.0,5980.0
上海,2025,本科普通批,综合,543,安徽建筑大学,54303,03,12,无机非金属材料工程,,物理和化学,2,4.0,5980.0
上海,2025,本科普通批,综合,544,安徽科技学院,54403,03,5,动物科学,,物理和化学,2,4.0,4900.0
上海,2025,本科普通批,综合,544,安徽科技学院,54401,01,2,质量管理工程,,物理,2,4.0,4600.0
上海,2025,本科普通批,综合,544,安徽科技学院,54401,01,1,物流管理,,物理,2,4.0,4600.0
上海,2025,本科普通批,综合,544,安徽科技学院,54402,02,4,城乡规划,,地理,2,5.0,4900.0
上海,2025,本科普通批,综合,544,安徽科技学院,54403,03,6,中药学,,物理和化学,2,4.0,5720.0
上海,2025,本科普通批,综合,544,安徽科技学院,54402,02,3,建筑学,,地理,1,5.0,4900.0
上海,2025,本科普通批,综合,535,安徽理工大学,53501,01,3,网络与新媒体,,不限科目,6,4.0,4900.0
上海,2025,本科普通批,综合,535,安徽理工大学,53502,02,5,电子商务,,物理,6,4.0,4900.0
上海,2025,本科普通批,综合,535,安徽理工大学,53501,01,4,会计学,,不限科目,4,4.0,4900.0
上海,2025,本科普通批,综合,535,安徽理工大学,53501,01,1,金融学,,不限科目,2,4.0,4900.0
上海,2025,本科普通批,综合,535,安徽理工大学,53501,01,2,英语,,不限科目,6,4.0,4900.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,13,食品卫生与营养学,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,11,动物科学,,物理和化学,2,4.0,5980.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,6,园艺,,物理和化学,4,4.0,5980.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,2,生物科学,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,3,生物技术,,物理和化学,2,4.0,5980.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,12,林学,,物理和化学,2,4.0,5980.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,8,茶学,,物理和化学,2,4.0,5980.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,5,农学,,物理和化学,3,4.0,5980.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,10,生物育种科学,,物理和化学,3,4.0,5200.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,7,植物保护,,物理和化学,2,4.0,5980.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,9,智慧农业,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,536,安徽农业大学,53601,01,1,经济学,,不限科目,2,4.0,4900.0
上海,2025,本科普通批,综合,536,安徽农业大学,53602,02,4,环境科学,,物理和化学,2,4.0,5980.0
上海,2025,本科普通批,综合,538,安徽师范大学,53801,01,5,汉语言文学,师范类,不限科目,2,4.0,5390.0
上海,2025,本科普通批,综合,538,安徽师范大学,53801,01,8,会计学,,不限科目,2,4.0,4900.0
上海,2025,本科普通批,综合,538,安徽师范大学,53803,03,12,生物技术,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,538,安徽师范大学,53801,01,3,社会学,,不限科目,2,4.0,4900.0
上海,2025,本科普通批,综合,538,安徽师范大学,53801,01,9,财务管理,,不限科目,2,4.0,5390.0
上海,2025,本科普通批,综合,538,安徽师范大学,53801,01,1,经济学,,不限科目,2,4.0,5390.0
上海,2025,本科普通批,综合,538,安徽师范大学,53803,03,14,电子信息工程,,物理和化学,2,4.0,5720.0
上海,2025,本科普通批,综合,538,安徽师范大学,53801,01,6,汉语国际教育,,不限科目,2,4.0,4900.0
上海,2025,本科普通批,综合,538,安徽师范大学,53801,01,2,法学,,不限科目,2,4.0,5390.0
上海,2025,本科普通批,综合,538,安徽师范大学,53801,01,7,新闻学,,不限科目,2,4.0,5390.0
上海,2025,本科普通批,综合,538,安徽师范大学,53803,03,13,高分子材料与工程,,物理和化学,2,4.0,5200.0
上海,2025,本科普通批,综合,538,安徽师范大学,53803,03,15,计算机科学与技术,,物理和化学,2,4.0,5720.0
上海,2025,本科普通批,综合,538,安徽师范大学,53801,01,10,供应链管理,,不限科目,2,4.0,4900.0
上海,2025,本科普通批,综合,538,安徽师范大学,53801,01,4,学前教育,师范类,不限科目,2,4.0,5390.0
上海,2025,本科普通批,综合,538,安徽师范大学,53802,02,11,金融工程,,物理,2,4.0,4900.0
上海,2025,本科普通批,综合,537,安徽医科大学,53701,01,1,运动康复,,不限科目,1,4.0,5200.0
上海,2025,本科普通批,综合,537,安徽医科大学,53702,02,4,临床医学,,物理和化学,3,5.0,6050.0
上海,2025,本科普通批,综合,537,安徽医科大学,53701,01,3,养老服务管理,,不限科目,1,4.0,4900.0
上海,2025,本科普通批,综合,537,安徽医科大学,53701,01,2,应用心理学,无色盲、色弱,不限科目,1,4.0,5200.0
上海,2025,本科普通批,综合,546,安徽医科大学临床医学院,54601,01,1,临床医学,,物理和化学,10,5.0,17280.0
上海,2025,本科普通批,综合,547,安徽中医药大学,54701,01,2,针灸推拿学,,不限科目,1,5.0,6325.0
上海,2025,本科普通批,综合,547,安徽中医药大学,54701,01,1,中医学,,不限科目,1,5.0,6325.0
上海,2025,本科普通批,综合,697,安阳工学院,69702,02,3,新能源材料与器件,,物理和化学,2,4.0,5000.0
