province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
上海,2025,综合,本科批,402,623.0,623-660,52,52,1-52
上海,2025,综合,本科批,402,622.0,622,12,64,53-64
上海,2025,综合,本科批,402,621.0,621,11,75,65-75
上海,2025,综合,本科批,402,620.0,620,20,95,76-95
上海,2025,综合,本科批,402,619.0,619,24,119,96-119
上海,2025,综合,本科批,402,618.0,618,18,137,120-137
上海,2025,综合,本科批,402,617.0,617,34,171,138-171
上海,2025,综合,本科批,402,616.0,616,32,203,172-203
上海,2025,综合,本科批,402,615.0,615,33,236,204-236
上海,2025,综合,本科批,402,614.0,614,36,272,237-272
上海,2025,综合,本科批,402,613.0,613,50,322,273-322
上海,2025,综合,本科批,402,612.0,612,43,365,323-365
上海,2025,综合,本科批,402,611.0,611,34,399,366-399
上海,2025,综合,本科批,402,610.0,610,61,460,400-460
上海,2025,综合,本科批,402,609.0,609,77,537,461-537
上海,2025,综合,本科批,402,608.0,608,63,600,538-600
上海,2025,综合,本科批,402,607.0,607,56,656,601-656
上海,2025,综合,本科批,402,606.0,606,70,726,657-726
上海,2025,综合,本科批,402,605.0,605,63,789,727-789
上海,2025,综合,本科批,402,604.0,604,89,878,790-878
上海,2025,综合,本科批,402,603.0,603,74,952,879-952
上海,2025,综合,本科批,402,602.0,602,96,1048,953-1048
上海,2025,综合,本科批,402,601.0,601,98,1146,1049-1146
上海,2025,综合,本科批,402,600.0,600,104,1250,1147-1250
上海,2025,综合,本科批,402,599.0,599,96,1346,1251-1346
上海,2025,综合,本科批,402,598.0,598,119,1465,1347-1465
上海,2025,综合,本科批,402,597.0,597,101,1566,1466-1566
上海,2025,综合,本科批,402,596.0,596,105,1671,1567-1671
上海,2025,综合,本科批,402,595.0,595,124,1795,1672-1795
上海,2025,综合,本科批,402,594.0,594,144,1939,1796-1939
上海,2025,综合,本科批,402,593.0,593,154,2093,1940-2093
上海,2025,综合,本科批,402,592.0,592,144,2237,2094-2237
上海,2025,综合,本科批,402,591.0,591,134,2371,2238-2371
上海,2025,综合,本科批,402,590.0,590,132,2503,2372-2503
上海,2025,综合,本科批,402,589.0,589,138,2641,2504-2641
上海,2025,综合,本科批,402,588.0,588,148,2789,2642-2789
上海,2025,综合,本科批,402,587.0,587,157,2946,2790-2946
上海,2025,综合,本科批,402,586.0,586,132,3078,2947-3078
上海,2025,综合,本科批,402,585.0,585,153,3231,3079-3231
上海,2025,综合,本科批,402,584.0,584,165,3396,3232-3396
上海,2025,综合,本科批,402,583.0,583,171,3567,3397-3567
上海,2025,综合,本科批,402,582.0,582,190,3757,3568-3757
上海,2025,综合,本科批,402,581.0,581,177,3934,3758-3934
上海,2025,综合,本科批,402,580.0,580,162,4096,3935-4096
上海,2025,综合,本科批,402,579.0,579,189,4285,4097-4285
上海,2025,综合,本科批,402,578.0,578,182,4467,4286-4467
上海,2025,综合,本科批,402,577.0,577,182,4649,4468-4649
上海,2025,综合,本科批,402,576.0,576,174,4823,4650-4823
上海,2025,综合,本科批,402,575.0,575,193,5016,4824-5016
上海,2025,综合,本科批,402,574.0,574,198,5214,5017-5214
上海,2025,综合,本科批,402,573.0,573,196,5410,5215-5410
上海,2025,综合,本科批,402,572.0,572,200,5610,5411-5610
上海,2025,综合,本科批,402,571.0,571,205,5815,5611-5815
上海,2025,综合,本科批,402,570.0,570,189,6004,5816-6004
上海,2025,综合,本科批,402,569.0,569,178,6182,6005-6182
上海,2025,综合,本科批,402,568.0,568,197,6379,6183-6379
上海,2025,综合,本科批,402,567.0,567,223,6602,6380-6602
上海,2025,综合,本科批,402,566.0,566,212,6814,6603-6814
上海,2025,综合,本科批,402,565.0,565,226,7040,6815-7040
上海,2025,综合,本科批,402,564.0,564,217,7257,7041-7257
上海,2025,综合,本科批,402,563.0,563,190,7447,7258-7447
上海,2025,综合,本科批,402,562.0,562,216,7663,7448-7663
上海,2025,综合,本科批,402,561.0,561,228,7891,7664-7891
上海,2025,综合,本科批,402,560.0,560,226,8117,7892-8117
上海,2025,综合,本科批,402,559.0,559,219,8336,8118-8336
上海,2025,综合,本科批,402,558.0,558,243,8579,8337-8579
上海,2025,综合,本科批,402,557.0,557,245,8824,8580-8824
上海,2025,综合,本科批,402,556.0,556,215,9039,8825-9039
上海,2025,综合,本科批,402,555.0,555,263,9302,9040-9302
上海,2025,综合,本科批,402,554.0,554,248,9550,9303-9550
上海,2025,综合,本科批,402,553.0,553,229,9779,9551-9779
上海,2025,综合,本科批,402,552.0,552,223,10002,9780-10002
上海,2025,综合,本科批,402,551.0,551,252,10254,10003-10254
上海,2025,综合,本科批,402,550.0,550,252,10506,10255-10506
上海,2025,综合,本科批,402,549.0,549,255,10761,10507-10761
上海,2025,综合,本科批,402,548.0,548,280,11041,10762-11041
上海,2025,综合,本科批,402,547.0,547,242,11283,11042-11283
上海,2025,综合,本科批,402,546.0,546,242,11525,11284-11525
上海,2025,综合,本科批,402,545.0,545,252,11777,11526-11777
上海,2025,综合,本科批,402,544.0,544,243,12020,11778-12020
上海,2025,综合,本科批,402,543.0,543,271,12291,12021-12291
上海,2025,综合,本科批,402,542.0,542,241,12532,12292-12532
上海,2025,综合,本科批,402,541.0,541,264,12796,12533-12796
上海,2025,综合,本科批,402,540.0,540,253,13049,12797-13049
上海,2025,综合,本科批,402,539.0,539,273,13322,13050-13322
上海,2025,综合,本科批,402,538.0,538,293,13615,13323-13615
上海,2025,综合,本科批,402,537.0,537,261,13876,13616-13876
上海,2025,综合,本科批,402,536.0,536,252,14128,13877-14128
上海,2025,综合,本科批,402,535.0,535,286,14414,14129-14414
上海,2025,综合,本科批,402,534.0,534,282,14696,14415-14696
上海,2025,综合,本科批,402,533.0,533,282,14978,14697-14978
上海,2025,综合,本科批,402,532.0,532,258,15236,14979-15236
