province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
四川,2025,本科,物理类,1,北京大学,102,32,工科试验班类（包含专业：理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程）,,化,1,5000,
四川,2025,本科,物理类,1,北京大学,102,41,环境科学（环境、健康、生态、地理与资源环境）,,化,1,5000,
四川,2025,本科,物理类,1,北京大学,102,47,文物保护技术（文保）,,化,1,5000,
四川,2025,本科,物理类,1,北京大学,101,42,城乡规划,,不限,1,5000,
四川,2025,本科,物理类,1,北京大学,101,43,心理学类（包含专业：应用心理学）,,不限,1,5000,
四川,2025,本科,物理类,1,北京大学,101,52,公共管理类（包含专业：城市管理、行政管理）,,不限,1,5000,
四川,2025,本科,物理类,1,北京大学,101,31,数学类（包含专业：数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融））,,化,1,5000,
四川,2025,本科,物理类,1,北京大学,101,32,工科试验班类（包含专业：理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程）,,化,2,5000,
四川,2025,本科,物理类,1,北京大学,101,33,物理学类（包含专业：物理学、大气科学（大气与海洋））,,化,1,5000,
四川,2025,本科,物理类,1,北京大学,101,34,天文学（天体物理、天文高新技术和应用）,,化,2,5000,
四川,2025,本科,物理类,1,北京大学,101,35,电子信息类（包含专业：电子信息科学与技术、微电子科学与工程）,,化,1,5300,
四川,2025,本科,物理类,1,北京大学,101,36,计算机类（包含专业：计算机科学与技术、智能科学与技术）,,化,1,5300,
四川,2025,本科,物理类,1,北京大学,101,37,化学类（包含专业：化学、应用化学、应用化学（材料方向）、化学生物学）,,化,2,5000,
四川,2025,本科,物理类,1,北京大学,101,38,生物科学类（包含专业：生物科学、生物技术）,,化,1,5300,
四川,2025,本科,物理类,1,北京大学,101,39,地质学类（包含专业：地质学、地球化学）,,化,2,5000,
四川,2025,本科,物理类,1,北京大学,101,40,地球物理学类（包含专业：地球物理学、地理信息科学（遥感与地理信息系统）、空间科学与技术）,,化,2,5000,
四川,2025,本科,物理类,1,北京大学,101,41,环境科学（环境、健康、生态、地理与资源环境）,,化,2,5000,
四川,2025,本科,物理类,1,北京大学,101,44,信息管理与信息系统,,化,2,5000,
四川,2025,本科,物理类,1,北京大学,101,45,理科试验班类（元培）（包含专业：数学类、物理学类、地球物理学类、计算机类、电子信息类）,,化,1,5300,
四川,2025,本科,物理类,1,北京大学,101,47,文物保护技术（文保）,,化,1,5000,
四川,2025,本科,物理类,1,北京大学,101,57,理科试验班类（经济）（包含专业：数学类）,,化,1,5000,
四川,2025,本科,物理类,1,北京大学,101,58,理科试验班类（光华）（包含专业：数学类）,,化,1,5000,
四川,2025,本科,物理类,1,北京大学,101,59,理科试验班类（法学院）（包含专业：数学类）,,化,2,5000,
