province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
四川,2025,历史类,专科批,1356,河北轨道运输职业技术学院,（101）,首选历史，再选不限,434,73412,,,0,河北,公办,0,0
四川,2025,历史类,专科批,1378,河北化工医药职业技术学院,（101）,首选历史，再选不限,392,117382,,,4,河北,公办,0,0
四川,2025,历史类,专科批,1384,河北正定师范高等专科学校,（101）,首选历史，再选不限,344,143780,,,0,河北,公办,0,0
四川,2025,历史类,专科批,1399,唐山幼儿师范高等专科学校,（101）,首选历史，再选不限,368,116097,,,8,河北,公办,0,0
四川,2025,历史类,专科批,1449,忻州职业技术学院,（101）,首选历史，再选不限,403,103198,,,0,山西,公办,0,0
四川,2025,历史类,专科批,1469,临汾职业技术学院,,首选历史，再选不限,389,107301,,,7,山西,公办,0,0
四川,2025,历史类,专科批,1481,太原幼儿师范高等专科学校,（101）,首选历史，再选不限,348,146866,,,5,山西,公办,0,0
四川,2025,历史类,专科批,1493,山西同文职业技术学院,（101）,首选历史，再选不限,342,146866,,,7,山西,民办,0,0
四川,2025,历史类,专科批,1839,石家庄幼儿师范高等专科学校,,首选历史，再选不限,288,125846,,,27,河北,公办,0,0
四川,2025,历史类,专科批,1847,河北软件职业技术学院,（101）,首选历史，再选不限,374,132605,,,0,河北,公办,0,0
四川,2025,历史类,专科批,2155,大连职业技术学院,（101）,首选历史，再选不限,357,139478,,,0,辽宁,公办,0,0
四川,2025,历史类,专科批,2157,辽宁民族师范高等专科学校,,首选历史，再选不限,182,170257,,,0,辽宁,公办,0,0
四川,2025,历史类,专科批,2168,渤海船舶职业学院,（101）,首选历史，再选不限,388,114811,,,0,辽宁,公办,0,0
四川,2025,历史类,专科批,2176,盘锦职业技术学院,（101）,首选历史，再选不限,340,148336,,,0,辽宁,公办,0,0
四川,2025,历史类,专科批,2198,辽宁生态工程职业学院,（101）,首选历史，再选不限,334,133149,,,0,辽宁,公办,0,0
四川,2025,历史类,专科批,2227,长春金融高等专科学校,（101）,首选历史，再选不限,393,103926,,,4,吉林,公办,0,0
四川,2025,历史类,专科批,2284,长春科技学院,（101）,首选历史，再选不限,312,96561,,,0,吉林,民办,0,0
四川,2025,历史类,专科批,2353,黑龙江农垦职业学院,（101）,首选历史，再选不限,331,127021,,,52,黑龙江,公办,0,0
四川,2025,历史类,专科批,2357,黑龙江农业工程职业学院,（101）,首选历史，再选不限,368,56035,,,0,黑龙江,公办,0,0
四川,2025,历史类,专科批,2370,伊春职业学院,（101）,首选历史，再选不限,226,120093,,,27,黑龙江,公办,0,0
四川,2025,历史类,专科批,2393,哈尔滨幼儿师范高等专科学校,（101）,首选历史，再选不限,323,128315,,,0,黑龙江,公办,0,0
四川,2025,历史类,专科批,3119,上海旅游高等专科学校,,首选历史，再选不限,419,58853,,,27,上海,公办,0,0
四川,2025,历史类,专科批,3140,上海杉达学院,（101）,首选历史，再选不限,453,79684,,,0,上海,民办,0,0
四川,2025,历史类,专科批,3153,上海交通职业技术学院,（101）,首选历史，再选不限,447,72715,,,0,上海,公办,0,0
四川,2025,历史类,专科批,3159,上海东海职业技术学院,（101）,首选历史，再选不限,350,145860,,,0,上海,民办,0,0
四川,2025,历史类,专科批,3160,上海工商职业技术学院,（101）,首选历史，再选不限,423,100451,,,0,上海,民办,0,0
四川,2025,历史类,专科批,3164,上海行健职业学院,（101）,首选历史，再选不限,460,72715,,,0,上海,公办,0,0
四川,2025,历史类,专科批,3184,上海农林职业技术学院,（101）,首选历史，再选不限,437,65764,,,0,上海,公办,0,0
四川,2025,历史类,专科批,3236,镇江市高等专科学校,（101）,首选历史，再选不限,381,87206,,,28,江苏,公办,0,0
四川,2025,历史类,专科批,3252,连云港职业技术学院,（101）,首选历史，再选不限,429,96561,,,0,江苏,公办,0,0
四川,2025,历史类,专科批,3265,江苏工程职业技术学院,（101）,首选历史，再选不限,418,88567,,,4,江苏,公办,0,0
四川,2025,历史类,专科批,3274,江苏经贸职业技术学院,（101）,首选历史，再选不限,476,59526,,,5,江苏,公办,0,0
四川,2025,历史类,专科批,3279,常州机电职业技术学院,（101）,首选历史，再选不限,465,53274,,,5,江苏,公办,0,0
四川,2025,历史类,专科批,3280,江苏电子信息职业学院,（101）,首选历史，再选不限,414,106615,,,0,江苏,公办,0,0
四川,2025,历史类,专科批,3283,徐州幼儿师范高等专科学校,（101）,首选历史，再选不限,324,157425,,,0,江苏,公办,0,0
四川,2025,历史类,专科批,3342,温州商学院,（101）,首选历史，再选不限,327,78223,,,3,浙江,民办,0,0
四川,2025,历史类,专科批,3344,台州科技职业学院,（101）,首选历史，再选不限,414,80365,,,0,浙江,公办,0,0
四川,2025,历史类,专科批,3346,浙江邮电职业技术学院,（101）,首选历史，再选不限,460,67861,,,4,浙江,公办,0,0
四川,2025,历史类,专科批,3352,浙江交通职业技术学院,（101）,首选历史，再选不限,468,65102,,,0,浙江,公办,0,0
四川,2025,历史类,专科批,3359,浙江商业职业技术学院,（101）,首选历史，再选不限,463,50651,,,7,浙江,公办,0,0
四川,2025,历史类,专科批,3368,杭州科技职业技术学院,（101）,首选历史，再选不限,456,74131,,,5,浙江,公办,0,0
四川,2025,历史类,专科批,3369,浙江机电职业技术大学,（101）,首选历史，再选不限,470,65764,,,0,浙江,公办,0,0
四川,2025,历史类,专科批,3370,义乌工商职业技术学院,（101）,首选历史，再选不限,440,83794,,,0,浙江,公办,0,0
