province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
四川,2025,物理类,本科批,438,692.0,692-750,60,60,1-60
四川,2025,物理类,本科批,438,691.0,691,8,68,61-68
四川,2025,物理类,本科批,438,690.0,690,12,80,69-80
四川,2025,物理类,本科批,438,689.0,689,8,88,81-88
四川,2025,物理类,本科批,438,688.0,688,9,97,89-97
四川,2025,物理类,本科批,438,687.0,687,12,109,98-109
四川,2025,物理类,本科批,438,686.0,686,12,121,110-121
四川,2025,物理类,本科批,438,685.0,685,24,145,122-145
四川,2025,物理类,本科批,438,684.0,684,19,164,146-164
四川,2025,物理类,本科批,438,683.0,683,22,186,165-186
四川,2025,物理类,本科批,438,682.0,682,26,212,187-212
四川,2025,物理类,本科批,438,681.0,681,24,236,213-236
四川,2025,物理类,本科批,438,680.0,680,31,267,237-267
四川,2025,物理类,本科批,438,679.0,679,39,306,268-306
四川,2025,物理类,本科批,438,678.0,678,49,355,307-355
四川,2025,物理类,本科批,438,677.0,677,36,391,356-391
四川,2025,物理类,本科批,438,676.0,676,45,436,392-436
四川,2025,物理类,本科批,438,675.0,675,53,489,437-489
四川,2025,物理类,本科批,438,674.0,674,65,554,490-554
四川,2025,物理类,本科批,438,673.0,673,69,623,555-623
四川,2025,物理类,本科批,438,672.0,672,67,690,624-690
四川,2025,物理类,本科批,438,671.0,671,57,747,691-747
四川,2025,物理类,本科批,438,670.0,670,77,824,748-824
四川,2025,物理类,本科批,438,669.0,669,82,906,825-906
四川,2025,物理类,本科批,438,668.0,668,88,994,907-994
四川,2025,物理类,本科批,438,667.0,667,89,1083,995-1083
四川,2025,物理类,本科批,438,666.0,666,79,1162,1084-1162
四川,2025,物理类,本科批,438,665.0,665,114,1276,1163-1276
四川,2025,物理类,本科批,438,664.0,664,107,1383,1277-1383
四川,2025,物理类,本科批,438,663.0,663,117,1500,1384-1500
四川,2025,物理类,本科批,438,662.0,662,122,1622,1501-1622
四川,2025,物理类,本科批,438,661.0,661,87,1709,1623-1709
四川,2025,物理类,本科批,438,660.0,660,125,1834,1710-1834
四川,2025,物理类,本科批,438,659.0,659,138,1972,1835-1972
四川,2025,物理类,本科批,438,658.0,658,146,2118,1973-2118
四川,2025,物理类,本科批,438,657.0,657,121,2239,2119-2239
四川,2025,物理类,本科批,438,656.0,656,146,2385,2240-2385
四川,2025,物理类,本科批,438,655.0,655,137,2522,2386-2522
四川,2025,物理类,本科批,438,654.0,654,159,2681,2523-2681
四川,2025,物理类,本科批,438,653.0,653,170,2851,2682-2851
四川,2025,物理类,本科批,438,652.0,652,173,3024,2852-3024
四川,2025,物理类,本科批,438,651.0,651,188,3212,3025-3212
四川,2025,物理类,本科批,438,650.0,650,201,3413,3213-3413
四川,2025,物理类,本科批,438,649.0,649,223,3636,3414-3636
四川,2025,物理类,本科批,438,648.0,648,231,3867,3637-3867
四川,2025,物理类,本科批,438,647.0,647,235,4102,3868-4102
四川,2025,物理类,本科批,438,646.0,646,204,4306,4103-4306
四川,2025,物理类,本科批,438,645.0,645,221,4527,4307-4527
四川,2025,物理类,本科批,438,644.0,644,218,4745,4528-4745
四川,2025,物理类,本科批,438,643.0,643,234,4979,4746-4979
四川,2025,物理类,本科批,438,642.0,642,291,5270,4980-5270
四川,2025,物理类,本科批,438,641.0,641,261,5531,5271-5531
四川,2025,物理类,本科批,438,640.0,640,265,5796,5532-5796
四川,2025,物理类,本科批,438,639.0,639,287,6083,5797-6083
四川,2025,物理类,本科批,438,638.0,638,315,6398,6084-6398
四川,2025,物理类,本科批,438,637.0,637,290,6688,6399-6688
四川,2025,物理类,本科批,438,636.0,636,304,6992,6689-6992
四川,2025,物理类,本科批,438,635.0,635,281,7273,6993-7273
四川,2025,物理类,本科批,438,634.0,634,347,7620,7274-7620
四川,2025,物理类,本科批,438,633.0,633,303,7923,7621-7923
四川,2025,物理类,本科批,438,632.0,632,349,8272,7924-8272
四川,2025,物理类,本科批,438,631.0,631,311,8583,8273-8583
四川,2025,物理类,本科批,438,630.0,630,378,8961,8584-8961
四川,2025,物理类,本科批,438,629.0,629,378,9339,8962-9339
四川,2025,物理类,本科批,438,628.0,628,365,9704,9340-9704
四川,2025,物理类,本科批,438,627.0,627,397,10101,9705-10101
四川,2025,物理类,本科批,438,626.0,626,385,10486,10102-10486
四川,2025,物理类,本科批,438,625.0,625,412,10898,10487-10898
四川,2025,物理类,本科批,438,624.0,624,406,11304,10899-11304
四川,2025,物理类,本科批,438,623.0,623,412,11716,11305-11716
四川,2025,物理类,本科批,438,622.0,622,380,12096,11717-12096
四川,2025,物理类,本科批,438,621.0,621,462,12558,12097-12558
四川,2025,物理类,本科批,438,620.0,620,421,12979,12559-12979
四川,2025,物理类,本科批,438,619.0,619,441,13420,12980-13420
四川,2025,物理类,本科批,438,618.0,618,394,13814,13421-13814
四川,2025,物理类,本科批,438,617.0,617,478,14292,13815-14292
四川,2025,物理类,本科批,438,616.0,616,469,14761,14293-14761
四川,2025,物理类,本科批,438,615.0,615,478,15239,14762-15239
四川,2025,物理类,本科批,438,614.0,614,500,15739,15240-15739
四川,2025,物理类,本科批,438,613.0,613,473,16212,15740-16212
四川,2025,物理类,本科批,438,612.0,612,468,16680,16213-16680
四川,2025,物理类,本科批,438,611.0,611,559,17239,16681-17239
四川,2025,物理类,本科批,438,610.0,610,535,17774,17240-17774
四川,2025,物理类,本科批,438,609.0,609,486,18260,17775-18260
四川,2025,物理类,本科批,438,608.0,608,544,18804,18261-18804
四川,2025,物理类,本科批,438,607.0,607,559,19363,18805-19363
四川,2025,物理类,本科批,438,606.0,606,536,19899,19364-19899
四川,2025,物理类,本科批,438,605.0,605,585,20484,19900-20484
四川,2025,物理类,本科批,438,604.0,604,574,21058,20485-21058
四川,2025,物理类,本科批,438,603.0,603,604,21662,21059-21662
四川,2025,物理类,本科批,438,602.0,602,573,22235,21663-22235
四川,2025,物理类,本科批,438,601.0,601,589,22824,22236-22824
四川,2025,物理类,本科批,438,600.0,600,637,23461,22825-23461
四川,2025,物理类,本科批,438,599.0,599,622,24083,23462-24083
四川,2025,物理类,本科批,438,598.0,598,661,24744,24084-24744
四川,2025,物理类,本科批,438,597.0,597,625,25369,24745-25369
四川,2025,物理类,本科批,438,596.0,596,596,25965,25370-25965
四川,2025,物理类,本科批,438,595.0,595,672,26637,25966-26637
四川,2025,物理类,本科批,438,594.0,594,678,27315,26638-27315
四川,2025,物理类,本科批,438,593.0,593,681,27996,27316-27996
四川,2025,物理类,本科批,438,592.0,592,724,28720,27997-28720
四川,2025,物理类,本科批,438,591.0,591,695,29415,28721-29415
四川,2025,物理类,本科批,438,590.0,590,692,30107,29416-30107
四川,2025,物理类,本科批,438,589.0,589,711,30818,30108-30818
四川,2025,物理类,本科批,438,588.0,588,723,31541,30819-31541
四川,2025,物理类,本科批,438,587.0,587,733,32274,31542-32274
