province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,14,信息资源管理,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161802,15,国际政治,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161802,16,政治学、经济学与哲学,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161805,17,理科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161805,18,理科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161805,19,理科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161805,20,理科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161805,21,统计学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161805,22,人工智能,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161805,23,计算机类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95804,3,文科试验班类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95804,4,法学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95804,5,文科试验班类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95804,6,文科试验班类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95804,7,文科试验班类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,24,理科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,8,理科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,9,自动化类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,10,计算机类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,11,电子信息类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,12,工科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,13,工科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,14,工科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,15,工科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,16,临床医学类,,,,八年医,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,17,临床医学类,,,,八年医,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,25,工科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,18,理科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,19,工科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,20,工科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,21,工科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,22,工科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,清华大学,95805,23,理科试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7411,12,法学,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7411,11,文科试验班类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7401,1,理科试验班类,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7402,2,理科试验班类,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7403,3,电子信息类,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7403,4,计算机类,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7403,5,交通运输类,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,19,中国语言文学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,20,文科试验班类,,,,四年,5300.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,21,历史学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,22,哲学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,23,社会学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,24,法学,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,25,新闻传播学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,26,英语,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,27,文科试验班类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,28,图书馆学,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,29,城乡规划,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,30,人文科学试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,31,公共管理类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,32,工商管理类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,33,经济学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5603,34,心理学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,5,工科试验班类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,6,地质学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,7,天文学,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,8,电子信息类,,,,四年,5300.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,9,物理学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,10,地球物理学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,11,数学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,12,生物科学类,,,,四年,5300.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,13,化学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,14,计算机类,,,,四年,5300.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,15,理科试验班类,,,,四年,5300.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,16,信息管理与信息系统,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,17,环境科学,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京大学,5602,18,文物保护技术,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,4,法学,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,5,法学,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,6,新闻传播学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,7,人文科学试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,8,金融学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,9,经济学类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,10,人力资源管理,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,11,资源与环境经济学,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,12,工商管理类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,中国人民大学,161801,13,公共管理类,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7403,6,理科试验班,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7407,8,交通运输(中外合作办学),,,,四年,80000.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7408,9,机械电子工程(中外合作办学),,,,四年,80000.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7409,10,纳米材料与技术(中外合作办学),,,,四年,80000.0
天津,2025,普通类本科批A阶段,<NA>,,北京交通大学,7403,7,自动化类,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京工业大学,6601,1,计算机科学与技术,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京工业大学,6601,2,人工智能,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京工业大学,6601,3,电子信息工程,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京工业大学,6601,4,统计学,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京工业大学,6602,5,物联网工程(中外合作办学),,,,四年,95000.0
天津,2025,普通类本科批A阶段,<NA>,,北京工业大学,6602,6,软件工程(中外合作办学),,,,四年,95000.0
天津,2025,普通类本科批A阶段,<NA>,,北京工业大学,6602,7,电子信息工程(中外合作办学),,,,四年,95000.0
天津,2025,普通类本科批A阶段,<NA>,,北京航空航天大学,6902,13,社会科学试验班,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京航空航天大学,6902,12,社会科学试验班,,,,四年,5000.0
天津,2025,普通类本科批A阶段,<NA>,,北京航空航天大学,6901,7,工科试验班类,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京航空航天大学,6901,8,工科试验班类,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京航空航天大学,6901,9,工科试验班类,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京航空航天大学,6901,10,工科试验班类,,,,四年,5500.0
天津,2025,普通类本科批A阶段,<NA>,,北京航空航天大学,6904,15,工科试验班类,,,,四年,50000.0
天津,2025,普通类本科批A阶段,<NA>,,北京航空航天大学,6901,11,工科试验班类,,,,四年,5500.0
