province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
天津,2025,综合,专科批,1126,石家庄幼儿师范高等专科学校,,不限,164,19667,,,25,河北,公办,0,0
天津,2025,综合,专科批,1205,唐山幼儿师范高等专科学校,,不限,178,20343,,,74,河北,公办,0,0
天津,2025,综合,专科批,1385,西安明德理工学院,,不限,213,17525,,,0,陕西,民办,0,0
天津,2025,综合,专科批,1552,张家口学院,,不限,264,3489,,,6,河北,公办,0,0
天津,2025,综合,专科批,1615,中国民用航空飞行学院,,不限,288,942,,,6,四川,公办,0,0
天津,2025,综合,专科批,1807,临汾职业技术学院,,不限,240,10983,,,8,山西,公办,0,0
天津,2025,综合,专科批,1811,抚州医药学院,,不限,251,8002,,,0,江西,公办,0,0
天津,2025,综合,专科批,1817,楚雄医药高等专科学校,,不限,212,14320,,,10,云南,公办,0,0
天津,2025,综合,专科批,1821,河北交通职业技术学院,,不限,236,13636,,,0,河北,公办,0,0
天津,2025,综合,专科批,1824,浙江经贸职业技术学院,,不限,259,770,,,5,浙江,公办,0,0
天津,2025,综合,专科批,1831,忻州职业技术学院,,不限,255,8299,,,0,山西,公办,0,0
天津,2025,综合,专科批,1835,黑龙江农业工程职业学院,,不限,248,3488,,,0,黑龙江,公办,0,0
天津,2025,综合,专科批,1913,山东商务职业学院,,不限,215,15575,,,25,山东,公办,0,0
天津,2025,综合,专科批,1914,西藏职业技术学院,,不限,161,21776,,,10,西藏,公办,0,0
天津,2025,综合,专科批,444,河北轨道运输职业技术学院,,不限,261,3991,,,0,河北,公办,0,0
天津,2025,综合,专科批,5010,长春汽车职业技术大学,,不限,324,32,,,30,吉林,公办,0,0
天津,2025,综合,专科批,5013,长春职业技术大学,,不限,200,18606,,,0,吉林,公办,0,0
天津,2025,综合,专科批,675,江西航空职业技术学院,,不限,221,8299,,,25,江西,民办,0,0
天津,2025,综合,专科批,688,江西应用技术职业学院,,不限,205,11556,,,2,江西,公办,0,0
天津,2025,综合,本科批A段,100,北京邮电大学,（03）,历史必选,634,4928,,,12,北京,公办,0,1
天津,2025,综合,本科批A段,100,北京邮电大学,,物理、化学(2科必选),631,861,,,112,北京,公办,0,1
天津,2025,综合,本科批A段,1001,山东理工大学,（02）,不限,557,21754,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1001,山东理工大学,（01）,物理、化学(2科必选),551,16053,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1001,山东理工大学,（03）,物理必选,552,24465,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1004,山东农业大学,（02）,不限,533,30029,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1004,山东农业大学,（01）,物理、化学(2科必选),523,29432,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1004,山东农业大学,（03）,物理必选,539,28865,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1008,山东师范大学,,不限,550,20413,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1008,山东师范大学,（02）,物理、化学(2科必选),570,16053,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1008,山东师范大学,（03）,物理必选,555,24465,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1017,山东政法学院,（01）,不限,555,12510,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1026,山西工程技术学院,（03）,不限,522,33220,,,0,山西,公办,0,0
天津,2025,综合,本科批A段,1026,山西工程技术学院,（04）,地理必选,523,33509,,,0,山西,公办,0,0
天津,2025,综合,本科批A段,1026,山西工程技术学院,（01）,物理、化学(2科必选),509,33509,,,0,山西,公办,0,0
天津,2025,综合,本科批A段,1026,山西工程技术学院,（02）,物理必选,509,37310,,,0,山西,公办,0,0
天津,2025,综合,本科批A段,1031,山西农业大学,（01）,不限,520,32629,,,0,山西,公办,0,0
天津,2025,综合,本科批A段,1031,山西农业大学,（07）,化学、生物(2科必选),518,34912,,,0,山西,公办,0,0
天津,2025,综合,本科批A段,1031,山西农业大学,（02）,历史、思想政治(2科必选),525,30928,,,0,山西,公办,0,0
天津,2025,综合,本科批A段,1031,山西农业大学,（06）,物、化、生(3科必选),508,31231,,,0,山西,公办,0,0
天津,2025,综合,本科批A段,1031,山西农业大学,（05）,物理、化学(2科必选),510,30332,,,0,山西,公办,0,0
天津,2025,综合,本科批A段,1033,山西师范大学,（01）,不限,534,27778,,,5,山西,公办,0,0
天津,2025,综合,本科批A段,1033,山西师范大学,（03）,地理必选,545,23920,,,7,山西,公办,0,0
天津,2025,综合,本科批A段,1033,山西师范大学,（02）,思想政治必选,596,13904,,,1,山西,公办,0,0
天津,2025,综合,本科批A段,1033,山西师范大学,（04）,物理、化学(2科必选),521,31231,,,8,山西,公办,0,0
天津,2025,综合,本科批A段,1035,山西医科大学,（06）,不限,531,28355,,,11,山西,公办,0,0
天津,2025,综合,本科批A段,1035,山西医科大学,,物、化、生(3科必选),561,7531,,,26,山西,公办,0,0
天津,2025,综合,本科批A段,1035,山西医科大学,（03）,物理、化学(2科必选),530,27231,,,34,山西,公办,0,0
天津,2025,综合,本科批A段,1035,山西医科大学,（04）,物理必选,546,26966,,,3,山西,公办,0,0
天津,2025,综合,本科批A段,1035,山西医科大学,（05）,生物必选,552,24465,,,6,山西,公办,0,0
天津,2025,综合,本科批A段,104,北京中医药大学,（02）,不限,622,4611,,,0,北京,公办,0,1
天津,2025,综合,本科批A段,104,北京中医药大学,（01）,物理、化学(2科必选),628,2251,,,0,北京,公办,0,1
天津,2025,综合,本科批A段,1044,陕西理工大学,（01）,不限,523,30029,,,0,陕西,公办,0,0
天津,2025,综合,本科批A段,1044,陕西理工大学,（02）,地理必选,544,27532,,,0,陕西,公办,0,0
天津,2025,综合,本科批A段,1044,陕西理工大学,（03）,物理、化学(2科必选),548,26456,,,0,陕西,公办,0,0
天津,2025,综合,本科批A段,1054,上海财经大学,（01）,不限,645,2251,,,0,上海,公办,0,1
天津,2025,综合,本科批A段,1054,上海财经大学,（04）,思想政治必选,645,4135,,,0,上海,公办,0,1
天津,2025,综合,本科批A段,1054,上海财经大学,（03）,物理、化学(2科必选),647,3179,,,0,上海,公办,0,1
天津,2025,综合,本科批A段,1054,上海财经大学,（02）,物理必选,647,2027,,,0,上海,公办,0,1
天津,2025,综合,本科批A段,106,山东航空学院,（03）,不限,541,28355,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,106,山东航空学院,,物理、化学(2科必选),525,28062,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1062,上海对外经贸大学,,不限,596,9165,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1068,上海海事大学,（03）,不限,611,9379,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1068,上海海事大学,（02）,物理、化学(2科必选),599,10251,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1069,上海海洋大学,（01）,物理、化学(2科必选),587,10681,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,107,滨州医学院,,物理、化学(2科必选),581,12295,,,0,山东,公办,0,0
天津,2025,综合,本科批A段,1071,上海健康医学院,（01）,化学必选,552,25317,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1071,上海健康医学院,（02）,物理、化学(2科必选),545,27231,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1075,上海理工大学,（02）,不限,604,10891,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1075,上海理工大学,,物理、化学(2科必选),611,8745,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1076,上海立信会计金融学院,（01）,不限,592,14133,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1076,上海立信会计金融学院,（02）,物理必选,587,14616,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1084,上海体育大学,（01）,不限,604,12046,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1084,上海体育大学,,物理、化学(2科必选),596,12965,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1087,上海戏剧学院,（01）,不限,617,5689,,,0,上海,公办,0,0
天津,2025,综合,本科批A段,1091,上海政法学院,（01）,不限,619,6950,,,0,上海,公办,0,0
