province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
天津,2025,综合,本科批,476,680.0,680-750,656,656,1-656
天津,2025,综合,本科批,476,679.0,679,66,722,657-722
天津,2025,综合,本科批,476,678.0,678,67,789,723-789
天津,2025,综合,本科批,476,677.0,677,72,861,790-861
天津,2025,综合,本科批,476,676.0,676,60,921,862-921
天津,2025,综合,本科批,476,675.0,675,47,968,922-968
天津,2025,综合,本科批,476,674.0,674,63,1031,969-1031
天津,2025,综合,本科批,476,673.0,673,61,1092,1032-1092
天津,2025,综合,本科批,476,672.0,672,59,1151,1093-1151
天津,2025,综合,本科批,476,671.0,671,81,1232,1152-1232
天津,2025,综合,本科批,476,670.0,670,69,1301,1233-1301
天津,2025,综合,本科批,476,669.0,669,76,1377,1302-1377
天津,2025,综合,本科批,476,668.0,668,77,1454,1378-1454
天津,2025,综合,本科批,476,667.0,667,94,1548,1455-1548
天津,2025,综合,本科批,476,666.0,666,97,1645,1549-1645
天津,2025,综合,本科批,476,665.0,665,90,1735,1646-1735
天津,2025,综合,本科批,476,664.0,664,93,1828,1736-1828
天津,2025,综合,本科批,476,663.0,663,95,1923,1829-1923
天津,2025,综合,本科批,476,662.0,662,104,2027,1924-2027
天津,2025,综合,本科批,476,661.0,661,110,2137,2028-2137
天津,2025,综合,本科批,476,660.0,660,114,2251,2138-2251
天津,2025,综合,本科批,476,659.0,659,106,2357,2252-2357
天津,2025,综合,本科批,476,658.0,658,106,2463,2358-2463
天津,2025,综合,本科批,476,657.0,657,105,2568,2464-2568
天津,2025,综合,本科批,476,656.0,656,128,2696,2569-2696
天津,2025,综合,本科批,476,655.0,655,88,2784,2697-2784
天津,2025,综合,本科批,476,654.0,654,130,2914,2785-2914
天津,2025,综合,本科批,476,653.0,653,125,3039,2915-3039
天津,2025,综合,本科批,476,652.0,652,140,3179,3040-3179
天津,2025,综合,本科批,476,651.0,651,109,3288,3180-3288
天津,2025,综合,本科批,476,650.0,650,134,3422,3289-3422
天津,2025,综合,本科批,476,649.0,649,139,3561,3423-3561
天津,2025,综合,本科批,476,648.0,648,134,3695,3562-3695
天津,2025,综合,本科批,476,647.0,647,168,3863,3696-3863
天津,2025,综合,本科批,476,646.0,646,132,3995,3864-3995
天津,2025,综合,本科批,476,645.0,645,140,4135,3996-4135
天津,2025,综合,本科批,476,644.0,644,152,4287,4136-4287
天津,2025,综合,本科批,476,643.0,643,164,4451,4288-4451
天津,2025,综合,本科批,476,642.0,642,160,4611,4452-4611
天津,2025,综合,本科批,476,641.0,641,166,4777,4612-4777
天津,2025,综合,本科批,476,640.0,640,151,4928,4778-4928
天津,2025,综合,本科批,476,639.0,639,152,5080,4929-5080
天津,2025,综合,本科批,476,638.0,638,144,5224,5081-5224
天津,2025,综合,本科批,476,637.0,637,155,5379,5225-5379
天津,2025,综合,本科批,476,636.0,636,156,5535,5380-5535
天津,2025,综合,本科批,476,635.0,635,154,5689,5536-5689
天津,2025,综合,本科批,476,634.0,634,170,5859,5690-5859
天津,2025,综合,本科批,476,633.0,633,164,6023,5860-6023
天津,2025,综合,本科批,476,632.0,632,184,6207,6024-6207
天津,2025,综合,本科批,476,631.0,631,168,6375,6208-6375
天津,2025,综合,本科批,476,630.0,630,189,6564,6376-6564
天津,2025,综合,本科批,476,629.0,629,208,6772,6565-6772
天津,2025,综合,本科批,476,628.0,628,178,6950,6773-6950
