province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
新疆,2025,专科批,理科,3599,三亚中瑞酒店管理职业学院,,4,融媒体技术与运营,,,1,三年,14900.0
新疆,2025,专科批,理科,3599,三亚中瑞酒店管理职业学院,,3,计算机应用技术,,,1,三年,14900.0
新疆,2025,专科批,文科,3599,三亚中瑞酒店管理职业学院,,2,融媒体技术与运营,,,1,三年,14900.0
新疆,2025,专科批,文科,3599,三亚中瑞酒店管理职业学院,,1,计算机应用技术,,,1,三年,14900.0
新疆,2025,专科批,理科,2161,三亚城市职业学院,,25,人力资源管理,,,2,三年,14800.0
新疆,2025,专科批,理科,2161,三亚城市职业学院,,24,烹饪工艺与营养,,,2,三年,14800.0
新疆,2025,专科批,理科,2161,三亚城市职业学院,,23,市场营销,（新媒体运营）,,2,三年,14800.0
新疆,2025,专科批,理科,2161,三亚城市职业学院,,22,大数据与会计,,,2,三年,14800.0
新疆,2025,专科批,理科,2161,三亚城市职业学院,,21,婴幼儿托育服务与管理,,,2,三年,16800.0
新疆,2025,专科批,理科,2161,三亚城市职业学院,,20,计算机应用技术,,,2,三年,16800.0
新疆,2025,专科批,理科,2161,三亚城市职业学院,,19,高速铁路客运服务,,,2,三年,16800.0
新疆,2025,专科批,理科,2161,三亚城市职业学院,,18,建筑消防技术,,,2,三年,14800.0
新疆,2025,专科批,理科,2161,三亚城市职业学院,,17,建筑工程技术,,,2,三年,14800.0
新疆,2025,专科批,理科,2161,三亚城市职业学院,,26,智慧健康养老服务与管理,,,1,三年,14800.0
新疆,2025,专科批,文科,2161,三亚城市职业学院,,8,人力资源管理,,,3,三年,14800.0
新疆,2025,专科批,文科,2161,三亚城市职业学院,,7,建筑消防技术,,,3,三年,14800.0
新疆,2025,专科批,文科,2161,三亚城市职业学院,,15,烹饪工艺与营养,,,2,三年,14800.0
新疆,2025,专科批,文科,2161,三亚城市职业学院,,14,市场营销,（新媒体运营）,,2,三年,14800.0
新疆,2025,专科批,文科,2161,三亚城市职业学院,,13,大数据与会计,,,2,三年,14800.0
新疆,2025,专科批,文科,2161,三亚城市职业学院,,12,婴幼儿托育服务与管理,,,2,三年,16800.0
新疆,2025,专科批,文科,2161,三亚城市职业学院,,11,计算机应用技术,,,2,三年,16800.0
新疆,2025,专科批,文科,2161,三亚城市职业学院,,10,高速铁路客运服务,,,2,三年,16800.0
新疆,2025,专科批,文科,2161,三亚城市职业学院,,9,建筑工程技术,,,2,三年,14800.0
新疆,2025,专科批,文科,2161,三亚城市职业学院,,16,智慧健康养老服务与管理,,,1,三年,14800.0
新疆,2025,本科二批,理科,2977,三亚学院,,39,会计学,,,11,四年,36900.0
新疆,2025,本科二批,理科,2977,三亚学院,,41,数据科学与大数据技术,,,10,四年,36900.0
新疆,2025,本科二批,理科,2977,三亚学院,,40,应用心理学,,,10,四年,33900.0
新疆,2025,本科二批,理科,2977,三亚学院,,45,医学检验技术,,,5,四年,33900.0
新疆,2025,本科二批,理科,2977,三亚学院,,44,计算机科学与技术,,,5,四年,33900.0
新疆,2025,本科二批,理科,2977,三亚学院,,43,通信工程,,,5,四年,36900.0
新疆,2025,本科二批,理科,2977,三亚学院,,42,电子信息工程,,,5,四年,36900.0
新疆,2025,本科二批,理科,2977,三亚学院,,47,财务管理,,,4,四年,36900.0
新疆,2025,本科二批,理科,2977,三亚学院,,46,虚拟现实技术,,,4,四年,36900.0
新疆,2025,本科二批,理科,2977,三亚学院,,72,语言学,（语言科技）（非英语语种考生慎报）,,3,四年,36900.0
新疆,2025,国家及地方专项、南疆单列、对口援疆计划本科二批次,理科,2977,三亚学院,,37,工商管理,（南疆单列计划）,,2,四年,31900.0
新疆,2025,国家及地方专项、南疆单列、对口援疆计划本科二批次,理科,2977,三亚学院,,38,跨境电子商务,（南疆单列计划）,,2,四年,33900.0
新疆,2025,本科二批,文科,2977,三亚学院,,12,汉语言文学,,,10,四年,31900.0
新疆,2025,本科二批,文科,2977,三亚学院,,11,法学,,,10,四年,33900.0
新疆,2025,本科二批,文科,2977,三亚学院,,15,汉语国际教育,（国际幼儿教育）,,5,四年,33900.0
新疆,2025,本科二批,文科,2977,三亚学院,,14,汉语国际教育,,,5,四年,31900.0
新疆,2025,本科二批,文科,2977,三亚学院,,13,法学,（自贸港法律）,,5,四年,36900.0
新疆,2025,本科二批,文科,2977,三亚学院,,19,酒店管理,（奢华品牌运营与管理）,,3,四年,31900.0
