province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
新疆,2025,文科,专科批,1215,上海旅游高等专科学校,,,256,,,,22,上海,公办,0,0
新疆,2025,文科,专科批,1618,大连职业技术学院,,,185,23460,,,0,辽宁,公办,0,0
新疆,2025,文科,专科批,1624,上海东海职业技术学院,,,218,,,,0,上海,民办,0,0
新疆,2025,文科,专科批,1625,上海工商职业技术学院,,,156,,,,0,上海,民办,0,0
新疆,2025,文科,专科批,1647,江西医学高等专科学校,,,320,14608,,,0,江西,公办,0,0
新疆,2025,文科,专科批,1681,连云港职业技术学院,,,281,18247,,,0,江苏,公办,0,0
新疆,2025,文科,专科批,1682,镇江市高等专科学校,,,263,16990,,,8,江苏,公办,0,0
新疆,2025,文科,专科批,1738,漳州职业技术学院,,,301,14761,,,0,福建,公办,0,0
新疆,2025,文科,专科批,1782,长春金融高等专科学校,,,220,17765,,,18,吉林,公办,0,0
新疆,2025,文科,专科批,1913,安徽第二医学院,,,341,12791,,,8,安徽,公办,0,0
新疆,2025,文科,专科批,1918,安徽中医药高等专科学校,,,327,11967,,,22,安徽,公办,0,0
新疆,2025,文科,专科批,1924,浙江交通职业技术学院,,,291,17601,,,0,浙江,公办,0,0
新疆,2025,文科,专科批,1927,广州职业技术大学,,,280,18419,,,7,广东,公办,0,0
新疆,2025,文科,专科批,1928,江苏经贸职业技术学院,,,292,16268,,,15,江苏,公办,0,0
新疆,2025,文科,专科批,1944,盘锦职业技术学院,,,174,17601,,,0,辽宁,公办,0,0
新疆,2025,文科,专科批,1959,重庆工业职业技术大学,,,317,14761,,,8,重庆,公办,0,0
新疆,2025,文科,专科批,1983,山东劳动职业技术学院,,,189,23369,,,0,山东,公办,0,0
新疆,2025,文科,专科批,1995,襄阳职业技术学院,,,314,15730,,,10,湖北,公办,0,0
新疆,2025,文科,专科批,2030,上海行健职业学院,,,292,,,,0,上海,公办,0,0
新疆,2025,文科,专科批,2064,上海震旦职业学院,,,189,,,,0,上海,民办,0,0
新疆,2025,文科,专科批,2073,辽宁生态工程职业学院,,,227,22015,,,0,辽宁,公办,0,0
新疆,2025,文科,专科批,2131,包头轻工职业技术学院,,,172,22361,,,0,内蒙古,公办,0,0
新疆,2025,文科,专科批,2140,无锡科技职业学院,,,185,23460,,,12,江苏,公办,0,0
新疆,2025,文科,专科批,2170,黑龙江农业工程职业学院,,,152,19119,,,23,黑龙江,公办,0,0
