province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
新疆,2025,理科,,,670.0,670~750,9,9,1~9
新疆,2025,理科,,,669.0,669,5,14,10~14
新疆,2025,理科,,,668.0,668,5,19,15~19
新疆,2025,理科,,,667.0,667,4,23,20~23
新疆,2025,理科,,,666.0,666,7,30,24~30
新疆,2025,理科,,,665.0,665,9,39,31~39
新疆,2025,理科,,,663.0,663,8,47,40~47
新疆,2025,理科,,,662.0,662,15,62,48~62
新疆,2025,理科,,,660.0,660,15,77,63~77
新疆,2025,理科,,,656.0,656,13,90,78~90
新疆,2025,理科,,,653.0,653,15,105,91~105
新疆,2025,理科,,,651.0,651,15,120,106~120
新疆,2025,理科,,,650.0,650,17,137,121~137
新疆,2025,理科,,,649.0,649,20,157,138~157
新疆,2025,理科,,,648.0,648,22,179,158~179
新疆,2025,理科,,,647.0,647,24,203,180~203
新疆,2025,理科,,,646.0,646,23,226,204~226
新疆,2025,理科,,,645.0,645,22,248,227~248
新疆,2025,理科,,,643.0,643,24,272,249~272
新疆,2025,理科,,,642.0,642,24,296,273~296
新疆,2025,理科,,,641.0,641,20,316,297~316
新疆,2025,理科,,,640.0,640,21,337,317~337
新疆,2025,理科,,,638.0,638,22,359,338~359
新疆,2025,理科,,,637.0,637,20,379,360~379
新疆,2025,理科,,,636.0,636,25,404,380~404
新疆,2025,理科,,,635.0,635,24,428,405~428
新疆,2025,理科,,,634.0,634,21,449,429~449
新疆,2025,理科,,,633.0,633,22,471,450~471
新疆,2025,理科,,,632.0,632,20,491,472~491
新疆,2025,理科,,,631.0,631,21,512,492~512
新疆,2025,理科,,,630.0,630,20,532,513~532
新疆,2025,理科,,,629.0,629,21,553,533~553
新疆,2025,理科,,,628.0,628,25,578,554~578
新疆,2025,理科,,,627.0,627,24,602,579~602
新疆,2025,理科,,,626.0,626,24,626,603~626
新疆,2025,理科,,,625.0,625,24,650,627~650
新疆,2025,理科,,,624.0,624,27,677,651~677
新疆,2025,理科,,,623.0,623,22,699,678~699
新疆,2025,理科,,,622.0,622,22,721,700~721
新疆,2025,理科,,,621.0,621,26,747,722~747
新疆,2025,理科,,,620.0,620,21,768,748~768
新疆,2025,理科,,,619.0,619,27,795,769~795
新疆,2025,理科,,,618.0,618,28,823,796~823
新疆,2025,理科,,,617.0,617,30,853,824~853
新疆,2025,理科,,,616.0,616,29,882,854~882
新疆,2025,理科,,,615.0,615,32,914,883~914
新疆,2025,理科,,,614.0,614,26,940,915~940
新疆,2025,理科,,,613.0,613,30,970,941~970
新疆,2025,理科,,,612.0,612,33,1003,971~1003
新疆,2025,理科,,,611.0,611,26,1029,1004~1029
新疆,2025,理科,,,610.0,610,22,1051,1030~1051
新疆,2025,理科,,,609.0,609,29,1080,1052~1080
新疆,2025,理科,,,608.0,608,30,1110,1081~1110
新疆,2025,理科,,,607.0,607,33,1143,1111~1143
新疆,2025,理科,,,606.0,606,37,1180,1144~1180
新疆,2025,理科,,,605.0,605,35,1215,1181~1215
新疆,2025,理科,,,604.0,604,37,1252,1216~1252
新疆,2025,理科,,,603.0,603,31,1283,1253~1283
新疆,2025,理科,,,602.0,602,35,1318,1284~1318
新疆,2025,理科,,,601.0,601,38,1356,1319~1356
新疆,2025,理科,,,600.0,600,35,1391,1357~1391
新疆,2025,理科,,,599.0,599,35,1426,1392~1426
新疆,2025,理科,,,598.0,598,37,1463,1427~1463
新疆,2025,理科,,,597.0,597,40,1503,1464~1503
新疆,2025,理科,,,596.0,596,38,1541,1504~1541
新疆,2025,理科,,,595.0,595,40,1581,1542~1581
新疆,2025,理科,,,594.0,594,47,1628,1582~1628
新疆,2025,理科,,,593.0,593,45,1673,1629~1673
新疆,2025,理科,,,592.0,592,41,1714,1674~1714
新疆,2025,理科,,,591.0,591,47,1761,1715~1761
新疆,2025,理科,,,590.0,590,40,1801,1762~1801
新疆,2025,理科,,,589.0,589,45,1846,1802~1846
新疆,2025,理科,,,588.0,588,44,1890,1847~1890
新疆,2025,理科,,,587.0,587,41,1931,1891~1931
新疆,2025,理科,,,586.0,586,54,1985,1932~1985
新疆,2025,理科,,,585.0,585,50,2035,1986~2035
新疆,2025,理科,,,584.0,584,50,2085,2036~2085
新疆,2025,理科,,,583.0,583,51,2136,2086~2136
新疆,2025,理科,,,582.0,582,43,2179,2137~2179
新疆,2025,理科,,,581.0,581,50,2229,2180~2229
新疆,2025,理科,,,580.0,580,47,2276,2230~2276
新疆,2025,理科,,,579.0,579,51,2327,2277~2327
新疆,2025,理科,,,578.0,578,51,2378,2328~2378
新疆,2025,理科,,,577.0,577,51,2429,2379~2429
新疆,2025,理科,,,576.0,576,39,2468,2430~2468
新疆,2025,理科,,,575.0,575,55,2523,2469~2523
新疆,2025,理科,,,574.0,574,63,2586,2524~2586
新疆,2025,理科,,,573.0,573,55,2641,2587~2641
新疆,2025,理科,,,572.0,572,52,2693,2642~2693
新疆,2025,理科,,,571.0,571,56,2749,2694~2749
新疆,2025,理科,,,570.0,570,60,2809,2750~2809
新疆,2025,理科,,,569.0,569,57,2866,2810~2866
新疆,2025,理科,,,568.0,568,52,2918,2867~2918
新疆,2025,理科,,,567.0,567,62,2980,2919~2980
新疆,2025,理科,,,566.0,566,50,3030,2981~3030
新疆,2025,理科,,,565.0,565,58,3088,3031~3088
新疆,2025,理科,,,564.0,564,44,3132,3089~3132
新疆,2025,理科,,,563.0,563,56,3188,3133~3188
新疆,2025,理科,,,562.0,562,55,3243,3189~3243
新疆,2025,理科,,,561.0,561,63,3306,3244~3306
新疆,2025,理科,,,560.0,560,65,3371,3307~3371
新疆,2025,理科,,,559.0,559,65,3436,3372~3436
新疆,2025,理科,,,558.0,558,60,3496,3437~3496
新疆,2025,理科,,,557.0,557,63,3559,3497~3559
新疆,2025,理科,,,556.0,556,62,3621,3560~3621
新疆,2025,理科,,,555.0,555,61,3682,3622~3682
新疆,2025,理科,,,554.0,554,65,3747,3683~3747
新疆,2025,理科,,,553.0,553,66,3813,3748~3813
新疆,2025,理科,,,552.0,552,71,3884,3814~3884
新疆,2025,理科,,,551.0,551,65,3949,3885~3949
新疆,2025,理科,,,550.0,550,72,4021,3950~4021
新疆,2025,理科,,,549.0,549,63,4084,4022~4084
新疆,2025,理科,,,548.0,548,67,4151,4085~4151
新疆,2025,理科,,,547.0,547,74,4225,4152~4225
新疆,2025,理科,,,546.0,546,72,4297,4226~4297
新疆,2025,理科,,,545.0,545,67,4364,4298~4364
新疆,2025,理科,,,544.0,544,73,4437,4365~4437
新疆,2025,理科,,,543.0,543,74,4511,4438~4511
新疆,2025,理科,,,542.0,542,80,4591,4512~4591
新疆,2025,理科,,,541.0,541,80,4671,4592~4671
新疆,2025,理科,,,540.0,540,82,4753,4672~4753
新疆,2025,理科,,,539.0,539,71,4824,4754~4824
