province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
西藏,2025,本科二批,理科,,三亚学院,,,计算机科学与技术,（办学地点：海南三亚。）,,3,四年,33900.0
西藏,2025,本科二批,理科,,三亚学院,,,工程管理,（建筑数字技术与造价）（办学地点：海南三亚。）,,3,四年,31900.0
西藏,2025,本科二批,理科,,三亚学院,,,会计学,（办学地点：海南三亚。）,,3,四年,36900.0
西藏,2025,本科二批,文科,,三亚学院,,,法学,（办学地点：海南三亚。）,,3,四年,33900.0
西藏,2025,本科二批,文科,,三亚学院,,,汉语言文学,（办学地点：海南三亚。）,,3,四年,31900.0
西藏,2025,本科二批,文科,,三亚学院,,,市场营销,（数字营销）（办学地点：海南三亚。）,,3,四年,33900.0
西藏,2025,本科二批,文科,,三亚学院,,,会计学,（办学地点：海南三亚。）,,3,四年,36900.0
西藏,2025,本科二批,文科,,三亚学院,,,供应链管理,（办学地点：海南三亚。）,,3,四年,33900.0
西藏,2025,本科二批,文科,,三亚学院,,,经济与金融,（办学地点：海南三亚。）,,2,四年,36900.0
西藏,2025,本科二批,文科,,三亚学院,,,思想政治教育,（办学地点：海南三亚。）,,2,四年,33900.0
西藏,2025,本科二批,文科,,三亚学院,,,旅游管理,（智慧旅游大数据）（办学地点：海南三亚。）,,2,四年,33900.0
西藏,2025,本科一批,理科,329,三峡大学,,5,水利水电工程,（免补专业。）,,6,四年,5850.0
西藏,2025,本科一批,理科,329,三峡大学,,,少数民族预科,（民族预科班）（我校少数民族预科班学生在我校完成一年预科阶段学习，学业合格、无重大违纪违规情况，根据学校专业计划结合学生综合测评排名、专业志愿，升入相应本科专业学习。升入本科专业后，转入校本部。预科培养地点：三峡大学。）,,6,一年,4000.0
西藏,2025,本科一批,理科,329,三峡大学,,3,电气工程及其自动化,（输电线路工程方向）,,2,四年,5850.0
西藏,2025,本科一批,理科,329,三峡大学,,3,电气工程及其自动化,,,2,四年,5850.0
西藏,2025,本科一批,理科,329,三峡大学,,4,土木工程,（智慧土木方向）,,2,四年,5850.0
西藏,2025,本科一批,理科,329,三峡大学,,6,地质工程,（智慧地质方向）（免补专业。）,,2,四年,4500.0
西藏,2025,本科一批,理科,329,三峡大学,,7,环境工程,（免补专业。）,,2,四年,4500.0
西藏,2025,本科一批,理科,329,三峡大学,,8,工程管理,（含造价方向）,,2,四年,4500.0
