province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
西藏,2025,文科,专科批,1173,四川铁道职业学院,,,292,,,,0,四川,公办,0,0
西藏,2025,文科,专科批,468,黑龙江农业工程职业学院,,,239,,,,18,黑龙江,公办,0,0
西藏,2025,文科,专科批,565,海南外国语职业学院,,,258,,,,0,海南,公办,0,0
西藏,2025,文科,专科批,602,海南经贸职业技术学院,,,287,,,,0,海南,公办,0,0
西藏,2025,文科,专科批,665,河北轨道运输职业技术学院,,,258,,,,0,河北,公办,0,0
西藏,2025,文科,专科批,701,江苏经贸职业技术学院,,,255,,,,15,江苏,公办,0,0
西藏,2025,文科,专科批,770,抚州医药学院,,,281,,,,0,江西,公办,0,0
西藏,2025,文科,专科批,823,海南卫生健康职业学院,,,296,,,,0,海南,公办,0,0
西藏,2025,文科,国家专项计划本科批,10,北京化工大学,,,400,,,,0,北京,公办,0,1
西藏,2025,文科,国家专项计划本科批,106,东北石油大学,,,378,,,,5,黑龙江,公办,0,0
西藏,2025,文科,国家专项计划本科批,114,华东理工大学,,,393,,,,0,上海,公办,0,1
西藏,2025,文科,国家专项计划本科批,157,浙江师范大学,,,413,,,,0,浙江,公办,0,0
西藏,2025,文科,国家专项计划本科批,183,山东大学,,,449,,,,0,山东,公办,1,1
西藏,2025,文科,国家专项计划本科批,202,华中师范大学,,,449,,,,0,湖北,公办,0,1
西藏,2025,文科,国家专项计划本科批,204,中南财经政法大学,,,418,,,,0,湖北,公办,0,1
西藏,2025,文科,国家专项计划本科批,254,西南财经大学,,,394,,,,0,四川,公办,0,1
西藏,2025,文科,国家专项计划本科批,29,中国传媒大学,,,410,,,,0,北京,公办,0,1
西藏,2025,文科,国家专项计划本科批,30,中央财经大学,,,586,,,,0,北京,公办,0,1
西藏,2025,文科,国家专项计划本科批,31,对外经济贸易大学,,,436,,,,0,北京,公办,0,1
西藏,2025,文科,国家专项计划本科批,430,中国劳动关系学院,,,393,,,,0,北京,公办,0,0
西藏,2025,文科,国家专项计划本科批,75,大连海事大学,,,413,,,,0,辽宁,公办,0,1
西藏,2025,文科,国家专项计划本科批,94,东北师范大学,,,447,,,,0,吉林,公办,0,1
西藏,2025,文科,提前录取本科一批,202,华中师范大学,,,462,,,,0,湖北,公办,0,1
西藏,2025,文科,提前录取本科一批,243,西南大学,,,454,,,,0,重庆,公办,0,1
西藏,2025,文科,提前录取本科一批,280,西北政法大学,,,347,,,,0,陕西,公办,0,0
西藏,2025,文科,提前录取本科一批,29,中国传媒大学,,,437,,,,0,北京,公办,0,1
西藏,2025,文科,提前录取本科一批,34,中国人民公安大学,,,404,,,,0,北京,公办,0,0
西藏,2025,文科,提前录取本科一批,83,中国刑事警察学院,,,381,,,,4,辽宁,公办,0,0
西藏,2025,文科,提前录取本科一批,94,东北师范大学,,,449,,,,0,吉林,公办,0,1
西藏,2025,文科,提前录取本科一批,,华东师范大学,,,456,,,,0,上海,公办,1,1
西藏,2025,文科,提前录取本科二批,83,中国刑事警察学院,,,371,,,,2,辽宁,公办,0,0
西藏,2025,文科,本科一批,106,东北石油大学,,,344,,,,10,黑龙江,公办,0,0
西藏,2025,文科,本科一批,108,东北林业大学,,,376,,,,0,黑龙江,公办,0,1
西藏,2025,文科,本科一批,114,华东理工大学,,,424,,,,0,上海,公办,0,1
西藏,2025,文科,本科一批,115,上海理工大学,,,376,,,,0,上海,公办,0,0
西藏,2025,文科,本科一批,116,上海海事大学,,,380,,,,0,上海,公办,0,0
西藏,2025,文科,本科一批,120,上海海洋大学,,,370,,,,0,上海,公办,0,0
西藏,2025,文科,本科一批,122,上海师范大学,,,355,,,,0,上海,公办,0,0
西藏,2025,文科,本科一批,127,华东政法大学,,,383,,,,0,上海,公办,0,0
西藏,2025,文科,本科一批,136,江苏科技大学,,,345,,,,10,江苏,公办,0,0
西藏,2025,文科,本科一批,139,江南大学,,,339,,,,9,江苏,公办,0,1
西藏,2025,文科,本科一批,141,江苏大学,,,382,,,,7,江苏,公办,0,0
西藏,2025,文科,本科一批,157,浙江师范大学,,,373,,,,0,浙江,公办,0,0
西藏,2025,文科,本科一批,169,集美大学,,,389,,,,8,福建,公办,0,0
西藏,2025,文科,本科一批,184,中国海洋大学,,,536,,,,0,山东,公办,1,1
西藏,2025,文科,本科一批,199,中国地质大学（武汉）,,,392,,,,0,湖北,公办,0,1
西藏,2025,文科,本科一批,202,华中师范大学,,,416,,,,0,湖北,公办,0,1
西藏,2025,文科,本科一批,205,杭州师范大学,,,353,,,,8,浙江,公办,0,0
西藏,2025,文科,本科一批,224,海南大学,,,402,,,,0,海南,公办,0,1
西藏,2025,文科,本科一批,233,重庆交通大学,,,361,,,,0,重庆,公办,0,0
西藏,2025,文科,本科一批,244,四川师范大学,,,402,,,,0,四川,公办,0,0
西藏,2025,文科,本科一批,30,中央财经大学,,,589,,,,0,北京,公办,0,1
西藏,2025,文科,本科一批,329,三峡大学,,,339,,,,0,湖北,公办,0,0
西藏,2025,文科,本科一批,368,延安大学,,,361,,,,6,陕西,公办,0,0
西藏,2025,文科,本科一批,38,河北师范大学,,,369,,,,5,河北,公办,0,0
西藏,2025,文科,本科一批,381,重庆理工大学,,,356,,,,0,重庆,公办,0,0
西藏,2025,文科,本科一批,395,上海政法学院,,,385,,,,0,上海,公办,0,0
西藏,2025,文科,本科一批,42,中央民族大学,,,425,,,,0,北京,公办,1,1
西藏,2025,文科,本科一批,448,东北农业大学,,,384,,,,0,黑龙江,公办,0,1
西藏,2025,文科,本科一批,49,中国民航大学,,,401,,,,0,天津,公办,0,0
西藏,2025,文科,本科一批,609,江汉大学,,,372,,,,0,湖北,公办,0,0
西藏,2025,文科,本科一批,652,浙江外国语学院,,,339,,,,0,浙江,公办,0,0
西藏,2025,文科,本科一批,75,大连海事大学,,,365,,,,0,辽宁,公办,0,1
西藏,2025,文科,本科一批,755,湖南工业大学,,,327,,,,0,湖南,公办,0,0
西藏,2025,文科,本科一批,85,吉林大学,,,562,,,,0,吉林,公办,1,1
西藏,2025,文科,本科一批,94,东北师范大学,,,348,,,,0,吉林,公办,0,1
西藏,2025,文科,本科一批,,华东师范大学,,,413,,,,0,上海,公办,1,1
西藏,2025,文科,本科二批,101,吉林财经大学,,,351,,,,0,吉林,公办,0,0
西藏,2025,文科,本科二批,1019,嘉兴大学,,,340,,,,0,浙江,公办,0,0
西藏,2025,文科,本科二批,244,四川师范大学,,,406,,,,0,四川,公办,0,0
西藏,2025,文科,本科二批,278,渭南师范学院,,,329,,,,37,陕西,公办,0,0
西藏,2025,文科,本科二批,322,金陵科技学院,,,313,,,,16,江苏,公办,0,0
西藏,2025,文科,本科二批,331,海南热带海洋学院,,,313,,,,0,海南,公办,0,0
