province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
云南,2025,本科批B段,物理类,,北京工业大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京工业大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京工业大学,,,,,首选物理，再选不限,,四年,5000.0
云南,2025,本科批B段,物理类,,北京工业大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京工业大学,,,,,首选物理，再选化学,,五年,5000.0
云南,2025,本科批B段,物理类,,北京工业大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京工业大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京工业大学,,,,,首选物理，再选不限,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选不限,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5300.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5300.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5300.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5300.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选化学,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选不限,,四年,5000.0
云南,2025,本科批B段,物理类,,北京大学,,,,,首选物理，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选思想政治,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选思想政治,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5000.0
云南,2025,本科批B段,历史类,,北京大学,,,,,首选历史，再选不限,,四年,5300.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选不限,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选不限,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选不限,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选不限,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,9000.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,9000.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
云南,2025,本科批B段,物理类,,内蒙古大学,,,,,首选物理，再选化学,,四年,5060.0
