province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
云南,2025,历史类,专科批,1210,天津师范大学,（02）,首选历史，再选不限,484,33564,,,6,天津,公办,0,0
云南,2025,历史类,专科批,1331,河北交通职业技术学院,（01）,首选历史，再选不限,409,63518,,,0,河北,公办,0,0
云南,2025,历史类,专科批,1336,唐山幼儿师范高等专科学校,（01）,首选历史，再选不限,420,41104,,,6,河北,公办,0,0
云南,2025,历史类,专科批,1379,河北轨道运输职业技术学院,（01）,首选历史，再选不限,423,37042,,,0,河北,公办,0,0
云南,2025,历史类,专科批,1386,河北化工医药职业技术学院,（01）,首选历史，再选不限,387,75888,,,4,河北,公办,0,0
云南,2025,历史类,专科批,1390,石家庄幼儿师范高等专科学校,,首选历史，再选不限,340,73470,,,12,河北,公办,0,0
云南,2025,历史类,专科批,1436,临汾职业技术学院,（01）,首选历史，再选不限,384,81096,,,5,山西,公办,0,0
云南,2025,历史类,专科批,1441,山西林业职业技术学院,（01）,首选历史，再选不限,384,79742,,,3,山西,公办,0,0
云南,2025,历史类,专科批,1448,忻州职业技术学院,（01）,首选历史，再选不限,415,61528,,,0,山西,公办,0,0
云南,2025,历史类,专科批,1517,包头轻工职业技术学院,（01）,首选历史，再选不限,359,92734,,,0,内蒙古,公办,0,0
云南,2025,历史类,专科批,1527,乌兰察布医学高等专科学校,（01）,首选历史，再选不限,413,64539,,,0,内蒙古,公办,0,0
云南,2025,历史类,专科批,2145,盘锦职业技术学院,（01）,首选历史，再选不限,265,106208,,,0,辽宁,公办,0,0
云南,2025,历史类,专科批,2147,沈阳城市建设学院,（02）,首选历史，再选不限,304,107238,,,3,辽宁,民办,0,0
云南,2025,历史类,专科批,2151,大连职业技术学院,（01）,首选历史，再选不限,292,103557,,,0,辽宁,公办,0,0
云南,2025,历史类,专科批,2176,辽宁生态工程职业学院,（01）,首选历史，再选不限,306,106208,,,0,辽宁,公办,0,0
云南,2025,历史类,专科批,2180,渤海船舶职业学院,（01）,首选历史，再选不限,335,69499,,,0,辽宁,公办,0,0
云南,2025,历史类,专科批,2199,辽宁民族师范高等专科学校,（01）,首选历史，再选不限,346,70503,,,0,辽宁,公办,0,0
云南,2025,历史类,专科批,2239,长春金融高等专科学校,（01）,首选历史，再选不限,352,62472,,,6,吉林,公办,0,0
云南,2025,历史类,专科批,2342,黑龙江农业工程职业学院,（01）,首选历史，再选不限,345,77841,,,0,黑龙江,公办,0,0
云南,2025,历史类,专科批,2346,黑龙江农垦职业学院,（01）,首选历史，再选不限,287,104647,,,11,黑龙江,公办,0,0
云南,2025,历史类,专科批,2359,大兴安岭职业学院,（01）,首选历史，再选不限,292,104231,,,14,黑龙江,公办,0,0
云南,2025,历史类,专科批,2376,伊春职业学院,（01）,首选历史，再选不限,382,74907,,,15,黑龙江,公办,0,0
云南,2025,历史类,专科批,3117,上海旅游高等专科学校,,首选历史，再选不限,432,43360,,,14,上海,公办,0,0
云南,2025,历史类,专科批,3123,上海工商职业技术学院,（01）,首选历史，再选不限,387,80645,,,0,上海,民办,0,0
云南,2025,历史类,专科批,3130,上海行健职业学院,（01）,首选历史，再选不限,419,53989,,,0,上海,公办,0,0
云南,2025,历史类,专科批,3132,上海交通职业技术学院,（01）,首选历史，再选不限,429,52029,,,0,上海,公办,0,0
云南,2025,历史类,专科批,3161,上海农林职业技术学院,（01）,首选历史，再选不限,435,40197,,,0,上海,公办,0,0
云南,2025,历史类,专科批,3200,徐州幼儿师范高等专科学校,（01）,首选历史，再选不限,441,53989,,,0,江苏,公办,0,0
云南,2025,历史类,专科批,3223,连云港职业技术学院,（01）,首选历史，再选不限,473,38838,,,0,江苏,公办,0,0
云南,2025,历史类,专科批,3251,江苏城市职业学院,（01）,首选历史，再选不限,448,36584,,,0,江苏,公办,0,0
云南,2025,历史类,专科批,3266,常州机电职业技术学院,（01）,首选历史，再选不限,461,41104,,,5,江苏,公办,0,0
云南,2025,历史类,专科批,3282,镇江市高等专科学校,（01）,首选历史，再选不限,423,52029,,,8,江苏,公办,0,0
云南,2025,历史类,专科批,3294,苏州卫生职业技术学院,（01）,首选历史，再选不限,471,37506,,,0,江苏,公办,0,0
云南,2025,历史类,专科批,3328,浙江机电职业技术大学,（01）,首选历史，再选不限,452,45219,,,0,浙江,公办,0,0
云南,2025,历史类,专科批,3336,台州科技职业学院,,首选历史，再选不限,363,72438,,,0,浙江,公办,0,0
云南,2025,历史类,专科批,3346,浙江纺织服装职业技术学院,（01）,首选历史，再选不限,406,71493,,,0,浙江,公办,0,0
云南,2025,历史类,专科批,3366,温州商学院,（02）,首选历史，再选不限,291,94641,,,13,浙江,民办,0,0
云南,2025,历史类,专科批,3368,浙江安防职业技术学院,（01）,首选历史，再选不限,442,53510,,,0,浙江,公办,0,0
云南,2025,历史类,专科批,3378,杭州职业技术大学,,首选历史，再选不限,498,24086,,,0,浙江,公办,0,0
云南,2025,历史类,专科批,3379,浙江商业职业技术学院,（01）,首选历史，再选不限,452,32728,,,13,浙江,公办,0,0
云南,2025,历史类,专科批,3420,安徽第二医学院,（01）,首选历史，再选不限,473,37953,,,6,安徽,公办,0,0
云南,2025,历史类,专科批,3425,合肥幼儿师范高等专科学校,（01）,首选历史，再选不限,416,46701,,,0,安徽,公办,0,0
云南,2025,历史类,专科批,3459,桐城师范高等专科学校,（01）,首选历史，再选不限,424,53989,,,0,安徽,公办,0,0
云南,2025,历史类,专科批,3513,漳州职业技术学院,（01）,首选历史，再选不限,461,37042,,,0,福建,公办,0,0
云南,2025,历史类,专科批,3529,黎明职业大学,（01）,首选历史，再选不限,434,54506,,,4,福建,公办,0,0
云南,2025,历史类,专科批,3531,湄洲湾职业技术学院,（01）,首选历史，再选不限,333,81554,,,35,福建,公办,0,0
云南,2025,历史类,专科批,3553,福建电力职业技术学院,（01）,首选历史，再选不限,440,49536,,,0,福建,公办,0,0
云南,2025,历史类,专科批,3571,厦门城市职业学院,（01）,首选历史，再选不限,448,48612,,,0,福建,公办,0,0
