province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
云南,2025,物理类,本科批,430,683.0,683-750,52,52,1-52
云南,2025,物理类,本科批,430,682.0,682,1,53,53-53
云南,2025,物理类,本科批,430,681.0,681,0,53,53-53
云南,2025,物理类,本科批,430,680.0,680,0,53,53-53
云南,2025,物理类,本科批,430,679.0,679,4,57,54-57
云南,2025,物理类,本科批,430,678.0,678,12,69,58-69
云南,2025,物理类,本科批,430,677.0,677,15,84,70-84
云南,2025,物理类,本科批,430,676.0,676,6,90,85-90
云南,2025,物理类,本科批,430,675.0,675,5,95,91-95
云南,2025,物理类,本科批,430,674.0,674,9,104,96-104
云南,2025,物理类,本科批,430,673.0,673,12,116,105-116
云南,2025,物理类,本科批,430,672.0,672,19,135,117-135
云南,2025,物理类,本科批,430,671.0,671,18,153,136-153
云南,2025,物理类,本科批,430,670.0,670,16,169,154-169
云南,2025,物理类,本科批,430,669.0,669,22,191,170-191
云南,2025,物理类,本科批,430,668.0,668,15,206,192-206
云南,2025,物理类,本科批,430,667.0,667,22,228,207-228
云南,2025,物理类,本科批,430,666.0,666,15,243,229-243
云南,2025,物理类,本科批,430,665.0,665,25,268,244-268
云南,2025,物理类,本科批,430,664.0,664,31,299,269-299
云南,2025,物理类,本科批,430,663.0,663,28,327,300-327
云南,2025,物理类,本科批,430,662.0,662,19,346,328-346
云南,2025,物理类,本科批,430,661.0,661,29,375,347-375
云南,2025,物理类,本科批,430,660.0,660,40,415,376-415
云南,2025,物理类,本科批,430,659.0,659,37,452,416-452
云南,2025,物理类,本科批,430,658.0,658,38,490,453-490
云南,2025,物理类,本科批,430,657.0,657,41,531,491-531
云南,2025,物理类,本科批,430,656.0,656,41,572,532-572
云南,2025,物理类,本科批,430,655.0,655,47,619,573-619
云南,2025,物理类,本科批,430,654.0,654,47,666,620-666
云南,2025,物理类,本科批,430,653.0,653,52,718,667-718
云南,2025,物理类,本科批,430,652.0,652,50,768,719-768
云南,2025,物理类,本科批,430,651.0,651,58,826,769-826
云南,2025,物理类,本科批,430,650.0,650,50,876,827-876
云南,2025,物理类,本科批,430,649.0,649,75,951,877-951
云南,2025,物理类,本科批,430,648.0,648,71,1022,952-1022
云南,2025,物理类,本科批,430,647.0,647,71,1093,1023-1093
云南,2025,物理类,本科批,430,646.0,646,84,1177,1094-1177
云南,2025,物理类,本科批,430,645.0,645,84,1261,1178-1261
云南,2025,物理类,本科批,430,644.0,644,84,1345,1262-1345
云南,2025,物理类,本科批,430,643.0,643,89,1434,1346-1434
云南,2025,物理类,本科批,430,642.0,642,74,1508,1435-1508
云南,2025,物理类,本科批,430,641.0,641,91,1599,1509-1599
云南,2025,物理类,本科批,430,640.0,640,99,1698,1600-1698
云南,2025,物理类,本科批,430,639.0,639,112,1810,1699-1810
云南,2025,物理类,本科批,430,638.0,638,114,1924,1811-1924
云南,2025,物理类,本科批,430,637.0,637,87,2011,1925-2011
云南,2025,物理类,本科批,430,636.0,636,126,2137,2012-2137
云南,2025,物理类,本科批,430,635.0,635,123,2260,2138-2260
云南,2025,物理类,本科批,430,634.0,634,132,2392,2261-2392
云南,2025,物理类,本科批,430,633.0,633,125,2517,2393-2517
云南,2025,物理类,本科批,430,632.0,632,155,2672,2518-2672
云南,2025,物理类,本科批,430,631.0,631,155,2827,2673-2827
云南,2025,物理类,本科批,430,630.0,630,147,2974,2828-2974
云南,2025,物理类,本科批,430,629.0,629,163,3137,2975-3137
云南,2025,物理类,本科批,430,628.0,628,155,3292,3138-3292
云南,2025,物理类,本科批,430,627.0,627,168,3460,3293-3460
云南,2025,物理类,本科批,430,626.0,626,195,3655,3461-3655
云南,2025,物理类,本科批,430,625.0,625,158,3813,3656-3813
云南,2025,物理类,本科批,430,624.0,624,168,3981,3814-3981
云南,2025,物理类,本科批,430,623.0,623,173,4154,3982-4154
云南,2025,物理类,本科批,430,622.0,622,175,4329,4155-4329
云南,2025,物理类,本科批,430,621.0,621,181,4510,4330-4510
云南,2025,物理类,本科批,430,620.0,620,189,4699,4511-4699
云南,2025,物理类,本科批,430,619.0,619,202,4901,4700-4901
云南,2025,物理类,本科批,430,618.0,618,219,5120,4902-5120
云南,2025,物理类,本科批,430,617.0,617,216,5336,5121-5336
云南,2025,物理类,本科批,430,616.0,616,223,5559,5337-5559
云南,2025,物理类,本科批,430,615.0,615,241,5800,5560-5800
云南,2025,物理类,本科批,430,614.0,614,235,6035,5801-6035
云南,2025,物理类,本科批,430,613.0,613,258,6293,6036-6293
云南,2025,物理类,本科批,430,612.0,612,235,6528,6294-6528
云南,2025,物理类,本科批,430,611.0,611,262,6790,6529-6790
云南,2025,物理类,本科批,430,610.0,610,259,7049,6791-7049
云南,2025,物理类,本科批,430,609.0,609,275,7324,7050-7324
云南,2025,物理类,本科批,430,608.0,608,262,7586,7325-7586
云南,2025,物理类,本科批,430,607.0,607,283,7869,7587-7869
云南,2025,物理类,本科批,430,606.0,606,284,8153,7870-8153
云南,2025,物理类,本科批,430,605.0,605,235,8388,8154-8388
云南,2025,物理类,本科批,430,604.0,604,312,8700,8389-8700
云南,2025,物理类,本科批,430,603.0,603,309,9009,8701-9009
云南,2025,物理类,本科批,430,602.0,602,296,9305,9010-9305
云南,2025,物理类,本科批,430,601.0,601,293,9598,9306-9598
云南,2025,物理类,本科批,430,600.0,600,300,9898,9599-9898
云南,2025,物理类,本科批,430,599.0,599,312,10210,9899-10210
云南,2025,物理类,本科批,430,598.0,598,291,10501,10211-10501
云南,2025,物理类,本科批,430,597.0,597,310,10811,10502-10811
云南,2025,物理类,本科批,430,596.0,596,349,11160,10812-11160
云南,2025,物理类,本科批,430,595.0,595,333,11493,11161-11493
云南,2025,物理类,本科批,430,594.0,594,342,11835,11494-11835
云南,2025,物理类,本科批,430,593.0,593,306,12141,11836-12141
云南,2025,物理类,本科批,430,592.0,592,353,12494,12142-12494
云南,2025,物理类,本科批,430,591.0,591,314,12808,12495-12808
云南,2025,物理类,本科批,430,590.0,590,359,13167,12809-13167
云南,2025,物理类,本科批,430,589.0,589,353,13520,13168-13520
云南,2025,物理类,本科批,430,588.0,588,364,13884,13521-13884
云南,2025,物理类,本科批,430,587.0,587,370,14254,13885-14254
云南,2025,物理类,本科批,430,586.0,586,383,14637,14255-14637
云南,2025,物理类,本科批,430,585.0,585,395,15032,14638-15032
云南,2025,物理类,本科批,430,584.0,584,388,15420,15033-15420
云南,2025,物理类,本科批,430,583.0,583,389,15809,15421-15809
云南,2025,物理类,本科批,430,582.0,582,364,16173,15810-16173
云南,2025,物理类,本科批,430,581.0,581,388,16561,16174-16561
