province,year,batch,category,university_code,university_name,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,509,融媒体技术与运营,,不限,95,三年,14900.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,511,市场营销,（奢侈品营销方向）,不限,55,三年,16900.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,510,网络新闻与传播,,不限,40,三年,14900.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,512,建筑装饰工程技术,,不限,20,三年,19800.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,505,空中乘务,,不限,15,三年,14900.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,507,民航空中安全保卫,,不限,10,三年,14900.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,504,西式烹饪工艺,,不限,10,三年,14900.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,501,酒店管理与数字化运营,（互联网营销官方向）,不限,10,三年,14900.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,515,工商企业管理,（与泰国高校联合培养，学分互认项目）,不限,5,三年,39800.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,506,空中乘务,（国际班）,不限,5,三年,19800.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,503,烹饪工艺与营养,,不限,5,三年,14900.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,502,国际邮轮乘务管理,,不限,5,三年,12800.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,514,大数据与会计,,不限,5,三年,12800.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,513,大数据与财务管理,（智能财务方向）,不限,5,三年,12800.0
浙江,2025,普通类平行录取,综合,4620,三亚中瑞酒店管理职业学院,,508,旅游管理,,不限,5,三年,12800.0
浙江,2025,普通类平行录取,综合,4619,三亚城市职业学院,,517,婴幼儿托育服务与管理,,不限,7,三年,16800.0
浙江,2025,普通类平行录取,综合,4619,三亚城市职业学院,,516,计算机应用技术,,不限,7,三年,16800.0
浙江,2025,普通类平行录取,综合,4619,三亚城市职业学院,,515,空中乘务,,不限,7,三年,16800.0
浙江,2025,普通类平行录取,综合,4619,三亚城市职业学院,,514,高速铁路客运服务,,不限,7,三年,16800.0
浙江,2025,普通类平行录取,综合,4619,三亚城市职业学院,,518,电子商务,,不限,7,三年,16800.0
浙江,2025,普通类平行录取,综合,4619,三亚城市职业学院,,525,现代物流管理,（中外合作办学）,不限,5,三年,30000.0
浙江,2025,普通类平行录取,综合,4619,三亚城市职业学院,,524,大数据与会计,（中外合作办学）,不限,5,三年,30000.0
浙江,2025,普通类平行录取,综合,4619,三亚城市职业学院,,513,烹饪工艺与营养,,不限,3,三年,14800.0
