province,year,category,batch,university_code,university_name,major_group,subject_req,min_score,min_rank,control_score,score_diff,admit_count,school_province,school_nature,is_985,is_211
浙江,2025,综合,普通类一段,1,浙江大学,,不限,668,459,,,0,浙江,公办,1,1
浙江,2025,综合,普通类一段,1,浙江大学,,物理、化学(2科必选),658,202,,,0,浙江,公办,1,1
浙江,2025,综合,普通类一段,10,浙江海洋大学,,不限,587,54663,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,10,浙江海洋大学,,历史必选,595,57782,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,10,浙江海洋大学,,物理、化学(2科必选),557,73793,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,10,浙江海洋大学,,物理必选,573,83500,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,10,浙江海洋大学,,生物必选,584,71253,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,101,浙江农林大学暨阳学院,,不限,544,95935,,,0,浙江,民办,0,0
浙江,2025,综合,普通类一段,101,浙江农林大学暨阳学院,,地理必选,551,110303,,,0,浙江,民办,0,0
浙江,2025,综合,普通类一段,101,浙江农林大学暨阳学院,,物理、化学(2科必选),501,150878,,,0,浙江,民办,0,0
浙江,2025,综合,普通类一段,101,浙江农林大学暨阳学院,,物理必选,499,166368,,,0,浙江,民办,0,0
浙江,2025,综合,普通类一段,101,浙江农林大学暨阳学院,,生物必选,544,119413,,,0,浙江,民办,0,0
浙江,2025,综合,普通类一段,106,浙江同济科技职业学院,,不限,490,163337,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,11,浙江农林大学,,不限,594,37066,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,11,浙江农林大学,,地理必选,600,52085,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,11,浙江农林大学,,物理、化学(2科必选),560,49354,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,11,浙江农林大学,,物理必选,580,73837,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,11,浙江农林大学,,生物必选,596,56347,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,1102,北京城市学院,,不限,504,87443,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1102,北京城市学院,,物理、化学(2科必选),501,144046,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1103,北京大学,,不限,701,24,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1103,北京大学,,物理、化学(2科必选),700,5,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1104,北京大学医学部,,不限,691,397,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1104,北京大学医学部,,物理、化学(2科必选),693,41,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1105,北京第二外国语学院,,不限,605,16970,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1105,北京第二外国语学院,,地理必选,617,34500,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1105,北京第二外国语学院,,思想政治必选,625,21092,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1106,北京第二外国语学院中瑞酒店管理学院,,不限,517,148077,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1107,北京电影学院,,不限,622,15848,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1107,北京电影学院,,物理、化学(2科必选),636,19206,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1107,北京电影学院,,物理必选,609,42015,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1109,北京科技职业大学,,不限,490,155436,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1109,北京科技职业大学,,物理必选,491,182479,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,111,浙江国际海运职业技术学院,,不限,490,184372,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,111,浙江国际海运职业技术学院,,物理必选,490,184372,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,1110,北京服装学院,,物理、化学(2科必选),584,59515,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1111,北京工商大学,,不限,600,34646,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1111,北京工商大学,,物理、化学(2科必选),581,41074,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1111,北京工商大学,,物理必选,604,47540,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1112,北京金融科技学院,,不限,519,140801,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1112,北京金融科技学院,,物理、化学(2科必选),490,183998,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1113,北京工业大学,,物理、化学(2科必选),628,12592,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1113,北京工业大学,,物理必选,624,28035,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1114,北京工业大学耿丹学院,,不限,529,115451,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1114,北京工业大学耿丹学院,,物理、化学(2科必选),490,174500,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1114,北京工业大学耿丹学院,,物理必选,490,184372,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1117,北京化工大学,,不限,639,11750,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1117,北京化工大学,,物理、化学(2科必选),611,14746,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1118,北京汇佳职业学院,,不限,490,184372,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1119,吉利学院,,不限,533,124693,,,0,四川,民办,0,0
浙江,2025,综合,普通类一段,1119,吉利学院,,物理、化学(2科必选),492,177147,,,0,四川,民办,0,0
浙江,2025,综合,普通类一段,1119,吉利学院,,物理必选,490,184372,,,0,四川,民办,0,0
浙江,2025,综合,普通类一段,112,宁波卫生职业技术学院,,不限,495,128629,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,1121,北京交通大学,,不限,633,10423,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1121,北京交通大学,,物理、化学(2科必选),614,8473,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1121,北京交通大学,,物理必选,639,16893,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1121,北京交通大学（威海校区）,,不限,633,19758,,,10,山东,中外合作办学,0,1
浙江,2025,综合,普通类一段,1121,北京交通大学（威海校区）,,物理、化学(2科必选),614,17530,,,14,山东,中外合作办学,0,1
浙江,2025,综合,普通类一段,1123,北京科技大学,,不限,645,10751,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1123,北京科技大学,,物理、化学(2科必选),643,8381,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1123,北京科技大学,,物理必选,645,13555,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1125,北京科技职业学院,,不限,490,184372,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1127,北京理工大学,,不限,656,8499,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1127,北京理工大学,,物理、化学(2科必选),652,2184,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1128,北京林业大学,,不限,638,10317,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1128,北京林业大学,,地理必选,642,13514,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1128,北京林业大学,,物理、化学(2科必选),600,16492,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1128,北京林业大学,,物理必选,631,18848,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1128,北京林业大学,,生物必选,636,19319,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,113,宁波城市职业技术学院,,不限,490,174146,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,1130,北京师范大学,,不限,661,4219,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1130,北京师范大学,,物理、化学(2科必选),658,3831,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1131,北京石油化工学院,,不限,573,77085,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1131,北京石油化工学院,,物理、化学(2科必选),550,95669,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1132,北京体育大学,,不限,589,10240,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1132,北京体育大学,,物理、化学(2科必选),631,22981,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1132,北京体育大学,,物理必选,623,23189,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1133,北京外国语大学,,不限,652,5152,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1133,北京外国语大学,,思想政治必选,647,7720,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1133,北京外国语大学,,物理、化学(2科必选),651,10442,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1133,北京外国语大学,,物理必选,649,11507,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1135,北京物资学院,,不限,591,60589,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1135,北京物资学院,,物理、化学(2科必选),554,86195,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1136,北京协和医学院,,物理、化学(2科必选),608,10351,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1138,北京信息科技大学,,物理、化学(2科必选),588,34027,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1138,北京信息科技大学,,物理必选,602,49275,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1139,北京印刷学院,,不限,612,30498,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1139,北京印刷学院,,物理、化学(2科必选),550,96967,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1140,北京邮电大学,,物理、化学(2科必选),642,4704,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1141,北京邮电大学世纪学院,,不限,541,107016,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1141,北京邮电大学世纪学院,,物理、化学(2科必选),490,164178,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1141,北京邮电大学世纪学院,,物理必选,493,180518,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1142,北京语言大学,,不限,578,18808,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1142,北京语言大学,,思想政治必选,628,20081,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1142,北京语言大学,,物理、化学(2科必选),617,34134,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1142,北京语言大学,,物理必选,541,19961,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1143,北京中医药大学,,不限,638,12035,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1143,北京中医药大学,,物理、化学(2科必选),597,4074,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1144,对外经济贸易大学,,不限,657,5194,,,34,北京,公办,0,1
浙江,2025,综合,普通类一段,1144,对外经济贸易大学,,物理、化学(2科必选),636,19448,,,5,北京,公办,0,1
浙江,2025,综合,普通类一段,1144,对外经济贸易大学,,物理必选,645,11784,,,20,北京,公办,0,1
浙江,2025,综合,普通类一段,1146,华北电力大学（北京）,,历史必选,637,11594,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1146,华北电力大学（北京）,,物理、化学(2科必选),639,7118,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1146,华北电力大学（北京）,,物理必选,629,17896,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1147,清华大学,,不限,700,102,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1147,清华大学,,物理、化学(2科必选),694,155,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1148,首都经济贸易大学,,不限,623,20660,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1148,首都经济贸易大学,,物理、化学(2科必选),600,51461,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1149,首都师范大学,,不限,623,9826,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1149,首都师范大学,,历史必选,652,10258,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1149,首都师范大学,,物理、化学(2科必选),628,17774,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,115,浙江特殊教育职业学院,,不限,493,146897,,,0,浙江,公办,0,0
浙江,2025,综合,普通类一段,1150,首都师范大学科德学院,,不限,518,147006,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1150,首都师范大学科德学院,,物理、化学(2科必选),490,184372,,,0,北京,民办,0,0
浙江,2025,综合,普通类一段,1151,首都医科大学,,不限,646,13271,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1151,首都医科大学,,化学必选,588,38258,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1151,首都医科大学,,物理、化学(2科必选),609,3251,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1153,中国传媒大学,,不限,642,8102,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1153,中国传媒大学,,思想政治必选,653,9623,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1153,中国传媒大学,,物理、化学(2科必选),607,10585,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1154,中国地质大学（北京）,,不限,641,11260,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1154,中国地质大学（北京）,,物理、化学(2科必选),617,13831,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1154,中国地质大学（北京）,,物理必选,626,19117,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1155,中国矿业大学（北京）,,不限,638,17808,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1155,中国矿业大学（北京）,,物理、化学(2科必选),617,14922,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1155,中国矿业大学（北京）,,物理必选,625,27629,,,0,北京,公办,0,1
浙江,2025,综合,普通类一段,1156,中国劳动关系学院,,不限,573,47826,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1156,中国劳动关系学院,,历史必选,594,58433,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1156,中国劳动关系学院,,思想政治必选,590,63784,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1156,中国劳动关系学院,,物理、化学(2科必选),548,103694,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1157,中国农业大学,,不限,642,6760,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1157,中国农业大学,,物理、化学(2科必选),647,7481,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1157,中国农业大学,,物理、生物(2科必选),647,12729,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1158,中国社会科学院大学,,不限,653,5851,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1158,中国社会科学院大学,,思想政治必选,654,6931,,,0,北京,公办,0,0
浙江,2025,综合,普通类一段,1159,中国人民大学,,不限,684,281,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1159,中国人民大学,,思想政治必选,683,746,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1159,中国人民大学,,物理、化学(2科必选),680,755,,,0,北京,公办,1,1
浙江,2025,综合,普通类一段,1159,中国人民大学（苏州校区）,,不限,658,6982,,,0,江苏,公办,1,1
